2149 -3019  3379 -87
-175 1474  1588 -1060
2261 -485  -1447 -4958
2276 -833  -1053 2029
-2130 -3682  -2670 -502
-2496 -980  -81 277
-2789 362  3989 2875
1615 -1548  -767 5111
-5234 -837  1959 3906
-402 349  2106 -4100
5454 -1154  578 5023
1354 3942  -3967 870
898 699  -1227 17
1624 2076  -1976 2113
-4154 -1001  -2744 4436
-2456 -1322  3490 -2874
1352 4495  166 -1287
211 -370  -1000 2774
-4 171  -824 -1279
2833 1149  314 4877
2545 1207  -162 -2394
-4748 2561  1971 -1775
-4989 -1393  4798 -1600
-1201 -2383  -1688 1353
-2191 2662  2448 4158
2816 7392  5500 5280
6010 -3691  -214 -3791
-3851 -6186  -2231 608
1862 1855  -1150 -2223
3620 8943  2034 4375
6490 1476  -4433 -812
1556 -8290  -515 -812
-1108 1486  4079 -2863
3761 4459  -66 2435
-3502 318  4223 -1011
2925 -2699  -2119 3211
-1250 4029  3767 -1295
3385 1037  -2215 -1230
-543 1020  -1731 2205
5044 1246  3239 3684
3769 753  2277 -2656
2458 -7045  -3068 -1875
-3135 3595  302 -2974
744 3677  4957 1030
-2869 -4840  286 6371
418 81  -2715 -1329
-222 2405  -3780 95
1813 3350  -858 611
2345 286  182 -2388
416 -1571  -788 -883
-2697 16  4069 -4240
-892 -6640  -907 -1717
-250 2679  360 150
-3099 1039  -6215 171
-1185 2807  -3236 3222
63 -5572  -3533 -1262
-1746 -1791  1923 1499
1158 6687  4883 2008
370 1990  -469 6
3083 209  -2513 -1425
897 3001  -2582 517
1071 1048  -2156 5961
-1675 920  1066 -228
1755 -9233  2167 -3314
-4226 -3711  4944 -4197
1824 -3072  -5512 552
-6184 1367  -1416 1470
-1870 5073  232 3062
1205 5413  -121 1615
-3712 -867  4242 -4496
597 -3353  2771 -128
6306 2067  -4856 -267
-2995 -471  83 -684
-4474 4207  977 3777
-1856 5150  2878 1079
-662 -3258  -4094 665
717 -1516  453 1196
-1302 -2733  -115 -5229
-272 -1556  -2384 544
-5462 1022  -1050 -4359
-1541 -2192  317 -3732
2225 1405  1829 -2822
3436 2416  -2269 -1451
-2592 2123  -4726 9174
847 1365  -3794 -3286
2933 463  945 -4154
-1053 2006  1099 -9148
-4811 -1829  -2670 -800
2968 4030  2841 1927
764 -1496  1465 -5759
-3100 745  708 -2531
-1295 3118  5034 3535
8244 -496  3505 -643
3743 1098  -5091 4048
636 -3564  747 -253
-1888 -586  5463 -1131
-4612 -1346  -2489 -1406
-2554 1547  -1190 979
904 1034  3581 -3772
257 1713  3806 -2421
-1058 -2247  3001 -1866
-970 1813  -7096 1957
1181 -885  -1244 4045
-3341 287  1255 -2584
1625 2229  822 1314
-2051 -5820  -93 -26
-1737 -3763  4249 -917
-5421 -6490  -747 -2886
-741 3133  -773 3193
-258 1228  -1500 2592
2037 -1180  -4281 111
-2478 2292  -589 -3880
-2069 538  2229 -3825
-5172 5483  -1570 64
-3723 1308  2572 -7377
1131 3878  3889 4898
1616 -1619  4409 -3580
-8547 2482  67 -4097
3224 -3530  1513 -3446
-1372 1975  5323 -50
182 2222  -1224 -3734
1746 -4920  3069 5612
4193 6594  -882 2330
695 284  -3851 -2276
-903 2543  -555 -1601
2509 -1761  3048 1761
-966 -2662  1089 -2983
1844 1807  789 -1633
5532 3579  -1080 1631
2387 2260  134 7145
1079 4668  703 -5579
3562 -4880  -3894 5391
2108 -2544  -1970 3045
-701 1819  2957 2067
1173 -1696  3331 5520
-1777 -4464  1542 5803
-3268 1803  3005 -547
-1929 3719  -746 -4000
-997 474  623 -1610
-4582 340  997 -18
-864 2990  1945 -2452
-215 -1361  -1863 -5246
2613 1908  1637 1954
4125 -5321  -891 2095
309 3840  87 -481
-179 -2493  -3818 920
-6983 -3107  -1886 2581
-159 -524  -1228 145
1643 -1467  -270 -7
494 1718  1902 -2708
4174 852  2787 2972
645 -2979  5497 -2133
-2550 2207  -195 1627
-3235 -2294  -3343 288
277 527  -1283 1778
-784 2604  -1119 4799
1509 -3156  4184 1304
860 7679  1587 1638
2123 -1767  3397 -3001
-2124 3500  -5153 2347
-976 2254  1313 -4103
-2708 -2776  -2447 647
-2343 -2786  -655 345
-1609 1048  370 -861
2672 -1448  2990 1944
-1792 -5448  -2968 -267
2094 -1030  5727 2573
169 2475  -6437 -1702
-1959 1941  3902 2966
-905 2493  -2834 22
-2494 6878  2298 3627
1614 576  -630 177
-1974 -937  3897 -1226
5077 -1647  232 -267
-2824 956  3085 -1311
-1078 -1372  2434 100
-1877 -3862  2542 1679
2301 2043  -1264 4635
-2980 3641  153 -439
-483 -1162  745 3513
-2212 1144  -3875 -1759
432 365  -4231 -579
2388 -1488  4297 -2928
4424 -4661  -1216 -4462
-4616 -3449  395 986
1506 -1035  1645 79
1787 180  -5761 928
-2649 -1493  -1795 1354
1819 2070  -1933 3057
-2414 -2242  2945 -4963
-113 -3814  -4146 1618
1712 -47  -1254 -536
1976 3001  3456 2594
-1538 -2233  1697 1534
1707 256  -1311 -2398
2119 -2620  965 -4486
-747 64  1256 -552
-4337 -1157  6070 -2795
2660 405  810 -3621
-1056 -4628  -1224 956
-5102 -2681  -4374 4863
1234 1924  142 1903
-310 -477  470 2174
-2494 -234  3410 2368
-798 998  4062 -1089
597 122  -2269 3862
1900 -2733  464 553
-3775 -2923  -1813 7930
1112 3401  2903 2285
1812 -1681  -194 -3998
-2409 -665  2629 -2448
4277 -3171  -658 269
-722 4696  -1543 -1024
-3652 784  -220 -3135
-1313 45  5835 -1189
-318 370  -4228 -452
1872 740  1862 -936
-3202 6607  3417 85
1967 -2285  2842 861
3075 -8118  998 1062
3011 930  -1520 -2446
2863 3097  -1368 -1892
1533 -1342  -7392 1423
-103 -4485  -3785 -1413
-2334 1056  2864 -280
-3314 -3422  -637 2012
-4595 -3824  3206 -1190
3007 1682  -1374 927
1304 -2144  421 -770
3800 -1403  -3026 1593
-3493 -786  -1010 1980
-5183 3250  3475 -1319
-182 -555  -658 -512
-2472 1419  -2706 3658
2074 170  665 -1716
-436 2074  498 2766
-6147 -748  1730 -1017
-2956 -1472  -3263 -196
-2310 -3489  -1922 1889
-503 -1823  3124 -2544
2002 -1173  -1440 2170
-868 -66  1558 -1779
-2033 -4349  3172 216
732 2444  -3290 994
230 -880  -338 2842
3160 -1413  2733 860
3861 -270  3207 -352
1353 4775  -902 862
6594 1646  1854 -1041
-654 5305  -2035 -246
3745 3228  -1147 -3231
808 -1831  -2629 -6
3792 2439  2974 1526
2313 -3858  57 2007
-1990 -3326  -723 -3176
5457 1665  695 388
3342 4287  2383 159
1195 6975  -3079 -643
-1285 -4777  2353 3942
836 2302  -33 1194
-1518 -1681  2032 -2018
-1078 313  -191 1653
-3491 -3270  2948 -1225
1350 3993  5938 -2206
816 -2281  -3042 -1756
-3979 239  840 325
-3631 3392  2667 3976
6765 -2245  -2805 5990
-1458 3645  -1672 3484
1280 -6502  362 -2494
-2189 4037  3328 1425
-2413 2868  1410 697
-1383 -382  2781 1407
688 473  -1217 739
-3416 -1838  170 1723
2396 1371  1710 5715
1120 -546  -4072 -1477
-2951 -2215  1693 -70
-1266 -3918  873 -1567
1705 474  -262 -194
412 -173  2115 -5572
-5282 2406  4637 4578
-1109 877  6236 3168
-1433 3870  2385 -986
-1064 2592  -1189 3545
2077 -3172  6810 5943
6260 -1948  2176 -1210
2831 3188  -2622 861
-1108 2751  -347 636
-3374 875  1014 1211
-4837 224  5130 -2446
-1765 2646  943 471
-5058 -3533  -2436 4497
-2965 679  -239 2527
-486 560  3820 -3870
289 6723  6347 1075
-2937 623  2724 1940
2565 -4348  -3440 1806
-4944 561  -1387 -768
-1120 -2616  -1606 -1294
692 -4415  4769 -2638
-296 1270  -46 1300
-47 356  -3815 3090
4939 -11  604 1545
1510 -2007  772 -3526
3214 1140  2327 -3859
1397 515  -4400 3322
-3733 -5215  2641 1638
-1779 3299  -1836 -1484
1191 1836  1426 2043
-2105 1354  3129 4981
3173 1442  -648 5584
6819 -2569  1781 -2527
-2200 -2054  -4091 2409
642 -1000  5495 -1575
1023 -1397  3284 329
-3562 1695  903 -1222
522 -2205  -6233 -1879
-3065 -4752  2858 -784
729 -934  -3913 -8423
2180 771  1156 -172
-4448 3916  -770 -1638
1326 -3613  1025 1955
4617 4171  -2502 434
732 7064  -2466 -1511
5590 -1  1713 7415
-2444 -447  -3229 -2605
-598 -1776  -970 -5858
-1602 543  3909 1534
-4014 -355  -867 -4412
3145 2813  -3233 -5714
3902 -3408  -4881 1745
-4762 -1003  1452 1261
-1769 -1351  -3852 -4744
-1680 -1348  -1331 2688
559 -3506  342 2651
1701 2132  -3036 -203
3329 2436  -1785 148
2726 -320  2030 3338
-797 259  -4482 -390
6995 1917  4683 -2844
4190 779  1198 -1308
-1803 -2902  110 2902
171 2054  4817 -4630
1536 2683  -6697 4574
2297 775  -997 4057
674 555  -1521 -95
-2803 2791  -3057 -3300
-3198 -2595  272 -2077
640 5515  -1595 -705
984 1067  958 -963
-3562 1505  3006 109
-1017 784  2545 1964
-3857 2480  477 -1300
304 -1497  3046 8949
-986 1401  3128 -5102
1123 1517  1460 780
4303 -1863  1100 1663
-2144 2668  2539 -6582
-134 1202  -46 2607
1385 359  252 931
1273 2608  -862 -4296
-1189 2246  1549 1557
683 -2165  2126 -1961
2785 1717  -1230 284
-2788 271  -3010 -663
-739 1397  -1081 -4567
-70 -800  3221 4746
-4609 2801  -3173 -1241
1420 -2038  -2210 -308
-3456 -2753  2361 2324
-4563 2997  1630 -1959
2855 3171  -1502 -1648
5207 -1342  1114 3657
5265 1381  3162 -2500
801 3690  -310 10815
4184 2362  6421 3944
2874 1245  -4593 1777
-998 -5148  1726 -1816
-288 -4019  -1838 2664
1178 2994  -1563 -101
-7055 -2192  3508 2466
-4588 3593  -17 1321
-635 -2367  -3987 414
3729 -293  3708 -8812
-3330 -79  -279 1919
3365 -1832  443 -3613
4304 -4864  -4140 -2130
1315 1984  -1263 -4457
-1940 1170  -7195 1556
2384 231  -2271 7953
-1800 768  -4191 2404
1157 -4502  406 2483
-2224 5848  -3221 -2695
2657 -2241  -5513 4098
373 -2830  -876 5341
3080 -300  3329 -2315
-3149 -1779  1804 4201
-7180 1545  5060 9568
-512 1250  1655 -2682
3121 -5084  6179 -1661
5054 1978  -660 1403
-1684 -5357  934 400
3777 3267  -33 -3547
-22 2547  2184 4588
3759 997  -1019 -264
258 -1310  -3046 847
465 -4342  -7186 -2792
3918 1239  1985 1610
-4330 -35  -1028 -1012
-323 -1038  4898 -1214
551 -1973  1561 5592
-1629 2685  -2092 -351
-1838 -1472  4863 -2360
-332 1607  -444 685
-2366 3200  -235 -1026
-958 -895  5634 714
2901 -164  2546 -2180
3071 -2765  2558 -610
2558 2384  162 2756
-2632 -2254  -1189 -1501
-5585 -1250  -2261 5013
551 3212  1913 -791
-1225 -2012  -924 -1665
4757 4291  342 2098
-1276 -889  4336 469
3300 -5151  499 -566
486 -6923  1076 -17
-7132 -1684  1927 -1866
5108 3519  -147 522
3140 -7462  3352 498
-2032 -2333  1497 -1418
-4922 519  4267 3638
2864 16  3375 953
-1678 641  3493 -3010
-980 -2256  -3908 -5366
-1079 -5862  -2708 1450
1455 3562  7271 5046
-2381 -2580  728 2585
-2335 -577  -1264 2870
-1975 1023  -1699 6494
-777 1969  -3831 50
3383 -2938  -949 -5235
80 2214  1703 -737
-3711 -1540  -5890 754
-5874 972  -2061 529
6075 7310  2810 -796
-279 -1846  1201 -1518
-2145 1747  193 -5265
1815 2467  -1498 2307
169 -6152  282 2696
3786 1474  2015 -3074
-3975 -421  -900 -90
3685 55  -4661 445
-168 2014  562 -495
1314 6272  -6346 -1149
423 2635  -1723 4746
-3631 5524  702 -3546
-617 1994  -6715 -160
229 -685  -156 -3340
376 2918  292 -1457
-1789 3945  2166 4945
-3137 1836  1481 2253
830 -3872  1741 1455
2760 2183  -767 814
4753 931  -680 -2838
-2269 -315  2503 1510
-8417 1873  309 1883
3338 -5202  -1144 -3029
-2756 3588  -1094 825
-3373 6809  -334 1122
-1340 -883  -1640 3298
3316 -1012  1438 6464
-1102 5534  5647 4978
7076 2659  -1171 -603
2010 -2877  -207 -743
1201 -1539  -1772 -5323
-74 5992  -760 -1130
4084 348  -3381 -540
-3519 -2949  -1987 -3339
1302 -874  -614 -7240
2731 -6520  898 2810
3595 -164  -196 -2414
-576 1157  -388 1884
3961 -6283  -305 -2292
3114 2099  21 4691
814 4603  1070 2580
795 -2930  1474 1469
763 1799  -574 -581
3321 -6  3614 -1560
-3219 -2170  -6397 -1792
-937 1329  -1588 -250
230 -1278  -449 -835
-1096 502  -4350 4016
545 5430  2084 -3816
-675 -785  6495 1719
3760 -3593  5782 -4297
-1748 9  -6123 1756
2013 712  2527 800
5275 1319  658 6660
2386 2787  791 -894
-113 1732  -2059 -2766
2466 3444  -1199 -66
-720 522  -136 -286
1177 1276  3794 2538
5143 -1445  285 2867
-1826 -3689  -763 1396
345 3653  1027 -2869
3030 621  2499 544
2176 647  707 2361
-1760 6540  2564 2385
1954 -3840  -699 2013
1108 -228  3729 2366
2402 -1292  365 -1519
-73 707  -460 487
984 -484  1674 3226
1207 1520  -2406 -2030
131 -360  1066 -451
1585 761  -666 2429
-655 -108  3906 1008
-1652 1572  -3390 -579
1221 -1094  -3353 1561
3278 -1637  1028 -3878
1500 1088  247 -2745
-1700 -406  -5043 737
-122 -932  5121 4927
-4893 1187  1684 -445
-925 895  -2226 917
1369 4016  -1832 2618
7975 6108  3606 353
1374 2140  686 1924
-2182 1876  -764 981
526 864  2006 3882
2437 -2623  4882 2076
-1481 -1417  -5351 3267
-3479 -5292  1828 619
-4035 -4510  -1322 811
-2 -1629  -781 -4092
-3816 5183  1781 608
2425 5408  -1922 -4139
-654 2965  4994 -720
-856 -6564  -905 1951
-1073 -2604  4199 -2594
-1414 -1956  2604 -3302
395 5  3172 3159
1620 1848  1358 3213
-2880 -1501  71 1888
-102 6072  32 140
1647 -317  -2124 484
661 -3790  3590 856
3330 1256  -5666 3781
-26 -1785  -2603 323
2819 2769  2289 3173
-1552 -3226  -2787 242
-2468 1059  -1969 2513
-702 -4602  -1981 3608
6554 -2513  -2583 -2348
-616 -7168  852 -4311
2483 2363  -6139 -1421
-125 -1782  3343 1252
4703 -4109  -1295 1356
-1884 6895  -562 -1690
2272 -1131  4358 -318
2957 -1243  963 3528
1521 -4985  -923 2246
4240 2993  2727 3100
-3432 342  -1548 -1845
-825 4162  4608 -2029
-1654 -2081  2325 -2119
2191 124  -4530 -287
-130 164  1919 2120
-855 -3951  -449 1190
4268 -158  2900 2821
-83 -6380  -1841 5475
-2312 -3275  680 -3117
1614 860  -1691 797
2977 4994  -573 -3381
2117 1338  553 994
-1000 130  -6413 -3157
-3899 915  1148 1143
838 1550  -456 1861
3700 2259  -321 677
1755 -1701  1246 2765
651 -1739  667 -392
3457 -1355  -2505 3823
-7489 -1549  -1683 4799
-3433 -1829  1608 393
6336 1414  -5227 1906
113 -6083  2954 1482
3976 -7183  -7811 -713
2422 595  -1121 -870
-3098 -3866  1974 -3155
1216 1097  933 2252
2582 1460  -138 -1223
-450 5602  -3 2776
3352 1553  109 -3069
622 -1475  527 -4280
-498 -4758  -1004 291
440 524  -3048 -313
333 -4242  3964 -2298
-787 987  2309 458
-3655 109  2714 1916
-5602 507  -1108 1283
-2228 132  2925 -760
1476 -3841  -2688 3428
-4441 -984  2846 -732
4360 -2867  -3893 -811
-1811 -164  743 2987
-4593 2802  -3058 7534
-264 1593  8352 -373
-1719 185  1627 -5152
172 140  -68 -1513
-1196 -1659  559 433
-8270 -1570  -1621 -52
4332 -2368  -2773 -3929
-4770 1092  43 -3068
9 826  -3952 692
634 400  -788 -3414
-5916 730  -2920 499
932 284  1016 -1641
166 -445  -1625 5087
-221 1829  385 2563
-2490 -2753  245 -510
1500 2157  -905 208
-4267 -1541  -469 3491
-1437 -424  -1002 308
6219 2033  -2143 4257
-11 1635  4957 1528
1826 -523  -2785 -236
-1474 4218  -3713 -3233
-1146 3574  -1272 -2466
-2086 -2013  394 -513
5213 919  4466 -316
3044 -405  -643 -1453
609 -11  2410 -1764
-3946 1813  -1722 857
3343 616  2624 2714
-4765 269  -1428 1972
-1569 -619  7947 -770
-1217 -3870  872 -2201
5243 1753  3343 701
-3002 -1297  -1400 -2138
1855 -1283  -1636 571
-912 -3237  -1772 -1622
271 -3365  3859 -1305
2439 532  -986 1673
1525 1554  -5112 -2037
1961 -1633  -3093 -1811
-1344 -415  3981 2116
-4597 -4151  -5725 -710
172 -37  -5352 -4727
-690 2695  36 1173
-1682 74  2238 -3
3445 -8511  1123 -2260
430 1580  -311 1629
-313 717  -3875 -571
-341 442  3485 -734
-269 654  2223 1501
3823 -63  1057 2516
-721 859  -1593 2761
3524 -4201  560 -3135
-2584 1254  1757 -1834
-1072 -1561  -6868 -1522
-2776 -4844  2547 146
330 1738  2206 -1053
2494 3626  -2990 3834
-2018 4447  -2021 580
-1014 341  -531 -1066
-736 -2931  -527 -1105
-1278 -1012  869 2099
3307 1036  -424 3910
1632 2755  2230 2760
1677 -3092  -1831 -1423
1323 93  2302 207
-3062 6021  -641 -1870
-2790 -114  -3137 626
2482 5764  -3588 -549
-3221 2471  -1007 1455
-665 3271  2049 -21
888 4366  1670 -5422
-180 4175  -5264 2622
3698 -2686  -1047 678
-285 2436  -820 119
3547 359  1751 -3814
-2285 -1792  110 -2995
493 -2721  652 -2876
-1703 651  -1666 -1194
3071 -5542  2713 -2771
1715 1121  1590 -4245
-2191 577  2185 2633
-2901 3850  -1091 -1653
-1591 -759  -1092 61
-980 -181  -855 -3546
-2679 -920  -1598 2362
-893 -917  3464 -3657
2600 1446  325 5245
-737 1378  1985 -2975
4124 -5394  -1762 2321
-2196 2247  -3139 1252
381 268  -1360 -3297
546 3544  1849 -3687
-3191 -219  -5830 2373
2014 1416  1320 -2498
-2301 1731  -456 -1196
158 4749  -1761 -5357
988 -6271  -2430 -210
3119 -4767  2544 -2220
-3998 -2043  -3453 4351
3674 -760  1285 1281
-2621 1363  3584 -721
-7540 -52  -1581 951
3723 -1835  -1668 -2947
-4113 92  548 -713
251 -697  522 -2489
-4228 748  1275 90
4154 -800  464 -3904
3501 3501  3104 -689
363 -627  5275 -1286
-2665 -3588  600 -4933
-5640 -50  2398 5951
-4339 -523  9 2277
-1370 2942  -47 -2705
2979 -537  426 5785
-1791 -1670  253 1216
-3050 -183  2479 -179
329 -5325  2390 748
-187 -3116  3069 167
1700 843  166 4868
1141 -1846  -3315 -3326
-949 -2172  2831 278
3959 -2527  4012 -209
1113 9  1993 1049
3235 1973  3924 3698
1952 3672  2398 -2127
2998 213  3169 -6850
1818 -2015  1457 2066
299 -3259  -62 -5980
7119 3222  -2428 757
1843 1446  901 3476
1507 -2933  29 1567
4889 -2747  -894 -2025
-3625 -349  -79 -743
2533 1635  -1864 -3017
-413 -3751  -2227 -2251
-3904 1933  3676 370
-525 -1171  392 -2437
2676 -530  4470 5899
4532 -1948  -2838 -4444
-179 1619  -914 -5435
-4257 2330  1640 -886
181 -4617  5165 3693
-165 -3523  1593 -2220
-2882 -1410  -4446 2462
4835 -2706  -2274 1954
5180 -730  1522 134
-5674 -1587  3754 2562
3788 -3044  -4434 1150
3632 -1603  -6674 -384
-2580 2699  -2998 -1239
504 -4352  -5190 581
5961 1613  5883 4096
1498 1450  3424 2239
-4296 -2688  -1332 4571
3573 2125  2593 -751
-5108 5892  -2554 -2195
592 -3876  1211 -1839
135 41  -2077 -1962
593 -1457  -1687 -2140
-690 -133  2481 729
2237 2538  4366 2350
4416 1307  -4316 -1387
-279 4505  -3584 -3204
-173 -3942  4418 -2385
893 1954  1913 -5616
-278 -1174  -374 -504
373 1299  2779 3969
-3920 -1377  -1184 -607
6976 -2558  1530 -5981
703 263  175 1875
-5020 2952  -2101 -2184
-4123 3691  -5529 1396
-6034 3144  -2685 2935
5434 5495  189 4001
-2305 2382  -596 6099
324 -1442  -4626 -1241
1044 4938  -2757 5608
1212 -2424  692 1597
9452 3663  595 1532
2913 1600  -1707 -2079
-1150 -1397  -6205 -2101
-3493 -159  996 -1529
-1062 4856  3036 1545
-2460 -3072  810 3962
-1819 -1510  -786 -1140
342 91  7848 5009
-2267 2704  -2260 534
1464 1608  3407 1722
-5963 -3636  356 -4185
-2595 -1361  1430 -2906
966 6641  -3193 -11
-3002 3556  -553 1675
-2732 -607  823 5509
553 7496  406 -2597
2413 -789  1692 -579
6297 1208  -7173 -1279
-836 -2226  1411 7959
-1028 1730  994 -985
-2904 -5309  984 -507
1024 4780  904 -3830
6 -963  60 600
3205 2585  -4061 3536
2545 5423  -2044 -761
-1274 -1073  -7276 311
4322 2380  1667 3487
-3926 -2298  -324 -446
-30 1784  -952 3528
863 -4507  660 -2275
2407 4529  -2369 -888
-2796 -686  -57 -1009
-2758 -3107  -3774 -944
1735 6648  684 -1498
-1669 -1911  -2544 -4142
-737 3709  4712 -89
3108 2398  2679 1645
-1192 397  3207 -1676
4432 5115  -2782 -622
-377 222  827 3683
-3243 -1478  2616 -729
1827 2889  1127 1110
2015 -1954  8716 4028
3099 -2519  2576 -688
-6197 271  -3531 -7074
-1018 3964  -2629 -1355
5712 1561  -3512 -4295
2887 2923  -943 5265
-1837 3196  -2212 -1618
960 -4493  5157 -779
478 -1581  2516 -4842
-51 5788  -3262 -56
-311 3369  1297 -3023
-3779 627  982 -1985
-3486 1817  -340 -3686
-306 -584  -3247 169
80 1591  536 354
-2283 1691  -350 2012
-3610 2379  -4551 -837
158 -3665  9238 257
1092 -1421  -1333 -280
346 -550  -494 -1309
-1772 -1166  470 2116
-6418 1442  -1464 -1453
-3836 966  2696 -6286
2921 760  4610 3095
306 -2452  3624 -2391
-2582 -8290  -1799 -186
155 -4866  -1635 4154
-158 2691  -1154 1707
-1639 2358  3932 -2865
1412 329  1392 -938
-5855 1418  2735 3133
-1812 2088  -2653 -1089
2285 2900  3709 -38
-1870 -4990  -2588 213
-1858 -1138  -988 478
-195 2042  -5289 -1770
726 -972  -1383 831
2403 -3255  1039 -4908
-1621 389  937 114
1660 841  2239 -1469
-3940 3858  -3815 5436
820 381  -2693 1675
1852 2616  2221 -1330
2795 2104  -3194 -709
-458 1728  -1370 -55
-1888 -3756  -6402 52
4114 1128  3562 -324
2420 -826  223 3697
-1523 2653  1458 5209
-1667 2865  -60 -1459
-1254 715  -181 7857
-1200 91  161 -148
-499 5372  5202 -4128
1412 2462  6560 7636
1667 6707  81 -9728
260 3810  2483 3852
91 -2037  1427 740
133 1434  -3254 -835
-488 -183  -2348 5051
1341 -3372  -4210 1286
-3713 897  -149 -5443
-454 -1771  501 -623
-2586 -522  -7314 -923
772 3022  -1853 1063
-3659 461  -2163 4568
4259 2184  2498 -1604
-1908 -1854  1622 64
-1837 -637  3517 2029
382 2910  2449 -1727
2150 21  789 -2923
-5514 -2342  -742 -1195
3360 -3564  -487 -1614
1672 2446  2443 -2894
-3419 5966  -584 954
-4893 3220  -228 2127
150 -4900  -2252 -1291
-5055 -3557  795 -1886
6109 -5997  632 3594
155 -1194  -2231 2166
-115 5132  -78 896
-2924 6949  -5177 -1716
719 1565  3660 -3236
-1925 3391  823 -7859
-976 1890  7955 563
1980 -1528  -838 -817
1111 -6019  2060 -2482
981 1045  -2472 -996
2589 375  450 512
-5174 -1904  3051 -1915
129 534  -986 5504
-2005 2080  2385 -1785
-2349 -228  -1600 -2100
-4654 -3217  -1459 -3031
6514 949  -709 3276
970 1808  -1289 2512
2234 -1558  -1225 4505
-3437 8468  -171 486
-7458 809  -1254 100
1214 2853  1802 -2191
3462 217  -3301 1468
1350 -701  -3856 3463
2066 876  -563 1527
-1442 2808  -7252 1078
-100 5213  656 5732
-1326 -1596  4363 971
1274 3129  3344 -142
588 486  -1743 190
-806 2426  1421 1847
-4462 -2461  -4287 1390
1085 337  50 2507
-1485 -4458  1891 7333
-1395 1274  -1091 -2496
922 -2351  -1459 -1277
3860 8131  4092 170
-6414 -2055  -1194 -526
524 1872  130 1576
2172 -2365  984 2
1277 1525  -1310 -2717
-1058 3507  -2552 -2040
1748 -1641  95 -3741
-5614 27  865 898
1803 -1757  -2947 -1883
-1297 -5538  3668 -750
-5083 830  -794 2442
-1142 -2048  -1800 -2591
-4281 -4133  -2729 -3302
2330 -1993  -1901 3154
-2489 1129  2416 -5949
6213 2479  -34 1449
-3103 -488  4043 -3629
-3569 -4016  -2269 -1071
