-1867 -2337  -1080 -1124
-221 -5102  -3221 2382
4345 -1163  -3627 1885
-2543 5749  -2328 -4208
1862 70  -877 -1079
-1143 1057  -844 4357
-661 3090  1970 -6234
-3482 1891  -1552 -7425
-729 1005  -524 -3297
1596 -1414  -1564 -705
3191 5372  -4056 1915
2522 5124  459 -248
-634 710  6895 1724
692 6299  3888 -1525
2167 -2693  -1833 5960
458 -1433  4464 -6586
-4553 -6194  -2577 2581
-5435 443  -2902 -246
-195 2304  -1940 -3118
3718 -904  2532 397
661 -975  -2051 3182
4182 239  -3406 -3362
1588 -756  997 -718
3434 -505  -2573 1984
-1316 769  1758 5833
-1025 1853  -1023 3516
-2084 -2579  98 3272
-1687 -3144  -1753 5503
-1981 1266  1719 994
-1872 -1479  -1563 -345
-2369 241  4968 -1452
-2176 2834  3002 -2371
124 -675  1284 4015
1443 -536  -548 -1020
-2449 -689  -1060 -3643
1839 1582  -2905 3351
-2038 -236  -5655 2544
1931 3894  181 -3140
-3989 -1140  1018 2122
168 -2583  376 779
912 -3706  -5965 1531
-936 -531  -1484 2872
-856 -676  -1119 449
-7667 381  -142 1088
3573 139  5447 1478
-2476 -247  -2248 -1873
-2896 -827  2468 474
-6287 1269  4140 5861
6256 1057  -4925 -1268
431 5659  1722 -696
4297 -2181  6711 861
1463 1219  -4428 -3388
4502 -2965  70 534
-1259 4963  -5477 311
-737 861  -1309 794
3116 -7783  -1059 3053
8542 -3342  1271 390
-3543 -1426  5722 4574
138 -3226  1667 3598
2505 -929  249 -4033
3234 2714  -18 3726
-155 -1532  -7916 515
-3097 5709  5332 -4095
-3069 3702  -830 3053
-1373 1078  2569 480
2237 -37  1996 -546
2747 987  -2233 2925
-1537 1155  1179 902
2709 2365  2345 -1397
4611 5744  -1973 -2271
1882 132  3465 2547
-274 -208  1347 7344
-1081 -2095  -1576 -105
1801 -1013  -2397 -2450
1478 1927  -4213 -2508
3128 3937  -1692 4877
4427 -7216  -729 472
354 -5283  1089 917
1255 1382  2812 -3576
1723 -4100  254 -212
-2916 1624  3038 -3497
-351 -512  1607 -5364
-384 -1709  4488 -770
-2793 -4155  -8 -1434
-6012 1310  -288 -6178
-5541 1534  -1187 255
-153 1776  3088 5355
-1858 -468  1342 5343
515 -995  -5765 3288
-5914 1377  -456 2235
-381 -2063  -1319 100
2419 -2615  -3515 2096
-1039 -223  -333 -2178
-1770 -222  -2171 7324
-1295 2110  1016 1057
962 2070  3109 -3363
-2612 -29  1357 2998
222 -3723  870 -1430
4327 -1748  -856 -1960
-159 -907  -261 671
2616 -694  3320 -5889
-3407 3301  -3491 -2638
5210 -1753  636 -1411
-629 -2366  -399 -3679
1895 -5028  -5053 1025
-1468 355  7727 4106
6585 1591  2272 1177
2960 -238  -517 2148
-601 -2130  1523 -3257
-3453 -1624  2964 -184
2455 -1699  -1713 -2657
1275 1236  -1922 -1740
-5348 -6549  -3973 -2673
-1772 1062  2671 698
-2562 -983  -489 -1578
1102 -2057  843 6808
-504 903  -281 -1699
-1937 4566  -286 353
184 279  -1596 1736
-2640 -517  5316 4722
-575 -12  4943 295
912 4186  2850 -5405
4974 -3826  1086 -1252
339 1928  -730 -752
-1247 7769  -3191 -980
1769 -727  -579 -2512
3819 2012  2072 -5190
-2191 -3481  5268 1838
3835 -2020  -4069 -3089
1302 6223  1263 -907
-3453 -2096  -1921 4924
2577 5723  1273 -3574
1804 3194  -1750 -219
1288 1065  -2535 1811
242 6134  3975 -1823
1972 651  -2813 -877
-3839 -2215  1875 3340
3045 1928  -2355 1984
542 4644  2252 2831
5920 1032  -1585 -1177
-1728 2250  -4888 3623
-883 -543  4067 -1224
1193 -3308  382 944
2715 -5063  -67 -2920
-1261 -301  -1967 1995
-1385 2467  2977 -4768
-594 2350  -556 3359
-1921 -1908  -3181 -218
1695 -2404  -1102 -5787
-884 -3414  2103 -2770
276 681  -3556 -2535
-4622 252  -2118 -1176
-3450 -1297  3645 1318
-3116 -2745  -553 -822
5422 2457  1731 -52
1926 637  2996 -3712
-3000 103  -524 3286
-1235 1856  1920 3612
-5451 -2077  2757 1890
-1849 4098  -642 2025
4071 -1775  4071 1153
-216 3167  -4000 -2442
2529 -1290  30 -4217
-1368 -3506  -5645 149
3816 1498  0 1024
-1230 5868  -2366 6265
-52 -2507  -6890 -1690
-3934 6161  2313 285
-167 -1419  -3599 101
5097 -4241  1599 4039
-1804 -2018  -2108 -776
-2257 -4784  -3051 -989
-201 -1417  -906 3138
832 518  2277 1731
2600 -7915  869 2112
-1816 574  201 4154
3877 -577  -1465 -2180
-1946 -2752  3362 -63
3285 -3433  374 -3267
-1135 1129  -2392 3095
1085 -603  2942 -382
-4250 5603  4134 -175
6934 -400  -479 -2861
5416 184  683 50
-1314 -920  2159 -227
2296 744  1370 -1764
260 -1801  -2045 -2478
-3286 1644  289 -429
1966 -825  6634 5006
800 -1215  1886 -2338
1197 2210  1437 477
902 1227  -583 -2694
-4390 -1485  -5019 3989
873 -1442  -2078 3247
-565 -296  54 193
-1553 -4582  -5018 1657
5242 -118  3157 4991
1075 -554  -2217 1160
2715 -3958  -1822 -3447
3223 -3444  2315 -3566
5171 -458  2344 415
459 -5725  -236 -804
306 1157  -336 977
246 -2368  1237 3518
-1086 -1614  -267 -6784
1726 2243  -3621 -3715
555 1686  -6943 1554
-4746 1795  5663 -3781
-1522 -1510  -2134 594
689 2792  -2030 2020
-245 166  -1459 5754
2036 -1272  -4160 119
-583 4384  1161 -1694
-1790 -1174  2250 1027
-2306 -1206  2476 -1851
-3268 2214  -2876 -1517
518 372  -695 -304
825 111  -439 -2004
-2482 -4669  -1011 -1786
-15 1106  1195 934
-97 2628  -1302 8646
3674 -1595  2155 -4897
-43 -231  -118 -1966
-2744 2847  2268 2856
419 290  -1144 2922
-1729 -3531  -1649 -2736
1255 -440  -1328 -355
-3045 2114  2549 5672
-65 -2795  1709 1840
-4107 2234  -1399 -1947
2696 87  -1875 -1669
2815 725  -1117 415
-864 -693  -1345 2857
-946 -1147  -4587 5633
2983 4800  -399 -2976
4595 -2450  7466 -2712
1064 1065  -957 -1368
-6703 1928  -398 1235
-2405 -1136  -2109 -1498
1954 -1381  -477 -812
-2634 3069  3760 669
-1390 2509  -1003 2857
-559 -3774  -3148 5362
2986 2111  -1364 141
-1899 2508  -3130 2276
1442 202  3058 -1060
-3197 2913  1000 -5461
697 -2640  4860 654
4312 -615  2469 4043
-1889 861  -848 868
-2315 -4125  -1275 -2846
4713 2831  2505 -241
4365 -817  2917 198
-4827 1816  -5755 -1675
3099 1001  -2118 3870
4238 -7025  6209 6249
2083 58  -1680 2027
1345 3535  -1210 -3203
-1446 -6126  -415 -1285
-2055 7405  6011 -524
-1878 3198  443 431
2585 -7058  -2764 2694
-1571 -2275  -110 -4605
4145 277  -8650 -1646
2920 1385  3638 -226
939 687  -2849 1251
-3496 -5507  427 -1589
3236 -791  2976 1062
-7349 -2395  -1552 96
-4707 996  -2045 -2604
891 -1016  -2302 -2644
-2018 2158  4714 1008
3740 2891  3130 -3692
-749 43  345 -1730
369 -343  483 635
514 -6673  -1679 933
-1295 3190  -4026 -760
-1300 -1377  -776 2206
277 5033  -3762 -2702
6509 -5031  -1404 -1280
-1447 204  -2277 -784
-1497 609  -3005 2067
-202 -2112  -921 3398
1364 -2353  -2855 -980
-1132 382  -680 1721
1668 -317  -5995 -944
2992 402  -7667 -1801
-924 3206  2154 -5865
5950 -1320  1207 3671
-4248 -3868  3682 1897
-4496 2785  1868 1427
-3085 1514  -1198 951
1295 338  -1035 2260
-465 571  4870 1530
1498 -1650  -4691 -87
1013 -4441  1075 1896
-3708 358  -5028 3484
105 244  -2801 -485
7130 2047  2824 1838
-131 -787  73 -2930
1045 -4628  -826 2156
2474 916  -6704 3883
-1314 1326  1914 -1903
-2591 -3708  -704 -2689
4776 4389  2621 5016
-4346 156  -3339 3487
4133 5722  1670 -1610
-1836 -1205  -454 437
1043 1474  -9003 -1603
-1071 -1204  5146 -3659
-3067 1734  -3256 -42
791 1070  1368 -3931
-3844 786  1513 3427
-2492 2835  634 4792
2628 4603  2810 3096
1271 547  -3015 658
5045 6098  -498 2635
-2569 1382  2568 -2607
-662 1949  2936 2313
6397 -3356  2776 -894
1392 -1858  3066 -4363
-1474 2246  2903 -132
-7942 821  3561 -4448
-4157 652  3235 2546
1288 -4876  4700 363
3319 4935  -1252 2399
2585 550  -2242 1420
1052 -868  6110 -2868
4367 111  -2184 2325
-2783 2775  704 5378
-407 293  -2645 504
1540 2643  375 -1453
-3529 -232  -2885 343
213 6230  -2591 -3214
-27 3561  200 -361
546 -839  738 4632
-1957 -2213  -2165 465
3331 -2100  -112 -5729
-95 493  2029 3243
-2022 174  2039 4236
3321 722  -74 3635
777 2932  -277 60
2413 1442  2063 9346
1079 499  1443 -3723
-1283 -654  2347 2525
-4844 2187  -2919 3167
-1260 1711  -2323 40
-5709 -2782  1334 30
-1973 5382  3362 3616
380 3507  -263 -302
2169 -1186  2786 -3487
-618 895  2124 1263
3603 -3397  1542 -1144
1566 -4039  1392 7749
3145 2279  288 1790
-2142 -1969  -1242 4306
-2294 2029  -1639 -363
1780 177  3485 6902
-1510 1006  -698 -2130
1152 -5016  2069 -2181
2469 13  3409 2719
2041 1647  2533 3462
-2712 8348  174 -1062
3197 3189  -2264 1131
-5390 502  2782 171
1046 204  5912 2613
116 2250  4696 2303
1157 -4859  2841 -3032
3403 -899  -2430 -2857
1080 -5625  -1930 518
4106 2405  -5903 -1591
-2202 1265  -2300 4097
-1670 3978  681 630
454 -2646  1502 -2552
4382 -1296  503 -4360
3002 3572  6371 1083
-67 554  2749 -4157
3186 2155  -2368 513
1511 -2913  -588 -3404
4795 -227  -1642 2359
2963 2035  444 1216
-3216 -91  -72 2703
2319 -404  -463 2814
-1572 -1802  -2651 6073
1031 2675  -1799 1802
890 -523  2850 1548
3968 -2214  3625 -1211
3678 3518  3935 -1132
2181 -1838  -2908 -3431
-1191 3645  -2016 -3139
2745 -1286  690 -754
5956 -2193  2176 3644
1918 2303  -2832 -418
-1252 2260  490 -4511
-4513 3948  -1535 924
1392 4081  -1587 3383
3114 4865  -873 -2723
2109 512  5305 -4775
-4704 -2231  -4604 1474
3843 6469  4699 -2695
4804 -1470  -1100 4600
-9494 375  -488 -2361
4885 -1298  -719 369
-1513 -835  -5239 -987
2621 2561  -3361 5670
-2657 -2254  2116 -4525
1294 9124  605 647
-1469 -2917  -589 502
1899 -888  -7346 -886
9388 -2733  -535 2935
-2364 -2196  -67 -681
-3004 -4907  1598 438
-8198 73  888 1593
-3280 2710  -2588 -119
5510 2761  2477 166
-3029 3797  4141 155
-391 2860  3849 848
1855 -951  -484 -1521
769 -802  1981 -1139
3445 2387  -1184 3982
1634 -1561  -1457 2181
206 -302  619 3720
-2735 -1086  -1897 1929
1920 1643  -834 -539
-4354 -6591  77 -645
-3717 5895  3967 2721
4516 -1920  2553 -4832
3083 411  75 5161
844 -1651  304 614
79 -2601  -2607 -3295
4222 -3140  -3932 1531
-4989 983  -2049 -802
2923 3662  3934 -144
-597 1340  -342 -1718
-3694 704  2053 -2580
48 -241  4242 2344
-41 -1073  1020 -1009
3418 -1631  -3685 -909
2604 -1682  -2466 -2254
3575 1028  -185 -4454
4736 -1259  -806 5777
-238 3050  -24 -1322
-1887 1792  -248 -4123
138 -1233  1049 55
-6701 -1672  -1232 -4006
-7946 2190  1498 -2943
3258 -3603  -1726 3466
1197 6245  2299 2786
-5173 -394  -2276 -3773
2546 1601  -3427 -6416
-31 175  4518 -2316
46 -3245  -635 233
1444 -1160  -1865 -1393
-1477 1977  4483 -1212
2625 1591  587 -1967
-2824 -3531  27 -897
4178 4576  -3619 -1105
-56 -5262  -3723 1993
-536 -3675  -1604 -2199
1735 -1655  3010 -1865
3182 4825  -2510 92
-4269 6682  -6520 -1108
-363 2959  -1743 285
-3374 3438  1877 738
-3166 3975  1331 -1791
-4203 -3368  982 2394
3251 1884  1002 2536
-1245 -2082  768 -332
-104 1908  -991 1370
2444 2574  4100 -2499
-5561 546  -534 -4680
-3930 2676  5078 -397
2226 -3541  -2190 -220
-281 -3789  3932 -398
-577 -569  -187 2432
-3694 -1258  -1460 976
-4178 3117  -2702 1917
-2792 665  -2656 -2381
878 2299  2955 -57
736 1124  -465 124
1837 -135  -4691 4424
4006 -4612  -142 2057
-2756 -3136  83 -2813
-1521 1668  3199 2307
1721 -4000  4375 6726
-3268 -6016  3561 -937
2403 -2655  -1474 -3856
-338 -2898  -332 -1539
-10217 -799  -5578 -66
-1395 -555  -1654 -984
-1287 -5  -989 6131
642 -3374  1423 -3213
-3262 -22  -2670 -546
-1925 2253  4161 1245
-967 -2592  432 -1529
-364 -1545  -2509 -2721
-4170 -930  5733 -475
-4868 3850  1388 564
2905 -6464  460 442
-1596 -4443  6101 2089
2554 788  -2094 4949
1295 -1239  875 -1834
832 -3715  -694 2430
1359 -23  1251 -451
1783 2990  -7717 -2530
-3760 212  -25 1330
210 -815  -2161 156
-840 1294  5589 1682
-5723 -1451  742 541
4270 528  564 313
4541 4335  4949 -705
-1804 -3110  845 -898
1904 -1627  2467 545
-3015 346  -725 -1050
-2105 196  4700 -826
2725 2842  -3216 -12937
-330 371  -756 -514
530 552  3433 278
154 -1919  -4733 -1378
558 1840  -1648 873
3625 -548  2080 -3237
3626 3492  1053 670
621 -3243  137 -3939
-4059 2077  -539 88
-2457 -304  2897 -4295
-2402 2743  -4950 714
2375 1472  2256 -3133
-545 -2786  -2197 -708
308 1141  2221 -1486
6536 -1115  2214 1800
-3934 2284  -1212 -1559
-480 4150  2019 -1783
1343 -1789  4231 -1082
3787 1686  -387 -352
-1443 237  -3828 -683
3809 -3028  -2233 1708
-5538 6478  -2486 -4664
904 -375  -3028 482
-6628 -526  2048 2775
-243 4771  -2078 4547
4491 2981  -474 494
5476 -686  -2298 1716
-923 -1823  343 2453
4504 -121  234 762
-5539 1654  1868 -205
692 -2156  -3907 142
591 -1384  140 -16
-363 -1898  1127 3320
-73 7129  -2277 -7336
-227 -4726  708 3392
408 -6163  -3447 -2808
2157 107  198 -2331
-38 441  -4816 -828
-1969 -5394  -7532 3562
539 -493  2168 -1466
4332 2499  2052 -1098
-991 2732  -4834 1140
-1715 -570  -846 -2507
-1790 1911  270 -309
1658 1159  162 1987
-1420 3209  985 -2745
-958 1838  496 2396
-1354 1669  108 -616
1046 -1582  1235 5839
2333 3110  889 -3821
-1557 -990  -1077 -2589
-1287 -4586  -2803 145
-1937 -615  -3761 -206
3315 -2573  3918 -5320
-297 1435  -1140 6734
459 -6792  3017 -1756
-1579 3814  -3214 -2342
2788 317  -156 -4337
-1126 2696  -1861 -3207
-114 -1014  -1880 1486
231 -695  -5490 -4598
-854 -20  -1829 2939
-551 -2785  3041 725
-2358 -1476  -1597 -4171
-1768 3873  6580 1700
-3507 -5602  1502 1413
-585 -3244  -482 432
2669 1912  2397 -1979
2825 -162  54 -218
891 3997  -2981 30
863 871  5762 92
4607 -98  -1684 -2774
2495 518  1903 -3052
-574 -33  -663 3267
4647 1564  1110 2146
261 -938  -2769 -892
-2564 -1716  -400 -2080
-2728 -3002  -2482 7967
-850 4119  1503 -2861
-726 3628  -6077 -4203
122 2187  1182 1813
-440 -344  1954 -4220
-3283 -3147  2326 -1001
-2693 816  -3351 -1164
-1505 101  863 4110
-4039 -1527  1322 3490
1512 -966  -3791 5812
1448 4558  -1 -2119
-1702 1685  1627 -5181
-4153 -187  548 4083
3611 -438  -2538 1318
933 -382  276 45
1496 351  -4013 -1430
-4237 -2030  550 3812
2888 -1819  -2565 2031
1920 -3827  6242 2632
-4584 4776  -3149 865
-4402 -35  -51 -1158
861 -5190  754 -3552
-4583 2525  2397 1248
-5041 1813  338 -2284
-5501 -1509  -2084 -2567
-7813 4468  -1791 -447
574 2637  -2052 -3438
155 1219  -3223 -948
3132 1009  -1111 3475
-2585 4901  -1235 -453
-1183 5157  -1418 -560
6527 1513  1825 -3922
4520 -1834  3301 6592
-970 1161  -2508 806
-68 559  -406 -7084
-357 -50  -1001 -5846
-5992 993  6764 -2769
381 1429  1874 -5481
-1310 -3795  2895 -5393
-2925 1798  835 -3949
-1292 3759  2886 -2199
-283 385  2559 430
944 624  -244 3243
-662 1484  827 -29
2323 -2416  255 681
-1555 -1560  -4250 4370
-5163 -4347  -2179 -2070
-2299 2922  684 -6860
-1278 1763  2431 915
4871 5339  -330 7141
-3995 2219  2260 1977
3011 -680  -2459 718
431 -2114  -3385 -3834
-3193 2287  -232 -662
784 230  -4137 2751
-2071 916  1684 706
-3476 -3018  -2515 -2817
4559 -2429  -1983 5816
1234 -3140  3129 1005
-2070 787  3867 -2516
3314 3205  2200 229
-4670 -1671  -4034 177
-1612 3373  6850 -1758
2982 -1039  2161 3725
33 843  200 2881
-647 -3706  1218 375
5827 2961  -866 7613
1455 847  -1787 4202
-6154 -203  2492 -2733
479 -3896  1293 210
3674 2066  1671 5959
826 3425  4303 2012
4152 -1774  1155 -532
-2527 118  -832 3648
3752 1345  1712 -3571
1561 4226  107 -5948
-3207 -3387  2786 1077
-3812 -5397  -1584 -3108
3866 -1479  108 4646
-4989 3413  295 2420
2111 7327  2057 2045
-72 803  2827 2732
-2151 876  -2020 2736
662 -2124  -589 1332
4083 1560  -647 2605
-1110 -1066  -377 -5296
-3257 2713  798 1374
-3825 -2811  -2728 -2551
-2345 1013  -2221 -3090
3061 -967  -1421 -5232
3797 -900  368 -74
1472 7611  682 -1897
-4864 -2661  5936 3997
1510 1248  1547 3821
781 3679  -4322 -32
658 428  -4285 -137
-163 -4972  7101 -5111
-253 -2914  3751 856
-3554 -2234  -2094 -1102
-601 1298  -1930 219
-649 -4432  1914 -1193
-4759 995  3315 -109
-4083 -991  -546 604
-836 2091  212 2066
-581 -5844  1351 -4099
4571 2902  -1206 -3048
411 -3334  2150 605
7975 1637  3264 -3171
1218 -1241  -1258 2550
-659 836  -5282 -5442
2026 -1015  -633 2499
-1136 -5785  -5107 1679
873 -3517  -11 2069
-3563 -813  -1878 2490
3446 -2218  -838 -528
929 662  2722 55
-4591 -1071  1136 1300
-1389 1425  2770 1139
551 -979  1088 -4230
-5776 -4955  -948 -5237
3067 1510  1095 -1815
3729 1313  -2653 1825
-984 3281  -2130 648
605 -1387  2191 1089
301 527  1689 -3076
-3188 -5814  3284 -650
-722 -3798  4080 109
1430 -5654  -8330 1996
1790 3977  -2130 -6163
-8372 429  1330 608
2464 304  -3931 3992
-313 1147  -1238 -1879
-3751 -172  1066 4193
988 -6191  -6262 -2410
2785 4312  -4332 5343
-4349 638  -3528 2951
1914 -2778  -1805 -6757
2084 -2201  3127 -403
3342 717  -838 -132
1440 342  -472 -1924
1969 -88  2016 -2009
1486 3650  4645 -2624
4681 4305  -5105 -3054
2847 89  4691 963
6953 650  2302 -4616
-10329 2218  -7013 3892
1705 -3212  -450 4767
2064 2570  -560 -3621
-4981 -675  1805 -76
2852 -1859  -2065 -3119
2058 590  -394 -1778
-306 -3033  5934 -4745
-642 -5720  1616 338
3013 1065  3031 -3392
434 2533  -1549 3061
-6237 759  -6377 1442
-280 -62  -2314 -3278
-2608 -4336  -69 -2487
1932 -946  247 -2674
-352 2461  -4789 -3885
-1393 2661  -3295 3999
1949 1599  -3217 5114
7115 1489  1083 -4852
2787 1931  4059 324
-2520 351  1155 -3173
3086 -4308  631 413
-2112 -1436  3270 -2945
1627 2048  -3810 753
-184 -25  -4113 -1156
807 277  -2134 -2321
-1026 -1965  567 -4544
-3658 -1247  -2205 965
2379 1361  -919 -195
3207 918  -2129 -1980
-390 -6546  -1847 1347
-2307 -5311  2710 4742
195 -4345  -1331 3878
760 -4194  -5925 -1032
-1258 813  -5421 4180
5684 2666  249 1875
-143 -418  901 -642
-1159 -2724  -1366 -5560
2353 1029  -1262 4862
-3786 2768  -1906 -1970
2071 -381  -6862 -2625
4411 816  -3017 6251
-4682 -677  -8536 -4486
-2928 -278  951 -1493
5389 -1062  -925 -4424
5251 -521  -6530 -2438
-1905 -2757  258 -496
1360 -1117  230 -3112
-135 -3600  -717 4279
2813 -2765  2003 -4035
-1992 1663  5364 -352
-2236 1765  2684 -2716
-6031 -1869  81 652
-8267 -414  -1038 -885
-3239 167  5779 -1680
1990 -1073  1342 93
2209 -1224  303 3102
-1945 -504  4939 -1746
1738 14  -2674 6301
-3876 3331  -3078 1150
-2436 45  -617 -3061
-7374 -118  1257 4448
1221 -62  5657 3439
-3738 724  -1954 -1414
1786 370  -1891 5251
1127 8499  2521 -4388
-1117 -433  -3692 1313
244 4344  -3338 5546
-2889 2979  -3497 2822
-945 2729  2304 -580
1444 -2929  -5824 -2848
-1733 2809  -156 -5589
-1510 754  -1255 3154
-2542 -1761  -4016 4437
-2045 -2270  -620 1135
-3223 5095  507 -5153
-181 1600  -1986 1016
-4163 -534  709 1149
47 -5500  -455 2867
1744 250  7918 3665
1833 121  -1443 -3582
623 -440  2290 1582
2195 928  2605 -1510
-4222 -2249  -1865 879
2748 1173  -1565 3145
-1868 605  -978 -2677
5855 2124  2422 -2876
172 -704  -1977 -1509
1514 4421  -938 117
2377 -2418  -121 3398
1565 3606  2093 3174
-1215 160  -666 -2736
2187 5714  3008 3652
1697 443  -4005 -3252
-1073 4150  3781 -885
-761 1834  1806 -1104
67 -3455  1253 1500
-7094 2031  -1305 2104
342 -3139  -4247 4348
-750 2978  253 3128
2482 -2791  1392 1298
-1339 3432  -3803 -2679
1894 -1311  6798 2494
472 311  2064 3494
-446 -538  -2189 -2674
233 3121  2652 -4012
-706 -4275  1792 -2356
-2546 -2617  -30 -1354
-2912 1444  -1471 1920
2975 3451  1678 -6030
-455 2417  -3713 -1751
4523 2642  271 -3181
2916 -302  -297 547
3770 -412  -3296 1245
92 -2501  1837 3951
-1646 2968  -1072 -1153
1416 -748  3446 -2480
-4499 -2552  336 1844
-2444 -535  -2881 -4196
-50 2514  1628 1073
1662 366  2391 10382
1426 3813  2520 4509
5640 731  -4813 -43
-2001 -5420  417 -1554
33 3369  1119 222
3445 -2905  1021 253
-1268 2185  -1172 -2869
79 -4921  5168 -1134
-2162 -1482  -2914 -4761
-1456 -760  1085 1994
6190 -2924  -5034 -4800
2615 -3547  -8027 704
-250 -1215  4163 -2937
857 -470  216 -3694
-1745 -1759  -1847 -1560
1608 -865  461 -5565
807 -1046  -203 2676
851 -4727  1884 5621
4913 -2092  -3093 5847
-720 1737  -2055 -95
-5593 258  5484 3428
3080 3502  -5248 1714
-4321 5723  -1361 2484
275 1778  -1723 2618
-773 7104  -3175 -1022
-3576 -208  2900 -5943
893 -2644  953 -968
2219 -22  -241 1765
-671 -3791  -4472 892
-382 3569  1871 -5313
-1996 -2467  -3691 -2924
-1742 -3558  -717 -6607
763 653  5450 2171
5570 1516  2365 -1693
1355 4182  -535 -429
-1456 -1264  -1529 -3104
3189 1500  1956 -5424
3482 -774  -632 -816
488 -4157  4519 1383
1658 5786  1276 1375
169 5015  953 591
-3140 80  -65 -2548
2637 -7321  -4843 -2741
-55 -5992  1727 1644
-2637 1993  -479 2792
-2578 3586  -4454 -3437
-2628 -546  -480 -3120
5714 -7358  -3816 2058
1526 -5334  3922 1542
1821 1588  -2130 -2804
1089 1706  -101 -4553
-2256 -1064  -783 -394
-218 1325  -407 4665
-3837 6402  -2235 5540
-1122 -2125  -1116 1163
959 -4185  -1456 -17
-3493 -2466  297 -2481
-1219 8966  2355 -3295
446 -227  -430 3574
1521 -3584  -957 2329
-1215 -2084  2540 1345
-2688 727  -5567 1022
-2698 -4860  2035 -4945
968 406  3770 -443
1121 -875  -7022 5848
2763 -760  2823 1659
-3740 3975  5428 -1849
2206 585  -4179 -5872
-1607 -3064  -6708 2943
96 -781  -6175 5171
-465 -2088  1380 1394
2454 402  -1742 -2106
-1364 -3093  3305 1434
-1676 3640  -2433 1586
1442 -1651  1122 -4769
2511 118  2156 3398
-1036 -6536  -2365 3992
-65 2099  -948 -4083
-1643 5030  2388 -1327
-124 279  896 602
-4885 1166  816 -1844
-2503 3151  1024 1522
-666 -3539  -201 3027
-876 -2751  -381 3451
2846 -2658  -3623 2781
1666 -2636  2891 -1678
-1680 2063  246 -37
1765 1233  -5423 1172
1416 4320  -3767 -1212
-2064 290  -3834 2025
-4718 1056  -836 -3273
721 -5316  -4246 5734
-3748 -2832  -4448 4217
-114 -1408  4553 -2317
3462 1287  1536 4116
-1874 992  -5166 -3391
1454 1874  -2971 2524
4336 -3651  -279 2927
7909 97  4951 -1766
1256 657  3994 186
3603 4091  -1757 3402
-2122 -3197  -957 27
-276 -135  -3952 2536
999 -464  -107 2165
3484 -1514  -759 -164
104 3275  4369 1684
3499 -613  123 1189
1489 1661  -101 4467
-5465 2330  -3559 4783
2634 1994  -5705 424
1085 -4657  653 2021
698 4432  4611 209
