2899 1062  -2731 507
1900 1108  223 3397
1517 -311  4222 5252
-1778 -1649  2243 -3778
4620 -1739  -2937 3359
316 3321  2777 4124
1622 719  769 1411
1707 4501  2546 2043
581 1045  2118 517
-5519 -377  -2548 371
3355 2023  2384 1213
-3618 -4876  -3620 -628
1476 -282  1890 1052
2862 1540  -1904 3080
-3252 -1874  902 828
-2050 -186  -2463 -4292
3969 725  3535 1212
-2940 1486  -2077 5926
309 -4345  1853 930
4926 220  1111 1071
-1718 -5334  -1677 -1781
-1470 7460  -337 1551
322 -698  -597 -457
-3566 4947  -1039 3751
-246 2935  2626 -2525
4076 3581  -215 1785
376 -2947  -3156 857
4954 1099  -2966 4674
-3416 5565  -1063 -2354
1528 21  -3774 4128
-3302 -2145  3431 -4356
751 -2246  2566 400
-46 -3779  -1847 1450
591 -6048  -3732 322
3224 2905  -547 4628
-567 -2011  -2070 -2054
-6504 -4396  -7264 -5110
-469 -3787  -552 2710
3392 -4154  -998 -2110
671 2885  -1338 2654
-471 3949  -2518 2583
1899 2421  320 2312
2413 3209  2432 -1397
-776 -1047  -4626 319
-1347 3746  190 1105
-720 -813  2774 -3891
-2541 1586  2438 3691
-1545 1053  8211 2127
4351 -4047  -4735 1349
597 -3137  -215 3289
-2979 6563  475 -117
-7113 3360  -3715 -3242
130 1157  -5123 -10
-8251 2648  -1941 94
3310 287  -5433 -10782
-3805 -679  -1838 1362
-4017 2177  -2491 6073
-95 -581  -1974 -466
-1519 1383  4555 571
1056 -1795  -313 -3837
-461 1012  1295 4279
-5466 -1743  -281 -345
-1245 -806  2207 67
152 -897  4961 164
3075 4638  449 1827
-2910 1431  -5559 254
971 -3668  -2963 -3429
-4252 8953  -2406 -3123
665 -4238  1748 -1498
-934 -1459  -6628 453
-2079 464  1262 7808
2232 -459  -2129 6199
-401 2268  -3165 286
3418 -3319  3499 -2969
1967 174  -397 1148
-397 -3794  2191 -5618
-404 -4071  3003 3203
-2223 1274  1129 6998
-3620 3243  -127 285
-1301 -4432  -705 9231
-4049 368  1099 1245
1075 1044  -63 -3281
119 472  1633 -3207
-2659 5248  -1771 1366
709 2812  1313 3411
-3017 -742  2005 -4614
151 1402  2253 -235
-3948 -256  6128 -1516
-360 600  1261 -595
-2346 -354  -3138 214
1510 3530  37 2417
2456 -142  -1527 1743
-1073 709  -2630 -346
4372 144  3665 -91
2169 -1155  3920 -1414
5546 703  2428 1925
-4803 -1328  5177 536
1178 765  -3282 9365
-2961 1704  -3275 -54
5133 914  -2727 -3387
-1937 654  147 114
-2793 1160  6279 -759
4173 -1484  557 3372
2660 -4003  578 621
-350 -1049  -1301 792
1162 -1777  7126 933
268 -4623  3897 -5382
2351 -1093  1439 -1411
3346 -1114  -1521 4300
661 3527  -5147 -447
1382 3912  -1055 -722
-1757 4424  2486 -1861
7181 -5458  304 1098
-945 -5228  12 5461
-4827 -2490  2162 -946
3270 -3930  1672 2668
1188 -2412  -257 659
2098 538  908 -364
200 2864  4177 2441
2367 -5555  3766 -4297
-2660 -1224  -2179 -2342
-6575 -1939  1548 -1659
-748 1718  4729 -38
631 3376  2782 -261
-5325 -1924  1324 -2790
-1223 -2894  2818 -5361
-4047 3882  1624 988
1016 2393  -1045 -1731
-970 -793  -2157 1058
3456 -703  -1183 4353
298 -613  1585 -1388
-4814 -2136  -770 -4122
1447 -1485  3817 4352
2016 -3172  -3544 2654
3667 1201  -2195 804
1543 2935  -3582 1496
754 3028  1105 958
-2951 -2033  2786 6326
-30 -1794  2351 -2844
197 687  997 -2960
-3019 -5717  7676 180
1765 367  -2971 -2974
697 -2929  -1558 1778
1426 -364  -4373 -1661
2978 -486  2358 -1972
170 -2164  1265 -3131
5274 206  -4314 -1468
-2741 -1830  135 -3648
399 1416  -794 1773
-779 -24  3241 10
273 306  866 965
15 4239  -1907 2407
2925 -5855  918 -1593
-1509 -3397  4489 4683
-1875 -8943  3184 -1557
-604 -1066  6364 -3677
3096 -4230  3135 730
-810 -1416  2654 791
170 2660  -3469 -4840
-553 7170  5453 748
2705 382  2975 2516
763 3810  183 -3102
85 358  3373 262
6174 -1131  1858 -1492
4602 -3831  3763 5099
-5052 1139  -506 3710
1884 -4113  429 -2549
1819 -1598  -3926 -3457
479 -3062  5839 -800
-1053 2442  -1626 -4453
-1261 -5078  -1183 -6242
-1470 -1111  1421 2538
2213 -4230  -1982 2995
600 2701  -1157 546
-7603 2600  1026 -927
4819 -3664  -2208 -1162
1355 -1328  -5731 -1665
-3459 1486  -3594 2410
1801 -3450  777 -251
-493 3474  -940 -1996
-870 -5475  3233 -7544
-2189 -152  -1886 986
2532 637  1541 -130
-5947 2892  1525 40
945 5162  1125 3152
-3 -664  -5107 2076
713 -1790  3277 2140
324 -6  480 -1464
-1669 -3721  -1022 -3023
2672 1556  2518 -1704
3821 -2289  3556 -453
-385 -4032  2402 -425
1484 -1819  1469 2975
1495 974  2924 683
1698 2361  849 4147
6449 6943  -6070 -1925
329 -427  -5901 195
173 2419  5338 -2511
-1967 141  1049 2789
-2478 -2494  -5991 2055
-3148 2372  2023 2354
-2400 -52  2927 929
54 -466  -2779 -3306
1157 -3211  4458 108
2409 2921  -6542 289
5205 3025  -590 1488
-1131 237  -350 3287
1415 -650  4346 2191
-455 -6552  -547 -509
-4357 282  1636 -971
-1487 2344  -887 -2631
889 -1003  2138 1615
4113 1039  -3328 1994
-567 417  -2122 -195
4509 2095  -1920 5286
-384 957  -4081 -1337
3187 -3646  2740 -8282
-320 4635  2143 -5649
3173 -1230  2470 1200
4382 -4821  798 2640
-3566 3445  5741 -1242
2104 -499  2320 1020
-112 3039  -563 -654
2924 3593  -319 -103
317 -636  1638 2652
2436 4647  4835 -2121
-3101 2380  -1546 676
2675 374  -4563 -1321
-479 1052  -1415 -1052
-233 -1042  5319 299
4345 -644  -4057 1598
1342 -5722  1213 -1338
-1593 -2499  3879 2730
-1616 5058  -1953 -3732
-965 4939  -699 1620
3782 709  -7181 -1874
-172 2221  -3725 -4423
-6150 -2279  -509 2298
8 1833  -1013 1259
-6246 1067  -3281 830
2803 966  1952 62
-80 -1401  -1071 -1634
-3421 -4116  4640 3498
-1770 -3553  -1487 -3997
-1490 -1459  -1992 -1542
2936 1213  -777 339
576 -1749  2188 -428
254 -240  -445 -1829
2879 -1739  -1771 -736
-1858 -3198  -429 3153
1869 5105  -715 -700
1550 1424  -284 2389
-1217 459  726 -1744
6140 3580  4480 1889
483 205  -3246 -930
-462 3789  -3933 3671
1732 -1885  -609 19
1564 -2941  -5619 -1129
-3026 885  73 -4937
-1567 5100  1018 2119
1911 -2190  499 3124
1403 2878  -790 6839
1885 656  601 -3150
-3381 -8113  143 -1097
6863 -1413  -2710 -2173
1417 -2399  8323 2131
-1103 3125  416 -2445
75 1569  2649 2675
587 -1543  -205 -3545
-3405 3189  -3137 -3359
-2477 1241  -2847 2069
-5125 2708  883 -1523
4105 1876  -3590 466
645 -2646  2681 -983
3003 -1490  -3786 -2368
-6907 5054  1187 8631
1306 -1001  1991 -942
-345 182  747 -2285
3906 -879  -2197 576
2943 -5817  8178 3243
1419 -833  -3899 144
-713 -429  -3498 961
-2405 127  -4425 180
-5138 3415  -2170 -746
-1037 2302  -5685 2383
4710 2201  -2652 -4008
-2459 -846  5735 -85
-1364 1184  -4394 -1375
614 -1374  59 1662
2148 -3372  -2722 5155
70 4534  6013 -5446
1211 6545  1667 89
1006 1398  -1263 4189
-5009 7087  1255 -441
2480 -194  2733 1223
-965 -4786  -1562 3236
-5126 2421  -2339 2079
1443 -152  1366 3020
-1756 3045  -1373 4609
-3212 -1047  -1765 -4761
-3471 -3228  3380 -408
1040 2019  217 1045
-2213 -672  -2032 716
4595 2866  807 2005
-617 -746  3214 -1588
453 5736  -3501 1847
1389 6228  6636 1572
-3741 1527  1829 5741
-3873 -539  -336 -4425
2143 3183  -723 -1147
1767 357  -1642 -89
3378 -5244  47 -1341
194 -1966  4432 3717
2330 2656  4719 -7157
-2882 -830  -970 -803
2 5180  6008 1266
227 -2295  1149 -2382
6476 -2892  -774 6734
-2993 -2037  -2535 1994
1138 -5967  1435 -578
-341 -480  857 -4020
-2008 901  3227 5988
895 470  -1603 -2794
-2315 -3974  -4669 5362
-1754 -1997  517 3254
-3975 3736  1605 6370
1300 1279  1899 2410
577 -2462  -2861 1987
-3722 1595  2883 -5187
-1265 2114  381 -4707
-806 -2839  -4347 2171
-2146 -3485  -1136 874
3419 648  1145 1069
-696 -1289  3354 304
5887 638  -1371 753
-834 -1192  -301 -584
-1487 2991  292 -3311
3384 -2288  -2723 -1298
-1031 -1271  -1420 1649
-660 3392  600 -2529
1873 -2109  -277 3239
-1184 -3978  -1152 -1237
8687 6575  737 2271
-1284 744  -944 -4938
4957 2837  -3925 2029
1336 -3370  -24 4148
-2229 -3299  3353 2305
433 232  -968 2823
-1526 171  -228 -1810
-2049 96  -3244 3993
1618 -263  836 1510
-5722 2232  63 -7948
-1305 3295  -2527 632
3852 3812  983 -2320
-2221 541  -59 -444
-2952 380  -2757 700
3209 1259  -4579 378
-3572 -4074  1821 -2914
-4945 -357  271 4132
-636 -407  -1738 3505
-1948 -2183  -2881 4140
-4636 -4279  3454 -59
-1072 2517  841 174
5440 -2388  1588 -5074
1595 -95  1721 2968
-1150 2052  4372 316
-1921 -733  -1477 2146
970 655  4648 -349
3217 -7350  -1988 1295
1450 2145  2720 85
3771 -634  2636 3129
-64 1220  -3562 1144
6771 2791  3036 4031
-126 -72  -2840 608
-693 -3567  4198 2997
-1130 26  -581 -2378
184 6306  1866 -408
2442 -2150  1565 1758
4044 -2306  1218 -1216
-2777 2909  -2036 2347
-4239 993  -132 4494
2445 -3109  -2198 2163
-4669 -1069  -2202 2576
-1586 -4426  -778 -124
1409 -4875  -671 5362
-1144 -3358  688 1504
-591 -33  -3455 926
2747 2218  2903 1216
1557 2556  -44 -6011
283 262  1 -4150
3349 2020  -180 1985
3265 -6067  -158 -581
-1271 461  2610 -1060
-2769 -1013  1098 4217
-533 -5817  406 -5220
-1531 -987  2656 -545
1105 -137  7380 -1528
-221 -3505  -1316 -4739
-2341 1425  2892 2216
-1550 -1574  1657 3736
817 395  -3209 -2455
1546 -3904  2037 2224
-1773 2939  -4525 -3873
-1195 3258  -157 1877
3498 -671  -5049 -800
3629 -744  -631 -2305
-2708 65  349 -2840
-508 1858  523 6962
710 1414  2019 -5559
2174 -1508  2535 2600
-1800 5292  -821 5221
-552 3710  -1439 589
-934 1136  473 -575
1036 -850  -6801 1279
-530 4352  -2373 2807
2350 -4867  -1736 -1341
3998 7373  -2778 705
448 -3673  2524 591
4284 3863  -2226 -267
-2260 3033  98 4951
-5142 5429  1538 -1857
-28 -3175  92 -1791
2722 2133  -1924 -459
4346 704  -1749 4756
-828 -2160  922 -2847
-1016 2454  -2679 -4428
-2678 1246  1210 2379
2839 3917  453 -684
676 -588  -2412 558
-1163 -127  223 2282
668 -34  -348 -476
-1998 -3340  69 -1675
1805 -5405  -499 -4335
658 -838  -773 2277
3527 107  -9685 2409
3711 355  -2174 734
-261 -2719  -673 -5658
1201 8129  -2148 312
2221 -3105  -453 752
2005 -4177  3488 -2644
-6010 634  -3273 4049
5975 1739  -836 3238
5006 72  253 2849
-4162 -3235  3657 -2053
1864 -1743  1787 -321
3996 -3861  2913 1957
-4902 311  -3961 3409
1639 1346  1487 2157
-745 -4684  4019 4717
3889 3180  369 2825
1993 -150  149 3209
862 963  204 -124
2359 -2570  2200 -1469
-4780 -3353  -1964 -1932
-1117 -3824  1308 -3283
-2031 -4973  99 2388
-1026 -1060  2690 -1210
635 1711  -1317 2228
-1210 -2598  -4488 226
-4371 -4308  461 -5914
2212 -6985  -118 -1597
2647 -3976  4615 4618
1312 1637  -1806 6309
3928 791  186 -3359
6179 -3842  -2754 -173
-2472 -3187  3734 1187
1185 -830  1310 2181
-1233 -981  157 3129
-1651 -2391  -1994 -1992
-6235 237  2753 -1455
635 1159  -5272 4542
-579 6260  6424 -565
3272 3445  3927 2638
-1083 1258  2468 1377
-3318 -963  361 3134
-371 -3949  -4199 -1190
-5918 -3650  -3851 2245
2337 -611  2173 -1658
4420 5690  -1207 -2973
-2141 3129  -1445 -87
-2913 -1127  2736 1222
5611 -1239  3057 -2885
-2013 1905  -1772 2938
-2422 7658  1884 2013
-2431 1481  -1059 -3278
-4098 -684  -1174 1851
4355 1877  -1391 -1238
1423 -6044  717 -593
5030 -2917  377 -304
3577 336  4865 -677
-1846 1501  4273 -2198
3392 -1410  4476 -3147
-1271 -3213  -1636 -3185
-2840 4180  1368 -3559
4847 -3081  5536 -681
-4490 -2343  2841 1383
-802 1619  -300 1312
-1282 3193  177 -2719
1290 -6673  542 -3292
-3719 1699  538 1347
821 -2779  -1217 1437
1839 -591  1994 3185
-933 -1297  -1563 -1921
4064 2958  2166 850
215 1503  -4208 2304
-2838 166  1684 3750
-2413 -1595  3090 -712
-2209 -671  -5350 -3887
-1879 -1695  -4164 -3718
-787 1783  -5874 4587
3743 2635  -1680 590
122 2755  -1352 -3035
3618 17  -1647 114
-10 2215  464 -1335
442 733  3387 -5416
2757 -5807  -2822 -452
-1662 -396  3520 1304
-4871 -993  -806 1222
-712 988  3436 -4226
-461 2496  -1 12
1928 37  -37 1692
815 -5466  -1499 1796
8046 4041  -3543 -4384
-1968 -1366  -3058 4158
1728 -994  5245 2016
3960 -3314  -2614 846
3944 -1782  -2621 -1516
-369 477  936 2666
515 -435  -4270 2320
-2109 -451  -244 646
1931 -1555  4970 -3428
-1110 0  -501 2230
1497 1455  174 1920
-2210 1522  751 5898
4731 5451  84 996
1574 -6908  1431 -924
3533 2451  -3462 1497
342 -2666  4097 3458
3623 -409  4198 -4787
-5130 -1965  3238 -819
-10 2337  -985 -4148
-3348 3293  1806 -2555
2696 3599  861 3938
-465 -2027  1369 3777
1459 25  163 1890
1485 -2685  4967 1871
-2691 2803  -4439 -2830
1965 -4345  3583 -4257
-4122 -1672  3362 2105
-205 1627  2557 55
-5258 3830  342 2073
-1222 6268  -198 -1768
-1877 -8881  808 4838
2434 -2482  -3604 -3232
-7611 -1021  -426 3310
-1443 38  5839 4090
1185 1556  -3252 -5948
1027 2120  1031 5334
-2037 82  -1670 -1136
474 -885  1760 535
1870 -1933  1450 904
-688 4021  -4972 2167
-2128 2365  -1766 -742
-2023 -2364  -1682 -2377
-1598 -695  -998 -425
4301 394  -1906 2609
-500 2385  -2354 785
5184 -2750  -2673 1213
4030 5490  333 2255
1036 -394  3943 -2223
-470 -1434  2225 5483
-8693 2552  3852 -1818
1827 4148  1959 -967
385 -838  -806 -1502
-2647 2218  -7285 -897
-1757 -1416  -740 1246
-273 620  -2644 -2223
-117 -3112  -4064 -220
-1457 1032  -1860 1057
-1482 4463  -5308 3217
-735 1326  -1057 1931
-1310 -1167  -7524 -4665
-4625 -2078  -1079 637
3637 -3317  -389 -4179
-5337 -2113  468 -4893
-1325 -1655  343 -499
1073 2161  -4102 1375
1697 -3914  -1910 4050
-4707 -1362  707 42
2753 -2114  4386 1808
-3191 -866  2873 1380
-2613 4417  1047 75
-1747 -4547  -33 -21
177 -3185  3197 4501
1115 -4233  417 -287
2141 3840  39 323
2529 -1450  -1638 -4400
-931 -5212  -1933 -451
1053 -8726  -1052 -2884
-69 985  2199 -397
171 3449  4972 1281
1283 -2055  -1015 -6843
1391 -2879  2092 -2981
358 5028  4820 -2179
1962 2338  -3162 -451
-222 -3696  3216 995
5742 5714  2350 -1661
-1987 2041  2239 -2763
-632 -2038  935 2322
4881 -1909  4197 3797
1506 -4670  -1275 -244
-1984 1664  -3766 -1861
-3950 830  1425 6327
-1344 1680  118 513
2522 -258  947 -3463
-316 -2921  3881 1447
-1391 770  -6298 244
4856 4549  -6263 2359
2755 -1242  3448 2906
3981 -851  159 3190
-2004 -2972  -3550 1011
-1953 125  -4421 3762
2912 778  -4660 -1091
142 -907  -223 -3175
2328 -4605  1002 51
3930 3189  -2833 4057
2592 1159  2702 2095
-2597 200  551 3742
1380 2137  6108 3427
-2945 -2590  -4001 -4304
-3110 -4083  3478 3271
-3492 -746  4534 -5477
-1714 66  916 1751
512 -4102  -4246 -4383
3062 -3514  1844 -2003
-1409 2069  -625 786
-3436 3580  -8 305
-209 -381  -1515 5076
-918 3808  -6984 1837
3339 180  -8516 -2002
5218 -2697  3388 7453
-2703 -3128  -1998 -1372
966 1277  4394 841
-5043 -2061  4307 -1001
122 -5184  1771 1119
-347 545  1891 -423
4544 4180  -1981 -4263
41 -4988  3955 -6812
2081 562  -423 -8568
1103 -5770  4823 460
-1561 -1468  53 1088
-184 3570  -778 540
44 -2314  -1324 629
-3074 5028  6890 3188
-2366 -1148  696 -3101
4679 3074  -3314 8
1999 -1928  4320 1552
-1427 -4516  116 -4780
-4027 -1134  -2202 3844
-728 2762  1749 1380
-3901 -5963  1104 6321
4322 -2726  1369 748
7199 -1489  -2170 1543
4568 1291  -3674 -2496
990 831  -3459 -2771
496 -2437  -11436 -1416
-2650 -329  -1683 3311
8571 -1134  2399 1576
-3585 1362  -2280 -1958
-417 974  1243 1048
2103 -502  -2130 2858
909 2068  1810 -1254
2882 -373  -3407 -4595
4931 480  -918 -4870
-1902 3181  1415 99
331 401  -2641 3874
-6322 -38  265 -2669
-4745 4387  571 3646
-2740 -582  4449 -1587
-2670 3306  2267 -843
2141 -3583  -3168 1076
776 1854  7721 -5123
-4259 -1965  2776 190
5421 2623  -4307 3439
255 4041  3675 5280
-205 1537  -3035 -4885
445 -1945  -345 1790
1683 -2565  1294 -1443
-445 -2791  -1705 5187
2019 -1849  1704 1317
-2441 981  -453 -629
1898 1517  2504 4316
-280 -1363  2882 -2264
-310 2545  2888 2690
-536 -1827  -2718 -1158
2578 -184  -605 -3783
-289 6941  -230 8633
4000 -2356  -309 3179
1731 5431  -2748 -1573
1940 -34  -2038 -1836
807 3721  1131 -2368
-1672 -3420  -206 2826
3465 1093  501 -678
386 1204  -1916 2071
-1228 -3366  215 950
-352 1406  3442 1267
-4086 -1692  -1117 1320
-1595 -477  6764 3775
-769 4589  961 -5436
3465 -57  -3880 1405
2783 -3911  4127 3016
-3333 -91  3192 -539
-272 136  -92 4539
1435 1107  568 -3583
-2070 128  -2404 -4969
4432 3429  231 6606
719 -214  1140 2079
1146 2977  -1281 -1744
551 240  -1218 3555
-1930 4761  -2518 477
-1339 -2588  3157 7237
-1384 -5291  -1048 -371
797 2086  -2639 2849
1635 -618  -415 895
2056 1353  3054 -3773
2555 -5028  523 6321
6182 -51  2594 -3747
-297 -630  -1265 -1505
-2586 -643  1840 -1672
4285 3738  2207 1407
-2274 2955  -2638 2574
848 -1736  6035 -2560
-3243 -919  -1861 -1598
-1498 -4416  411 932
6697 1415  -2013 -606
2061 413  2827 -917
-2970 -5662  -4114 1815
-2811 1107  4033 867
804 2290  -2342 3007
50 -3868  -4901 -771
-1175 3033  2009 128
1702 566  1315 4599
539 3105  -2603 2208
396 -632  1093 -2727
-1728 -1018  5419 -572
1972 980  -1695 3949
4660 -4306  2099 -4226
4181 -536  2551 -1323
-3983 4166  -1063 -1666
3389 2016  -1361 -1397
-7143 3690  229 -4822
3535 -2183  702 803
-1426 1916  2308 2400
1789 1417  144 -3251
-3082 -70  -1602 3968
3915 -2028  5197 -4481
1313 -512  -471 -402
2527 2476  4885 1229
241 1392  3953 -682
5151 1466  -2749 -3990
-5356 -1421  -1169 3247
-1047 -4122  -6417 -6180
-4608 1725  5971 435
-706 -1152  3331 446
-56 4592  -1317 -1095
1478 -2160  -1089 -1644
-800 2544  2119 1861
-4975 -1219  -1294 -2275
884 724  -7992 -642
137 111  -2176 783
-1070 2852  -1858 -4990
1049 2581  373 -2764
-1765 3893  614 -1166
1215 -2257  -359 3206
-2731 -461  1316 -1896
-2944 -3887  1078 -2424
1747 -4902  1328 1247
-3024 -3805  692 -2078
-2647 -3910  -1886 -2369
-5966 3088  301 -4437
1919 1901  743 -194
-92 8468  5799 -117
3099 -2809  -2283 3668
-5837 5505  -3329 1631
-3529 -3009  -1195 544
549 2067  -637 3803
-1107 2709  -5707 3454
-619 5676  -2760 1380
323 -3440  -1450 -2281
-111 -3312  -90 -524
-4877 -1676  -48 -807
2691 -840  8836 -2427
3952 -1411  -865 157
-4611 -996  2012 -565
3436 -1829  -1355 -5521
-3718 -1743  -630 254
787 -1096  -378 -4027
-1612 477  2582 -3066
-917 -102  -2594 1111
2338 -3459  2132 -149
-5403 -5248  -5690 4006
3774 2531  -2616 -4951
4479 -412  -2694 -2670
-3820 -1913  1730 1972
-2101 -750  548 2207
-200 -3479  -180 -990
4133 -1482  -5950 -1069
244 -5210  -9745 -3754
-969 -2613  1192 -1107
2208 8344  -4205 3462
885 -2233  2902 -3849
2051 1332  -959 -4773
6252 2649  -1795 4044
3931 -90  1783 -2771
1554 -4955  -1281 996
45 -1389  1415 -4605
49 1693  2442 3962
2483 253  -1453 -3101
-825 -2849  -836 700
161 -2544  1787 565
1153 -264  -1389 -3409
-3539 -208  327 3263
77 2232  4783 2661
-1484 4779  50 1620
4614 -5139  301 -485
1608 1551  2112 2084
-738 -3823  2737 2909
-50 3396  -64 -1946
-4804 2594  -5274 -1510
914 3448  -1356 2186
-1580 -1982  5302 1310
1761 4289  -6783 1641
-151 -4955  421 4715
1387 -4209  -3307 -1991
3899 -841  -3307 6919
1155 -1990  2053 -3444
24 -611  3462 747
-1007 -2354  1755 2724
3708 -1653  -2446 -2459
4256 -3732  2466 2858
-4770 -1128  362 613
-1354 -3266  1566 -3438
1228 890  1558 3835
1835 3405  -1787 1462
3863 743  -2650 -1011
1251 -1231  2021 -844
399 1655  -676 3037
382 5880  746 3209
-1922 -460  -5292 -3710
1712 -2306  -116 1261
1044 -226  -1762 -1040
4599 4992  1438 -2683
1406 -6489  3465 1412
2257 3336  1248 1193
2722 -2067  -3127 -934
1881 -202  168 -1372
2363 -398  -2878 568
4591 -1168  -2844 2074
-1339 1164  3474 -1194
-82 -3773  999 609
-4774 2559  -3643 4820
-4368 341  1921 2021
-6192 2737  -981 -50
-4785 2606  -1322 2870
-1448 -2153  1810 7048
-211 1502  212 4596
1544 -1811  -3808 -2346
-1029 -2918  3250 -2121
-3336 3557  2533 -908
-441 -2716  -278 4541
-1466 -5959  2767 2628
379 801  -562 -3779
-3329 -3747  960 42
2253 3  4444 1937
-115 -1177  -5526 -1752
-2045 3607  1181 2538
-3012 -470  157 -833
-4619 1863  2605 2194
2652 7064  -543 -2579
3243 211  -7874 -63
607 -741  -1047 -805
2555 -801  1064 3597
3391 -4009  -3995 411
-2094 -2189  3518 -2235
315 -2138  4666 2756
-2080 -4033  -528 1741
-2637 -3304  -864 -3982
2222 1545  3423 -3889
-1248 -1589  6877 -3247
-4580 -1949  -4129 -5191
1094 981  -3907 83
1181 4311  -3640 1206
3365 -2651  -3312 -3926
4059 -63  -758 -5224
-3465 -4581  -326 -1992
6674 690  -5396 -32
1198 -2246  -1644 -2290
876 -300  -2612 1504
1308 -548  2676 -66
3326 -2972  -85 -1495
150 -3606  -586 1685
1652 1026  3241 -165
-5988 2648  -2558 -1249
-2097 -1286  6082 2212
5166 -395  837 -4321
1283 1032  -3514 -1540
6208 77  203 -4603
-817 -2165  -2642 131
782 -4212  2470 -4668
1953 1551  -206 1239
2914 -706  -1630 2606
-320 -1730  -3455 -308
-3423 979  -2161 2479
3648 452  1433 3868
-3101 1191  2451 7829
2023 -448  -162 4155
332 -4381  4033 -1304
1603 4166  608 -1869
-494 -833  2689 -1278
-1100 3815  -252 -1760
3101 2566  3487 -4235
-2204 1313  -1210 8542
-137 -6974  1539 2421
-1049 2906  1912 -2616
729 -1618  230 -4460
-1039 2108  138 108
2547 -1280  -788 -5620
-2390 911  -3004 2000
2666 2657  -5354 2081
-906 -1213  1550 -2372
2134 -371  -2440 1091
-5579 30  -295 3213
-102 2011  2808 -4480
3631 -46  -747 4029
-1838 -2303  3842 -1446
3572 828  -4440 186
-710 -836  898 1059
118 -958  2780 2418
-3604 474  3354 5613
-4835 -1508  -2098 -638
-5637 1216  -1062 4114
339 -658  3706 -800
685 -598  982 2168
3411 -3273  -3830 3601
2016 2458  2240 4629
-2381 -1967  6506 1185
2338 1758  -3884 3329
-3641 -2011  -4917 -3589
2427 1433  -4067 5976
-805 3413  -3615 -2851
-5405 3425  79 -4684
340 -3105  -2245 1191
-62 -2223  1344 -3764
-1970 2085  -1707 -1945
-324 -4573  -1816 -3154
-1574 2090  1068 -1064
-3764 3606  -1 -2284
1462 -5558  1462 534
4440 686  -693 -1738
2743 753  -2853 2499
4222 2638  6512 -1076
-2885 -3773  -4579 -469
2336 254  1392 -3634
2456 -2231  1029 -1818
-1886 -43  -2609 1354
-2876 2477  1239 4860
5230 597  1169 -3820
