1467 -3821  1049 3695
-1725 -3747  -776 5353
-3156 -1584  -2579 667
940 1777  856 -1107
2802 2149  -1556 4375
-1016 42  5637 -142
-91 5495  -4900 -1686
-563 2287  -1431 -632
-6587 -6048  -1584 165
-3154 285  -4121 2125
-3390 3056  1104 -854
1177 -92  1446 -405
-5427 -2560  -40 -815
3672 2892  3698 3825
-4275 -1686  -5124 -1396
5904 -44  -3907 2451
-2410 4820  -717 1215
1010 964  5479 3101
714 -868  -2954 2939
4632 -6449  -2064 -1187
-4494 1929  3039 3394
1211 -3461  -2435 -186
-579 -1091  -4784 4371
-2729 -1089  -1858 -4224
3077 -1968  -1261 3346
-1712 897  -897 3517
7000 -4012  -661 -1601
997 -2462  -4443 2568
-2745 1190  -990 3333
-773 3289  974 -135
2360 -3544  -507 -3227
-2752 2245  4606 -9014
3213 2284  3932 -3128
-639 2121  5692 -521
1627 -3524  -254 4427
1052 -6362  -1726 -3039
1414 2223  354 4269
7241 2918  -1540 -2432
722 731  578 -3706
4833 -1113  3324 -1629
-1411 2442  -3945 170
-930 1900  2710 3269
-1411 -1570  -1141 -1342
-5123 -1728  -2479 2904
2361 1688  -1521 -3107
-861 806  -441 1742
-478 1329  1454 -2890
2335 6469  1589 549
-3014 -3379  2082 -2938
-16 360  1401 661
-963 -2481  2037 127
-1134 4721  3355 -1846
37 -1161  -1617 -107
685 -7  4648 -518
3436 132  1141 2587
539 -2368  2094 -3925
386 -378  651 -1746
-123 -2640  907 1179
2810 486  -3651 -1619
-4349 -671  777 455
-2013 1105  -494 -1294
7651 -3717  1645 4135
2433 1827  -885 184
2700 -1461  3230 2000
2052 662  -3525 -3845
-4000 3322  -646 4959
-4428 2440  -33 -2437
-2873 -7077  2774 -1637
-552 -645  2891 7322
853 520  -1240 522
2038 584  -4934 -2529
-2735 -556  2129 4054
1826 -3335  -1736 -6917
-1999 4719  -2212 1668
217 -638  1426 -120
367 -216  -974 228
-4332 -4084  2980 429
-3948 3786  -425 -3273
-987 -699  5683 -4595
-3106 -4860  -708 616
4719 1540  -5041 -4882
-1745 1719  -295 -511
-2204 6619  9123 -1592
-2263 1183  2447 2893
9540 1401  -5740 171
-6155 5640  2083 2486
525 3458  -590 3289
649 4332  -142 4895
3837 -4047  -1686 -166
-3586 -1525  -671 -2235
4353 -2751  -49 5219
1209 2431  -3757 -2633
5609 -3620  4380 2074
2662 -2442  -2887 2954
866 -2985  4726 4078
-3608 -4313  1146 -1128
3136 2511  -983 -434
-1675 1858  -4496 3470
4874 1922  1216 -1034
-605 2108  3093 6298
514 -4853  3042 -4031
-809 -300  3444 -70
426 -3043  285 2248
162 11  -2019 211
-2794 2427  4168 2673
2297 1205  -5149 1499
-3431 3207  -3516 -860
-1385 -744  -3416 1082
2615 1821  -5913 1750
391 -2033  3918 3819
3827 141  2096 -5161
-6834 -1284  1248 2944
3612 1347  -811 -2996
-5660 -4556  -5116 -5084
2851 -2345  -1026 104
-240 -4149  2368 -3135
591 -3912  5591 -2986
-556 -1477  3333 6948
-2019 2475  812 317
-4914 -2488  -3792 -402
2121 -1952  306 2895
2061 1035  1257 -4271
-2097 4250  655 -4638
801 -1738  1599 -84
159 -655  5682 -6382
4243 1650  -1259 3925
-3663 -7485  2796 -307
4800 -3248  -5200 1696
-293 -4041  -44 -804
196 -5179  -1095 -1384
5421 1655  -821 1306
-598 -475  -9832 2078
1042 938  -4116 2371
809 -3693  2855 1020
3184 -754  -6969 -2934
-4472 2221  1295 -5819
1195 -2249  5306 -4334
-465 -1831  3583 -461
-514 -1207  1720 1504
-2119 -3280  -3068 2385
434 1258  7305 -4486
3421 -1700  4877 789
-762 4520  -5779 -3638
17 -4930  2720 155
-6026 2103  7224 2657
3900 -2380  194 1384
-86 -4836  -997 -3817
3345 -5235  755 -3511
-5064 54  -440 -3480
2018 1513  1015 2320
-4778 -1428  -2968 -2060
-3652 -615  -698 -1999
646 3176  3819 878
4505 -3007  1535 1511
1997 -804  1808 -1810
6100 1927  403 -4168
-4123 2265  5633 -48
295 -1218  -521 4825
1332 -7394  -1633 900
2324 622  1739 -3452
148 3284  2168 2150
-3157 -291  -3353 -4084
4219 -1337  678 817
-3135 -1252  -3229 264
1343 -564  -2776 5531
-907 747  1959 -1845
-115 -2913  1378 1132
3347 -989  844 3596
22 3632  -793 1842
4240 2191  -1148 -1475
-412 -2385  -4676 -4730
1653 977  -2073 -2623
-9446 -2562  -5669 -3635
2150 5486  -1687 5552
-3457 2149  4414 -3851
-5073 -2924  4820 410
-159 -598  -4948 -2272
-539 2604  -1370 -5247
4694 -5486  -1031 -1703
-4250 2215  488 -1631
1108 -1083  1104 -906
403 -944  -117 -6086
-1200 5164  -1286 473
7945 -5265  300 2421
1752 -2973  -788 265
2246 -2214  5848 -47
-63 -4832  -1899 -3076
4091 -3132  -4203 3379
-4133 4539  3055 -25
-759 -954  199 -2739
417 1151  -1863 5007
-1504 4542  3320 -3577
462 969  -1026 3254
964 -4785  846 2126
1490 2337  2385 -1143
580 2532  2101 760
-740 2348  -2918 -3381
-3018 2990  1072 4077
-3274 3028  -3042 2284
2822 1889  -4594 1337
413 -2121  4122 974
-1378 2830  -613 -1700
2617 2357  -5115 -6755
1366 -2737  -840 5133
-4148 -401  -2320 5259
-6 -3416  -834 -536
1950 -1929  6442 2840
2716 2249  -1657 1821
-706 826  1302 -2252
1401 -2468  -3264 2362
-2290 876  4509 297
1392 -2931  -1747 3635
-2069 455  323 4490
-1516 597  3774 413
190 -2477  2838 3464
-215 311  15 -3346
477 1014  2351 -2499
-1541 -2545  676 -130
-536 5486  1264 3740
-1198 -3392  -3484 5173
-3806 682  1188 -1413
-2586 3984  -1306 2525
-4501 2982  -1512 1463
-3644 -3408  1251 -1799
520 459  2217 -4749
4764 -1154  -2407 -7858
1488 1576  3236 2030
1682 -4082  299 965
-1246 -1582  771 -63
669 413  -1571 3311
-3548 2433  -459 6322
-1000 -2243  342 -4651
-901 -533  3149 4893
-147 -4542  -1189 -3231
765 2089  -1712 789
4164 -2912  -7445 -2723
297 711  -887 -3715
2546 2441  -2560 953
1851 5511  -679 -2581
-2207 -3082  1330 -1185
-4567 -4180  -1909 2975
-155 97  -1240 -659
1969 2170  -3620 -515
-258 533  -3486 494
4498 -3243  -2543 1651
352 -3114  -433 3529
1166 -1350  -3115 1402
-5424 1064  -1043 -1631
-3342 1452  -1105 3530
711 -4824  1440 4253
1180 1892  5140 1379
-3663 1229  1313 -3990
-2311 2453  2634 268
2405 -711  1478 2952
-1282 3756  5018 2783
620 -4561  2544 380
-461 -1623  2232 2115
-153 5899  -46 5089
-1622 -1421  1314 -2229
-234 643  -273 -3382
-126 -599  4720 -2273
4135 1524  2191 -766
-7720 98  -776 1261
-3035 -1257  -970 -3788
2399 760  2829 139
3222 594  -4411 1921
-275 -3930  1155 5689
-5309 3384  -2315 -2933
3265 1562  -137 -979
-1168 1994  -5056 1885
-3631 -1426  1518 5175
338 -3357  -3155 3439
3683 -2782  5889 -7359
-672 4703  2549 1414
1451 2825  64 590
1781 628  71 -1085
-594 -1110  5990 -2749
580 99  -3343 -1470
-3611 -2311  -3789 -702
231 -151  992 -2122
-3538 586  425 -2642
4013 -508  3155 2234
-712 -1852  343 -3102
-2381 3203  5183 323
254 -4999  -3682 -1502
-2443 -4500  -3251 -930
-293 -982  818 -2777
-568 -2965  2787 -355
373 -5094  -4741 3267
-685 -3913  -2876 4820
2946 1646  -1550 4793
6086 -4150  -3816 -5372
4595 2605  -1534 -1925
192 -489  1010 6155
-5592 -1492  3030 -1057
2926 1911  4785 -3417
1853 478  -4147 -1856
583 2388  -2381 1038
-3381 8574  2732 800
1583 -1947  359 -1310
6212 5071  2710 8043
-5309 4325  1909 6708
-4190 -5887  -4291 -1664
6678 456  11 2336
-3277 -1041  280 1999
-344 -1349  4293 279
-2408 2735  3783 2624
-1170 -829  2670 739
1614 -982  1809 -3636
-1584 197  2582 -145
4976 565  5232 376
-1609 -967  -1716 -3455
-3691 -751  -1380 -1587
834 -2660  -359 -3289
-2448 2257  62 -1810
1048 -5958  -5117 1690
-4507 1204  1292 839
-6263 -1142  4005 -1416
-4339 3669  -2247 1053
923 1470  -1344 1847
-359 3174  840 -113
4150 108  4959 735
5726 -1099  -1704 -1739
1109 2736  -3138 2570
-3792 2297  -4088 1719
-3959 -2876  -450 4312
2191 3687  1331 375
4058 7532  -731 -4850
-1850 -1433  -4282 -2954
-55 233  3586 -3997
3888 6491  -2577 -2654
-1639 -1045  -4285 274
-199 3362  -1927 290
-5942 105  1265 369
536 1557  6515 3978
-2123 -483  -3266 -1014
1859 465  9919 -2845
-5897 -1453  609 3643
-435 -330  -852 -1340
1221 -3326  4443 -537
-6369 -1914  -1503 -3895
-3607 -1916  2197 -3909
7111 4287  1852 -1513
-6200 -682  1192 4303
-1024 -1102  -1715 -5277
483 -1265  -195 -4767
1303 3970  159 -2362
-820 -2308  -2070 -203
-1072 -1333  7966 -3476
-953 1259  -3009 2510
3012 621  -1841 -2114
6302 2847  -1361 796
2381 2814  -322 977
414 -5125  -5281 -3577
-309 -2581  1667 1275
-3396 -1117  23 365
5580 -3063  -1992 -920
4447 -2863  -1901 5455
-2421 2406  -74 -1355
-2759 363  636 1725
4327 -1167  -336 2629
-1096 -3084  -3973 -182
-1783 -1574  -3343 4717
-703 4636  2637 1423
2334 3431  -152 812
-2322 -403  -1028 -2538
-907 2423  -724 -2502
-445 3762  3733 -927
512 5581  -618 -573
3888 -5731  1234 2943
2810 3022  -4366 6216
613 632  2392 2373
-775 2388  2532 -1929
1503 4372  804 4439
3470 1306  -691 826
5108 452  -416 -621
4567 1085  -1736 -2421
-753 -1297  4075 -4513
-1807 1182  -1435 -56
-1796 -2056  3648 938
-2374 2094  3738 -1929
-5634 -3470  -2764 211
-2310 -6044  2014 -1387
-1434 4610  -2819 -1545
2093 -67  -1640 -6466
75 582  -155 270
1752 671  118 -2188
563 11  -1160 -4909
2753 1560  -2871 4326
-4528 -2148  -1651 -1587
-82 2585  2646 4060
-996 2430  -266 6251
-1008 -7974  1684 57
3438 -2055  -743 -426
181 2914  2499 3760
-1732 2443  3126 1223
-2209 771  3599 -1014
-4473 5417  3784 -4762
279 -1078  2108 4220
-2311 -4403  91 441
-26 -200  -1612 -5242
3359 -1186  5584 5328
-3307 3371  -2521 -633
5822 -1829  1976 8095
-5833 -1179  -2522 671
667 719  -1226 -263
-1597 3781  -1577 3603
511 5766  -2346 -1438
-186 604  -2002 783
523 -590  -79 5307
-1138 -2578  1986 -1574
2579 -1485  -4353 2713
907 2757  -1085 -4862
-101 -463  2068 867
3386 -4421  962 2027
6116 -2743  1439 3403
-3152 1518  -4632 1724
3799 -4148  1361 2432
64 369  -507 1101
189 -2397  -2391 -327
-1527 3270  129 -1153
-2402 -2685  269 -1155
-21 2575  1583 -1259
3056 2951  149 -2814
2805 -4624  -4539 -168
-1163 -1947  634 927
-4073 -1840  -2787 -800
-3249 3058  -4326 -1769
4862 -1770  307 1726
651 257  -3081 3850
-1647 1614  4829 466
-1971 -3692  -242 7
-188 1560  -626 -5394
194 5881  -1684 2031
-3557 1924  -614 1585
6549 1168  -643 -819
4580 -1994  2295 -764
1060 1352  -469 1084
3703 4808  2446 3467
-2964 1781  1829 2561
740 -154  -2628 -3982
2290 -1039  -3143 -4418
2150 -2601  139 -248
-475 2787  785 -4507
1694 -854  -4982 -2950
1606 -2241  -188 -3563
1605 1384  -6 -898
2535 -4043  0 2939
-1082 6186  5192 -4278
1962 1646  -1229 1776
-3299 -2331  -891 -1419
-1544 3195  -3544 7462
-1249 -621  4103 -205
-1434 -2584  1417 1766
4252 -2003  1183 -2190
1524 5095  -1134 206
3839 -2818  -5399 -5305
-8512 -869  7856 -1564
-1952 -4345  11 2220
-928 3223  -1998 -1073
-2244 -4303  -3525 -1792
-3736 -3463  2908 -1082
1270 1182  30 -2119
2663 -4050  -1204 -3405
2490 -7832  3081 8296
-917 -3175  -1108 1646
-80 572  -712 1557
-1866 -3947  2777 -668
-3366 115  -694 -2374
-3158 -3179  1636 -2787
3653 -4854  -1474 588
2645 -2344  -4498 -2059
-317 3053  -1919 -4746
-2684 2151  -6134 -1581
8383 2251  3136 2750
742 127  -3895 2957
-4489 3264  -2332 2538
-2819 1578  -4823 -1681
-5418 -5629  -3700 -3373
-4068 214  -2035 -3094
1546 -1575  635 3139
3630 1581  -3006 -62
1164 3329  2750 -2450
-1738 3629  -5862 -4049
-1952 -4149  955 -3526
-1290 -1156  1950 -563
-1003 3715  -3941 4583
-626 -254  3310 2846
-478 -4404  -1438 1205
1864 -152  3144 -786
-4031 4515  -140 -2151
1188 -999  666 3601
-3455 -946  526 2535
-2541 -1806  -2148 -557
2055 -794  385 -1887
1574 -402  -3454 -2416
1460 1780  510 651
-657 -2453  -8049 6473
1924 -3882  3160 -3274
1771 -1462  1529 -1793
-814 1543  6032 1372
-621 2117  1579 4652
2957 -5916  2772 -2501
-4703 -6657  1457 5434
262 -4296  2176 3659
-47 815  5776 -2553
-610 -57  4808 727
-3026 -408  2105 -2860
2016 -5904  -4948 2568
-201 2065  4383 4799
1455 797  1535 795
3004 3720  7377 -1348
-4381 4640  9635 9404
848 2766  5951 -2566
-281 955  2547 -292
3955 -386  3941 2446
1017 -6755  -5079 2526
-9004 1971  -1570 167
2018 1705  1648 -479
957 -2063  545 2023
2271 -1294  -1974 -3163
1955 -648  7668 -2417
122 -1392  -1119 -3563
-1941 -932  805 -782
3328 -1238  1792 1718
131 -4678  -2141 2651
6422 -263  -2721 -2642
-800 -2757  -617 477
2075 -1757  -379 2527
-1872 -4058  701 -2833
-3335 -461  -1411 3458
2878 -89  265 -3454
374 2129  3962 861
717 -1983  278 -245
387 3655  -2795 1466
4747 1300  2937 543
-4061 1355  -1667 -4633
485 -123  503 1685
1154 -5488  4025 2548
-136 -1144  192 674
-4119 -5642  -5054 -459
873 -4835  1456 -293
785 -2478  -1006 -2399
-1449 1263  365 -5448
-757 -5864  -2009 1447
4930 -268  -41 -413
-588 454  2852 4839
-517 -1721  2664 -410
2857 -2991  1203 -961
-398 3840  2159 -3083
1042 421  -1155 1163
182 -895  3221 -1628
-4166 4493  -3232 -3250
1839 -242  -4242 -1814
-1695 1352  3394 -4023
727 393  3759 -4632
-988 -1716  -1586 363
-936 -676  4901 1027
-4310 2536  -4918 4299
-1042 -3411  4903 6278
-178 1911  -819 4244
-2769 1487  -4715 -793
2417 -635  -2633 -1600
1588 11  1506 4121
2474 -3696  -8675 -3443
-1822 -4260  3321 2542
-2460 -988  842 -2486
-191 1811  2947 -1436
2909 -4349  -967 1083
3218 -3339  615 3368
291 -5563  267 -1026
-2088 -110  1187 816
5717 -3557  -847 -3313
949 -514  676 -6662
-2573 -5769  -1310 1389
3001 -1546  1186 -88
1024 -921  -2669 6866
2575 1807  -4794 -1771
-1047 1228  9030 703
657 1550  -4302 3107
-1950 2662  -1986 -5988
2222 2616  -9161 -1103
1543 -1171  1900 3579
-3614 484  -1986 -2510
876 397  -3741 1302
-5713 2388  -608 1035
2795 -5893  2448 -5478
1533 -3288  -1260 -435
2450 -353  -1965 -3007
-2953 1515  -207 4532
4724 3136  -4337 -3164
-851 2236  772 2674
1446 5569  -1035 -3413
1397 -1924  -491 1750
-1060 -2025  3479 -113
-525 -1971  -6361 -2908
4869 3305  3319 3520
2197 -3182  6226 -6052
-4764 -1493  1533 3257
-1896 -603  -2295 4144
-1357 -847  -2865 -7361
-1290 -34  -1138 -47
-3584 671  -67 1439
2344 2274  1077 -3266
2456 -2323  -2008 -7947
-3347 1338  2057 -3291
2196 535  -2794 -1004
3634 -2724  -4763 1334
-4859 -1838  243 -4391
-3045 2551  -1740 -4984
-2072 -396  3526 5655
-2178 1663  -375 -1784
-12 -2705  3028 3670
3204 -713  1887 2058
-4520 -1104  1479 -1796
2008 -250  7642 -3191
-1346 -2360  3255 2766
-2655 -304  -4639 -72
-1195 -2188  1424 -3623
201 -1204  4049 -3333
-2064 647  999 2002
2662 1515  -5420 -1673
-1336 792  -5931 1759
881 -2640  2612 -2336
-2223 234  476 -1325
2701 -2182  -364 -2511
-5618 -4489  -1588 -3542
-2193 692  31 145
3983 1663  2713 -2944
201 4016  2271 3340
1493 519  4435 506
-1437 4388  3092 1478
2972 1338  720 -2141
3085 2318  -2519 -2390
-2393 1287  1516 -4163
1026 1814  5441 582
-3492 6114  -3901 -1610
-1638 -1565  1144 1012
-837 1341  -2015 388
-464 -1120  -1063 -3327
4676 4296  -1382 1847
-1205 -4508  2529 1819
-3786 -3770  -5154 -3471
4683 -3608  -207 892
5918 4634  1724 4795
-3157 1441  2324 -1625
1066 1948  -813 4275
-2230 4060  3224 106
1277 2279  2468 -1712
1369 -4485  -545 -1038
-7512 -3979  -1197 -2417
-1145 1010  -93 909
-3122 -788  -2278 1571
-1608 -565  -6109 -414
1268 1759  -2310 -5924
6292 2764  894 -132
-5700 -6017  -1890 -985
960 -5497  1390 -928
797 -3143  3943 5464
-1008 2414  -207 -2457
-1158 -5439  3907 2318
1319 -2144  -6432 1778
2349 -654  1431 -976
907 -846  11 -2746
-3605 -3625  -1160 -5321
717 6145  1501 -5697
-5843 2021  1446 3663
-2228 -3581  385 -2796
2898 -2074  1174 3670
1929 3285  374 -1588
-4638 -1152  -4204 -2387
-2816 -1462  -1564 -480
120 4487  -5609 -91
798 3164  -4430 4674
583 3067  -1519 4441
2416 -2779  -2144 -493
-1301 2557  2319 3813
-2249 -3314  -417 2132
-3008 3455  -1255 -4491
17 2499  1939 -2415
-1947 2249  -710 -3006
-5772 2083  -1009 2298
373 -4355  294 -656
889 857  2588 -2824
1348 3527  -1142 1577
1713 -4553  6802 196
-1965 -2270  -3891 2175
342 1725  3312 -4321
-635 577  -3767 4830
-2538 1921  -490 1051
-788 3147  31 4562
-534 -4676  -2152 -2285
2337 -687  4621 371
2326 -3708  679 5237
-779 -3323  -2451 3165
975 -454  -291 -1149
-1504 701  982 2697
1881 -1314  -3228 -1732
-703 -4496  4676 -1997
-3468 -4417  6283 -364
1747 2177  3694 -2894
-6579 -1378  3662 4376
2013 3238  1528 2188
-6382 -1651  1428 -660
3751 1985  -690 -1546
-196 5641  4 141
-1905 384  -5236 737
-6837 2540  2713 3207
-3252 4987  -1256 -776
-766 -6765  420 -3211
-3564 3528  1586 2218
-630 -551  -1228 -4733
-3072 4227  4023 2618
-178 -2041  -1569 6062
160 2312  -3437 -2012
-3162 1367  -4074 6112
8347 6528  -4692 -1464
67 -4311  -2280 3412
1367 -1126  1313 -1215
5261 -696  -590 -3150
844 2704  3951 -1190
-1959 841  -1933 -3143
2069 -613  -2389 -5482
1365 3139  73 -4353
1584 -806  -1127 3701
398 57  1330 1037
1464 594  283 6136
4872 -2085  733 -4216
667 -6465  2271 3695
-2463 -6224  -2571 2006
1184 3316  7016 -4890
-2688 -5055  1559 5085
1359 2056  654 399
2754 -2408  1282 -1479
3362 1699  1328 -1083
-1888 -397  -3229 -2989
3861 2315  -1659 -2354
-1181 -838  -4114 -4570
-4747 -1549  3406 1348
-1951 -2274  2656 -93
5773 -1983  794 821
-4090 -910  -2457 5770
1612 3529  -130 -5252
-350 1592  -555 4582
-3644 -1847  -1914 -5312
2574 -2739  2672 -2338
-3028 3164  -1472 284
2111 1684  -2701 -104
-1126 534  3344 -1589
-695 3221  134 -2484
1010 1762  2389 2594
-1379 -3528  1028 5684
-986 -3583  338 1831
945 -2587  -7825 -694
-767 2543  4420 2616
-5851 642  -2433 2035
2828 -271  -1169 162
3700 -1087  -1144 -3257
-3866 -2412  82 4814
-10 1089  144 2341
-7346 -4283  493 -1093
1530 -1962  212 -3550
4278 -3043  3056 3836
-4938 870  -1962 -24
711 -3372  -3536 5087
146 3804  20 634
2402 3747  -1576 -817
-2861 -2199  2464 4108
-330 -1150  -6001 -1217
-17 4712  -1610 2097
545 -1936  -5098 3650
-4090 3622  -2641 -1091
-4610 1942  1212 2049
2612 4766  -1273 -1866
1176 -4479  7743 -3033
-247 -459  4540 -2977
2584 1334  220 1571
1114 2875  -747 -3191
-4978 1012  -41 -1387
-3095 2299  661 2365
-89 -6680  -4565 -4651
-1403 1012  -3651 806
-347 3644  -1100 -1632
-3893 680  -717 5536
-459 -3164  -4003 -1544
-598 -2172  725 1243
-4821 1566  -401 2382
3647 1894  2230 -1233
-1513 -334  -248 1992
4671 -6220  -4166 -510
3801 372  2349 -3713
-3024 1633  -22 -4774
4712 2178  2635 -166
-1825 -2896  -2049 -1763
4852 382  -3029 -703
-2097 -3967  -2543 8421
734 2908  920 1073
-2953 -713  -4764 2711
3112 -5916  -2619 -2168
-2559 665  -2667 1883
4596 4539  3250 3234
893 -2443  -5261 3287
5407 -113  3849 1876
3583 515  3305 -1411
3109 -3425  3592 909
1409 -1874  -4303 -1357
6224 6768  -628 -3525
618 1124  258 -9161
-957 4133  -1581 -3414
5277 -8095  -2908 -119
-5925 -1911  3693 1105
5077 -4475  4613 -675
1229 -1342  311 -6433
-1286 2217  -3601 -838
5687 1015  -3091 -2946
1947 -1138  -4814 -4809
1637 20  3788 3412
703 8673  3519 3326
-764 1195  1195 -5380
-3768 1966  -1414 -480
-216 -5329  -3688 -2298
4663 4756  -1280 -3870
3972 -5830  1891 -31
-68 -3026  -1527 -160
-3065 2847  -5762 -268
1198 2303  1026 4701
-2255 4522  428 -857
-1954 5553  5622 2027
4521 590  978 633
4522 -7883  1274 5296
2373 -97  -2003 936
-1519 6837  -1173 -103
-327 -484  2306 1588
752 -4035  2528 -105
-2922 1645  -2452 -1350
4008 3051  1616 -304
-243 3409  -2986 -693
-4116 -3173  2383 -3073
2637 -5475  -478 -3046
-360 -657  762 68
2094 2327  302 -3661
-3204 2034  -3617 -631
-4046 -182  1213 -2214
-516 3379  33 2579
-23 -155  1039 1903
-249 2926  -331 1572
-512 717  -2642 2277
68 3757  6707 1899
5902 1101  -531 -5829
-1582 2381  383 1209
2329 3107  -5716 4059
658 -1941  2232 4989
4306 -2586  -2959 -588
2998 -1159  -4655 -82
-937 -2263  5768 4299
-4704 -2368  -966 93
-1694 -1531  2639 -1380
-339 1626  0 -1676
-4 -4179  -2485 -3838
7962 4980  2481 -674
1249 -113  2102 1463
-2975 898  3501 1070
-2420 230  2730 2819
3924 -474  2890 3580
7987 1949  -364 -229
483 -3028  -1510 25
1858 2612  4186 894
2459 1356  -1549 1987
-554 -206  -2952 3493
1094 508  3961 4764
-1674 -2365  -1648 2721
-1481 -657  768 3144
-2013 66  2239 3897
621 3926  6388 1508
-2831 -491  -99 2954
-3103 4354  2626 1666
-5222 2630  2592 -1738
-1716 -2910  393 3631
2321 -1290  -215 3634
-2512 -928  -1387 -3725
-4831 -455  -4623 -4698
4536 2772  1303 2546
-2227 -1580  2707 -2103
-1569 -2660  -1006 -5307
-1599 1577  2530 -3339
6244 -1774  1313 -454
2475 4478  2762 2265
1006 690  3397 3215
-194 916  -43 2261
-2293 -572  3097 1035
5016 517  3656 6007
-1983 218  3242 1838
-2489 6959  139 -3015
397 -1207  2694 -1613
3577 -4377  5199 -3270
-6085 1921  23 -2033
2144 3194  -5004 829
4286 136  3755 1688
-2940 3272  -1604 -3202
97 -1366  3013 3201
421 -5829  -2057 5556
26 -2864  5124 -4688
794 -1658  -1766 -1645
326 -1516  -4111 -767
3317 -3542  4230 -1695
6826 -1701  3072 -899
-49 2623  -5286 3474
-4 -4262  2807 -4848
-891 -29  -3067 4302
-6336 -7307  -7198 -577
-3833 5353  -2866 1018
-2993 -2517  -3219 2987
-3252 -1293  3466 -4252
2967 -875  -1557 -2917
-2965 5437  2037 2607
-1055 -3984  -843 -1876
2517 1739  902 1048
3990 4484  -3631 722
-2478 -8135  1159 2893
-22 -6117  -1997 -644
2264 -795  -1622 1092
1663 -2592  34 2049
2776 -2633  766 -1492
3529 -2553  598 848
-12 1981  5553 -1301
-580 4399  4667 -4226
-1072 -7320  2535 -801
1273 1272  -1426 -1669
1163 -4038  8909 1501
645 2253  4029 1338
-86 -5053  138 4281
-1043 -3189  1859 272
61 2607  1307 -3286
2421 -3605  -4146 -3810
-7133 -1513  -6381 -207
1503 -2041  -334 1608
-936 2879  8805 -2328
-3238 -2001  -4693 1436
-110 -364  -1187 5697
1939 3979  -1951 2165
-2555 1335  1681 3791
638 -518  1161 59
246 -3014  -472 -5717
2030 -2088  6001 -621
1728 -1653  -679 -969
6342 -1593  2820 2144
3866 -1366  -5870 1560
1293 866  4150 -3321
150 -833  1986 -2129
1602 2524  -4640 3379
-4155 -221  650 -3629
511 -545  1186 856
-685 3881  -2419 -1183
-6999 2136  7294 -6560
1547 2131  399 1669
1243 -1445  -1924 1973
829 4828  -4512 -5740
-2194 937  -147 -2985
2223 -6722  2453 -1790
233 2897  -1920 -1908
-2889 3296  4872 924
35 356  -2431 1683
-2874 7118  3475 3349
-3632 -2899  2203 -3658
-715 4046  -2782 270
163 1489  6394 -1395
