166 278  -169 381
235 47  -140 -56
-302 550  132 323
413 -85  562 653
-681 -766  -372 -1
-161 -730  221 143
-504 -736  547 185
66 340  -786 60
91 854  -919 108
163 624  -14 272
-510 -83  88 932
233 -368  665 70
-102 -694  -189 -542
272 157  107 -981
571 44  283 -287
119 233  293 -254
-78 700  -484 686
1024 -772  183 731
-123 86  -56 -192
-32 44  984 843
-692 -451  -229 314
-1026 -432  -170 -325
1801 -339  433 1126
-269 -297  -6 364
331 392  -416 -531
-122 507  1142 -281
-1015 395  482 674
336 196  -562 -205
228 326  279 490
1230 -305  -361 -117
682 -28  267 -305
-801 617  723 -76
190 532  -316 -156
589 112  888 -509
129 394  909 741
-26 321  914 -670
-848 -64  439 -1018
-495 737  44 458
-337 -950  -47 -78
-824 -222  601 403
966 -223  -345 -38
-1253 -187  6 599
-377 7  -233 -219
760 -779  303 651
-200 214  -262 -347
-281 545  400 472
164 5  76 -537
-572 313  -579 -1501
348 -84  -618 394
-279 -498  -329 -233
-935 -183  -73 277
-812 611  -349 295
1170 -293  420 304
684 -316  615 -526
-381 -889  -80 -486
-716 -645  -71 200
276 -569  -1536 -157
-249 39  -1270 -367
298 417  167 -181
251 756  -224 172
583 -27  -715 -134
-357 -788  -225 222
-171 -261  189 -481
-657 265  264 655
89 442  676 17
100 -991  -113 89
-635 -266  -151 -106
588 511  -638 -106
-76 1096  -8 -249
323 -389  -366 132
679 -488  -88 45
456 122  -761 -209
71 -20  -261 -1015
190 -445  488 4
-475 190  -905 224
-559 35  -679 9
280 281  376 -854
5 -812  -173 681
101 338  86 -933
195 349  -437 -772
286 -638  -632 173
582 599  699 -313
748 466  -287 259
111 717  -320 -11
113 1300  -569 -737
-687 32  -639 502
478 139  371 754
503 -157  -560 162
-160 -744  -441 279
-28 61  -281 385
-439 -624  -161 1119
-106 -394  -8 -1116
-96 -43  150 90
-454 -536  -12 825
166 -55  -369 -302
873 1126  648 -390
-93 -17  -525 405
604 -201  398 -288
8 -1161  231 495
204 337  15 603
641 -575  -183 -545
-634 508  177 -466
-41 -125  -1066 -456
-90 291  -786 -862
189 32  132 501
-277 480  80 110
-193 -674  476 -402
-180 331  557 393
-300 -852  497 -105
11 745  730 -386
-483 -699  -257 142
124 -963  -869 487
792 -1093  -339 -218
207 752  490 353
-441 -535  -93 -228
357 239  1254 353
-662 523  -514 -844
-513 -475  -464 -807
-599 40  1379 -1232
-572 311  499 963
-356 13  -567 -1387
-95 152  -290 -639
827 403  965 964
-224 -753  612 -49
-198 192  -66 -1220
-240 -242  1505 286
-231 241  -469 -44
-456 -49  588 548
917 -125  182 -177
-478 -536  -566 5
306 -411  -6 88
-247 -33  384 -1102
-658 -1022  -87 -1319
111 48  -759 -172
257 -741  -372 -603
-443 -507  -154 -646
125 187  371 -199
247 -207  -189 -38
-597 -364  673 -152
938 -518  780 -60
474 396  390 433
-670 218  368 1058
13 -407  -584 -102
258 744  180 737
38 -142  -58 579
-233 564  -38 -730
-211 -185  147 -464
-265 1032  -539 -153
-314 256  666 -444
-72 79  -668 -440
-499 -42  23 -8
-381 -214  974 801
-223 534  146 393
185 334  546 590
44 735  -553 404
-139 111  162 -222
1301 261  -437 -107
-20 -34  374 -265
769 -22  236 -508
1245 -1026  243 -648
103 601  -362 54
49 418  175 -386
-640 392  -95 -821
-347 573  567 360
314 445  352 -242
1098 -418  -416 795
-162 281  -336 546
207 520  -369 1007
-31 -41  435 -115
-559 -69  -595 -401
-599 -568  221 668
856 251  -17 -86
7 -371  -456 -120
-1038 -816  1201 27
-420 1058  77 156
337 -101  265 200
85 159  -1104 -103
-961 208  111 -539
634 242  -679 -800
-222 179  -1438 305
-599 924  -26 -141
155 -473  -229 -237
450 325  432 -313
-164 32  -458 -1099
226 316  -648 -313
-129 915  26 -135
-630 70  164 336
144 461  -571 745
356 534  -166 -110
52 232  -34 -255
-134 -22  -51 -326
-206 469  -192 -161
33 -215  -94 74
994 -239  467 -424
-123 -461  -13 -693
999 -414  -700 401
146 -32  790 -308
592 598  104 -65
204 68  -36 30
-188 532  -201 933
-828 259  19 46
-116 52  -53 -493
-971 4  227 -429
34 -336  57 -791
-280 -1390  -481 -170
625 1014  397 -298
-306 292  408 606
-54 232  191 23
33 557  -255 -24
410 684  -331 206
-412 -97  -338 685
-124 223  -53 103
204 1301  139 592
-24 -342  -382 -469
-919 -97  -406 165
-225 577  226 372
59 -191  18 279
199 824  105 -945
-881 102  57 278
945 697  156 342
395 -54  -652 -484
-716 863  1468 -84
-572 -483  -168 7
-103 201  -510 175
-532 -1054  224 162
-536 -113  5 419
85 315  152 -62
-939 -854  515 396
-660 23  -613 940
317 380  -326 215
672 650  47 -695
135 -524  -232 -190
598 -1114  237 350
-1093 19  435 -35
-69 -628  54 274
72 -157  318 -875
-148 89  -252 -149
-1263 -154  -630 206
-426 -399  -76 -323
37 473  -50 -280
-644 -106  552 667
-161 -1191  -515 342
-255 -451  116 70
-356 242  -450 -731
113 -218  -196 177
-162 10  647 700
-763 217  -64 107
-847 -614  -104 -988
-960 126  59 219
165 37  11 -151
-203 -223  -508 248
-525 -521  374 -1332
-595 -267  509 -1168
-186 -439  -440 218
-77 374  -370 231
-371 -358  -977 -666
-493 -233  304 -121
-203 81  -889 -514
67 580  -229 79
-466 -492  221 -551
-331 114  544 -672
-688 -194  636 -334
943 956  -296 -712
700 240  -770 -528
646 -310  295 -321
-93 442  944 -53
1187 -677  -124 -12
647 47  366 339
350 761  -412 59
926 -39  81 1174
1058 419  -341 662
-373 166  -64 -636
-689 116  811 -578
-476 559  119 -416
-471 698  1252 221
-284 498  -409 -610
-47 -131  295 -181
-578 264  84 866
597 -655  353 625
1253 464  -41 -699
-43 -812  356 -85
-326 -426  -1054 -74
-321 287  1270 430
1446 -258  844 -176
-150 77  175 -88
-73 -340  -851 631
203 -540  -929 -1106
498 -373  -92 -274
-590 242  -535 337
-126 -555  -114 -717
-536 1151  -377 -974
-96 -1009  -207 37
55 -138  -26 -448
-640 998  836 -259
389 -661  -347 -65
-525 522  420 1027
448 -113  632 441
839 -222  -17 -155
61 -1018  -1216 530
966 -38  -953 -477
220 -166  -19 270
324 241  998 -789
-543 -216  651 -80
344 33  489 291
1102 -393  776 -357
-109 -619  495 -296
-348 366  338 25
-89 514  513 149
867 152  -601 -438
-298 646  138 578
-1316 422  335 480
-855 485  -680 173
-169 884  180 177
-450 575  801 692
283 -744  297 -41
-369 -166  -46 345
612 -229  273 -161
-152 -739  -626 -17
558 194  -337 363
-383 126  -297 -1025
-472 -820  276 19
-93 289  -656 -606
-114 671  -153 -334
-122 378  637 -86
-17 455  535 693
406 284  -831 -158
116 585  -219 -441
110 -452  -968 727
-951 -234  290 262
1248 72  -168 169
-118 208  82 -59
211 -644  28 -208
-145 834  584 498
-143 -33  -187 -261
392 164  54 175
-124 -17  -38 719
-686 -162  548 -522
671 902  -22 -47
-600 -46  531 -460
-260 -723  378 11
-333 491  -479 755
-45 -223  -808 363
690 326  645 432
356 -570  368 536
289 -684  29 425
-24 -867  -701 451
-190 436  -1080 162
298 -188  -1023 432
108 23  72 51
243 -487  -518 -212
11 168  -273 -137
190 -103  915 -618
128 -102  95 -662
-115 196  -815 122
-326 -97  612 -161
-302 -19  -494 -342
232 -1148  -593 286
661 -471  -383 2052
174 -840  -682 100
-127 246  -336 91
77 68  -688 -676
-1013 1020  -291 248
-409 -597  273 -528
-130 201  -452 -809
268 -184  491 -844
-74 456  -153 325
-127 -561  333 -1047
-250 1118  565 377
-1097 547  376 68
-263 177  177 -145
718 508  -460 365
582 76  399 777
-2 -657  -534 -509
466 246  -604 -151
885 -127  128 750
-740 254  -923 545
531 371  553 569
102 709  369 -546
861 125  -679 -155
1016 -329  386 769
-111 -508  149 509
-133 33  -109 62
625 -648  -142 -300
608 -140  174 -51
-737 569  213 471
928 491  -51 -675
190 -41  1084 -879
60 504  268 -112
231 -290  -264 -657
87 -75  283 -302
433 189  117 678
-795 102  504 632
-780 246  -350 521
878 -339  497 119
-194 -181  1402 252
334 691  174 -257
689 276  -205 130
260 871  -636 -104
-351 798  -209 272
351 -440  -236 -175
146 -678  -39 322
497 -65  -542 1110
635 107  317 335
490 -687  -339 -1295
219 160  498 501
-481 341  -156 34
1181 505  235 -210
-789 111  439 -619
403 1283  500 621
-208 368  100 -56
-409 -202  565 307
47 -979  106 -1219
406 -848  426 186
1046 872  -253 -361
101 -651  -595 -728
-72 836  820 -224
-167 -1144  -990 444
45 -920  159 -541
-811 -290  15 -228
181 620  47 -256
964 428  -170 1046
-683 189  416 -78
73 25  509 -57
-122 668  531 -268
-304 -729  -605 -257
-251 370  170 626
-291 -736  836 23
-455 1048  -160 -474
-129 145  -96 -339
848 847  125 -182
253 -1164  -275 307
-84 1319  291 -283
556 396  -85 88
34 -1574  -194 701
129 535  430 413
-139 -435  -546 543
605 977  -823 359
-369 -500  -9 -664
804 -556  -216 269
-255 183  275 80
-1517 -1342  -74 289
-45 -388  376 -554
-531 -14  759 9
86 -496  -493 173
242 889  376 -155
280 219  595 383
623 -295  503 -519
-306 455  43 -772
731 706  -678 -973
-155 -25  298 -690
-855 -677  -104 314
740 1234  96 -141
-99 1240  -470 900
366 57  -400 -467
-221 -255  342 -1345
-271 97  -163 30
407 -975  28 -296
406 -462  553 -341
-430 -214  67 -199
-175 69  1458 442
161 -254  -336 330
-360 -245  -381 156
-449 124  -59 796
611 215  590 206
-91 -238  1078 -335
807 222  246 -467
539 -743  894 -454
-305 62  -238 266
1501 621  334 -505
-10 -361  220 180
1145 -631  -189 -285
-132 592  -280 -566
27 251  728 -137
743 -106  319 507
244 34  -427 -683
1160 -979  8 394
69 -366  546 329
908 45  -338 58
1353 -816  -189 595
255 -278  -718 -307
407 -613  75 318
-591 42  787 -630
378 -277  -186 -867
-363 -300  191 -418
370 -365  -190 -673
-384 -332  -249 34
-722 1209  184 -326
-255 -511  138 170
-79 -463  174 1013
-120 247  102 -1206
861 99  869 -126
591 -452  -1101 -53
-6 645  218 -347
-252 362  630 208
-544 -124  -803 41
353 596  29 420
-216 279  -338 47
-166 241  -751 92
-352 1397  -1328 44
-466 140  341 362
759 75  -254 -108
-224 -196  -433 182
-330 1332  444 181
-335 124  409 99
-901 165  643 100
844 917  -442 466
377 -440  361 439
-192 287  97 -1
49 1093  -1472 479
-5 -108  638 -951
-1312 537  -130 -985
105 1338  278 -34
218 464  -501 10
-249 -808  -336 -143
-737 -387  -78 -457
24 306  156 718
1835 529  57 -164
149 480  73 296
-324 264  -211 -1246
-418 -286  -589 549
470 257  -359 -394
-130 778  358 -416
-659 -275  -186 -1003
-807 -9  500 -90
327 -91  -272 1438
406 -23  -365 696
-192 -1135  1037 1209
863 192  -747 -57
239 159  89 -81
553 1185  -964 -838
-310 -605  -179 932
1039 363  -786 200
202 93  -31 315
-56 -308  -29 -208
774 -351  -287 -99
419 -397  556 310
-949 -28  -391 448
-396 -782  143 -1295
-222 457  -312 107
-112 861  258 993
-430 66  -642 -69
-214 40  312 474
127 835  -237 623
-520 1082  637 63
414 -584  -121 78
217 -174  -381 234
740 274  826 585
706 -501  -50 723
766 321  -679 809
-317 200  -444 440
268 -186  -400 -337
80 69  399 -329
-520 -145  -151 35
-142 250  -1273 424
10 -85  701 -739
352 -148  -192 94
1340 -81  383 -218
-347 -476  -64 -302
89 124  50 -683
-419 -616  -329 396
590 -308  465 -532
262 440  -239 -352
-404 901  -220 15
360 387  835 -225
-32 -141  187 179
-590 5  -70 88
-519 1242  572 -470
358 973  328 452
490 687  -414 -171
-720 620  335 1406
459 124  -154 130
15 -355  -345 732
167 215  109 450
338 -244  452 -894
-5 -292  631 -146
523 -107  -365 -229
-84 -660  278 -1341
-65 4  639 -697
708 615  -5 233
379 595  -489 -94
-593 873  380 -45
-188 12  -316 701
-580 -360  134 336
53 -629  425 -246
-29 -119  115 109
546 -400  -79 -196
-241 453  43 220
936 235  269 10
-361 125  -146 65
122 929  162 -520
79 483  458 105
-738 381  570 -419
-866 -576  445 -387
391 2  -202 400
-593 574  -583 -256
406 -588  -6 197
-592 286  72 39
72 -92  176 -282
-152 693  474 787
-200 -504  385 263
-20 -52  -395 -49
781 931  -123 -574
-884 -574  -7 364
-552 -519  -425 644
395 217  -490 -529
156 -1041  -499 984
465 909  399 -614
-36 681  354 -548
327 367  292 977
72 483  -137 902
67 -191  396 199
625 8  -192 1073
161 -227  65 -192
-464 -445  528 729
-170 -68  708 -82
372 627  132 -868
-330 -992  346 -382
788 746  -66 413
784 283  678 -74
-645 244  261 381
-855 55  252 -12
-628 69  -586 25
-595 -169  -251 -577
-317 -171  -194 -433
-493 530  -637 670
367 55  103 1076
-306 -337  837 -314
404 -415  435 336
564 132  436 -609
1317 179  -560 439
-210 -616  77 -308
-595 45  537 659
58 610  656 330
259 232  -45 1364
143 -555  -66 -452
-1321 35  377 912
-202 -461  -386 138
-156 463  648 710
-179 344  -348 243
-396 44  -394 364
-430 264  933 107
-173 390  -631 538
-618 617  368 -346
341 136  -600 169
-357 48  999 81
-467 484  -624 -380
-86 -199  -1230 -986
-768 -1083  589 501
-425 432  195 241
248 -507  439 495
-702 231  422 -241
98 189  543 461
550 -13  437 -392
698 48  -112 468
163 -934  -376 231
-313 -293  -685 -45
242 -262  128 -34
234 592  -406 -311
859 -174  55 -169
399 818  -213 -930
-542 -901  209 -1242
-539 -72  -532 -106
663 -487  -276 556
-82 64  -518 544
628 -1463  -354 245
-12 671  -746 -508
249 -272  468 -145
89 216  -25 18
-411 -89  -277 45
-678 35  180 548
74 125  737 546
246 444  -379 -344
-454 -319  -263 -599
437 -243  -79 -555
-764 -449  1059 125
-343 -1014  145 548
73 112  316 811
-941 -677  362 -513
-469 -1077  -818 332
-1008 -283  782 -1203
187 -208  -1059 315
21 1055  422 439
-359 -139  73 -53
