1060 -638  -110 -245
-65 548  -246 58
-410 322  -112 -268
-232 -702  -658 -259
363 3  1237 5
232 -549  -242 -39
-1068 -430  493 -318
751 991  187 570
-39 -679  -642 9
138 -313  695 253
192 458  -9 -332
-292 -211  -801 499
704 -1177  116 513
180 816  -252 92
-67 41  -1290 -1825
-402 811  -691 277
30 -381  -494 853
209 -395  -8 -77
-508 -286  162 -276
-503 739  404 -393
-326 -80  -109 299
-565 31  -76 -236
-847 225  -181 900
555 -329  -146 186
-105 25  -30 -552
-266 -592  -426 -383
652 -204  274 730
-315 -651  194 -1117
520 1090  -693 -57
-782 -155  -994 -204
-565 556  535 -647
582 137  -286 493
1079 -193  -153 -370
-7 285  -324 -310
-125 133  -932 -459
392 -398  619 -96
-288 -83  -336 120
1137 -491  -718 1064
-236 -626  -264 -361
-368 105  669 -892
-90 315  -297 -455
707 -780  -923 898
232 -238  110 14
920 -394  910 225
249 -151  -730 375
783 287  -34 -571
-875 143  -192 631
204 -442  235 -204
879 -391  -87 -772
630 69  262 -108
-1066 247  -314 550
-125 133  -168 660
-153 718  -370 52
-518 587  -291 1061
-309 262  -92 193
-256 471  -51 202
-382 -168  269 -247
39 155  -1206 310
971 498  260 40
77 -815  851 -541
-198 299  -86 660
684 -312  109 -1046
58 252  -302 227
-78 88  542 652
-132 113  -305 -103
246 213  37 731
-81 -463  -319 8
-620 118  -531 -1241
35 -688  643 647
-514 -251  -268 2
719 -649  -465 144
28 -359  381 229
-801 2  622 715
161 276  188 671
-108 199  -336 -51
125 -636  -26 11
880 -142  -77 -379
75 -142  260 19
631 -495  -126 -349
250 370  -86 -871
-228 205  -171 -300
62 -216  324 231
174 -129  -504 475
-1286 -339  -170 -161
288 -536  -396 -789
334 -828  631 -769
545 -80  41 -187
-542 550  704 1096
518 67  -129 -170
-125 13  -467 440
175 172  618 41
603 807  67 139
402 718  158 -118
-400 349  -247 382
34 -370  461 -404
-448 352  -750 488
-89 -101  -1381 -521
-227 -559  395 -568
-195 360  -303 18
-22 569  501 35
204 737  -567 721
358 -272  316 63
-459 26  781 18
260 -935  -143 579
-176 486  111 -894
658 590  -76 -735
81 547  309 419
1338 -1287  833 -205
-316 439  -80 -142
-563 -495  -543 -106
-220 72  430 170
746 -86  -172 -84
173 106  -323 -441
-925 -534  -439 -604
-288 346  -389 400
226 124  555 538
-507 -88  -235 474
-117 -79  192 -67
-833 646  557 413
-307 -1379  -140 -471
412 -337  -181 521
757 82  -682 -40
-805 -224  -1067 930
-188 -679  114 -39
-228 -516  -812 -67
333 -619  171 -223
-421 1330  92 728
-147 913  -189 -305
471 267  -1098 -704
188 -493  398 733
487 35  617 -213
-57 -91  347 239
103 524  422 470
-73 -87  -541 914
-269 243  485 416
205 666  -66 372
-272 -584  146 -242
65 -113  18 172
2 -487  654 298
-8 -483  -116 539
-125 -125  722 148
422 110  493 -367
139 185  -446 206
-37 526  -306 326
144 -11  -1081 108
-109 -108  -665 -377
-314 1009  -945 -911
941 -348  -13 443
34 -790  432 284
266 -836  -88 -241
329 -112  -190 -282
245 451  -304 203
-457 -278  -309 393
-80 1291  -1092 -233
-115 661  254 208
-54 -340  1001 -427
-274 569  -1028 -846
-417 -693  -423 -931
579 80  270 860
-38 -125  -1222 -449
588 -616  -880 -638
47 930  497 -48
-929 -217  -418 -445
-385 649  -216 611
771 -94  547 -510
-183 574  -4 450
-36 -317  462 -51
-123 213  290 -55
-223 -39  -1127 -561
400 -868  -934 -131
-550 209  716 -367
854 458  582 -418
421 -440  -1146 -38
110 220  -2227 -84
-326 -253  -140 30
-14 333  -588 -76
-521 385  -153 190
517 -313  998 -365
749 -510  -792 79
243 -168  -194 448
439 -23  -522 531
553 -445  -269 230
-177 555  -292 286
58 -876  573 9
1566 292  143 -293
-456 -164  440 190
14 160  267 43
-329 306  -417 -931
-59 463  -1437 281
-610 -117  -393 92
176 528  728 1147
-1186 -376  -231 -268
-354 -348  -602 1110
486 289  57 -700
-278 464  -947 14
-501 -145  -557 633
-330 631  230 429
251 -74  -742 -157
461 845  -79 1281
-297 594  826 233
-681 -879  528 -767
-329 -218  -645 -715
12 -556  150 383
24 -555  -702 -7
60 366  262 855
-652 -7  607 -287
729 -332  478 633
-98 -578  139 -518
-406 703  248 602
339 -552  474 -670
-92 -547  586 -484
-285 171  407 -84
440 29  -766 373
-257 265  408 -423
-137 -702  -385 -478
-901 836  -162 234
-69 -297  -107 -11
-270 289  607 -129
334 300  933 -221
557 -351  515 461
-30 -620  32 -259
176 532  -109 -6
257 899  -910 405
-258 -220  -596 61
-795 509  54 640
507 -157  325 -52
-162 -1129  -17 -332
-246 481  188 -619
28 267  -218 388
-457 -248  810 -66
767 294  478 -192
287 -330  -134 -1079
43 156  24 -76
-787 954  -548 453
-221 1087  -389 424
103 700  455 -178
-284 656  123 224
140 342  -152 -116
160 75  -302 -461
-529 123  -441 198
-676 -355  745 -107
183 404  446 1009
-149 -413  169 -98
-608 274  605 -128
523 685  508 424
-123 -406  -542 12
-343 16  -470 -307
-58 222  -219 -218
567 460  25 -518
-402 -352  349 -634
57 -371  777 729
-320 -226  -30 -126
-252 -150  -791 335
-139 -157  -671 15
-48 -349  212 847
330 -568  598 -611
-457 -261  254 -325
117 381  -554 -759
631 -254  101 30
-743 35  -531 280
-853 -316  -507 -587
-674 -347  -14 -718
312 -335  -312 -397
1353 851  -138 72
-1067 -42  -1029 177
145 36  -210 -465
-249 234  453 151
-725 565  -197 98
-184 -46  -60 58
289 35  -207 -868
-313 -117  730 130
54 -565  -558 47
-277 180  -448 16
-532 168  741 -694
-80 188  -144 -1129
185 -480  -229 -475
-39 283  -735 -404
-908 188  -781 34
150 -373  -38 132
269 168  -269 -443
253 266  462 -12
-165 -917  564 435
1488 -635  -549 -305
207 -912  508 366
112 96  -497 117
-1266 718  -119 -447
162 -51  -622 70
538 352  -95 -1126
-215 -483  -441 923
29 -80  485 -165
410 473  428 -485
-683 -41  -526 -14
-829 -1084  -399 -228
79 212  713 615
-18 561  510 488
167 144  585 -273
226 211  -753 274
165 -274  -89 -139
343 210  -262 459
700 557  -158 -111
343 -379  -54 821
100 -716  88 747
-197 22  -358 -283
-155 -27  -155 -256
-267 466  -621 -11
1191 153  -357 687
-332 885  -365 -227
-462 -11  437 674
839 -770  288 362
-512 673  479 -25
301 -307  236 897
505 1271  451 -207
-358 -1000  614 142
-35 -433  -78 324
267 1390  133 372
-228 921  929 -651
-216 -308  26 353
-224 -49  28 220
-459 858  -131 799
94 1104  183 149
0 -27  -765 -508
528 -37  204 -30
-266 1034  -293 845
-70 620  -397 -375
-16 -22  630 -832
191 684  173 46
-79 575  -356 468
-310 344  -121 351
-791 196  86 284
-233 30  1094 59
-31 -634  285 -949
-782 -127  -418 310
-766 180  -47 871
460 1047  251 -52
20 -436  277 -1211
117 441  234 145
-216 -19  -270 425
152 -404  -964 -361
170 359  -953 -1022
-861 124  554 -60
59 -374  507 169
-91 -659  1135 -321
-198 207  -140 -496
156 551  214 498
-852 97  441 -408
-653 1203  202 388
201 -114  544 81
158 953  -147 -167
192 570  -913 698
16 -33  -309 543
1133 364  -386 -761
-467 659  377 -798
636 253  553 543
-320 -222  -117 5
-97 -347  -411 -206
-2 173  275 -435
166 475  -793 416
-854 -260  1085 97
-1053 505  -876 -1103
-323 579  -867 -255
-47 -103  -409 -471
1234 -472  -236 112
441 97  -819 552
24 -209  54 -221
-44 -326  -857 1171
443 309  205 -968
-65 -357  621 -181
285 -402  -157 -213
-362 -132  -492 -871
1076 766  517 514
491 -1251  -13 870
118 460  -7 35
-977 636  474 -365
248 741  -241 136
95 327  185 1298
-779 1059  -1386 315
-499 -311  601 -36
95 -431  -486 74
377 489  462 127
471 351  287 -241
44 -576  424 254
180 -337  1457 -730
851 1075  -510 915
545 -98  -278 392
-417 8  -84 1343
-932 -416  335 -527
-356 -757  -546 -82
186 -154  -80 -214
813 -36  678 268
418 71  -351 243
-636 -621  384 9
97 -234  2 199
64 -367  -66 315
-234 -951  628 -546
225 -300  357 938
-1188 -308  -1052 -18
-124 89  707 -115
719 -738  647 1043
190 -25  -77 -44
90 649  751 -540
-331 354  390 -135
-215 -35  541 412
-136 -657  -650 -626
-176 610  -450 -601
468 285  620 -226
48 -163  -47 -730
-104 -178  -882 172
405 115  160 404
-11 1028  -103 159
236 249  162 -655
-181 597  48 -45
-71 364  -58 -649
1172 304  -176 148
351 245  317 491
-334 209  229 -719
370 154  -369 679
-606 -992  149 623
171 -183  -439 -903
278 182  -167 293
593 151  -213 64
-530 -52  225 -12
512 331  -77 738
11 -365  117 236
-246 182  848 -275
-107 561  1145 -379
25 -2  -470 -47
-780 -99  -115 -1158
-870 173  -18 202
-120 917  -419 -15
-714 -585  1035 -122
-362 -33  58 727
1017 -790  213 -28
-178 1442  -469 195
-565 -156  324 429
-301 -209  -4 97
571 1142  -683 107
79 456  -27 -183
938 85  653 395
631 678  -560 264
-982 283  -611 156
257 449  86 -677
253 -280  -461 129
32 -594  -810 223
-229 -111  -1173 -153
-746 56  326 20
-185 1173  -366 927
449 941  398 -272
396 139  -269 171
-519 675  -112 135
-878 -436  -863 458
528 -389  458 -488
697 324  -81 491
398 -774  -620 298
413 -316  356 -135
778 587  -1149 -923
-189 312  -418 271
483 599  690 -850
-122 1067  -311 297
422 892  -313 1193
-255 -508  -166 -1496
-159 62  147 -569
-368 -620  753 -740
-100 145  8 336
40 203  -4 -245
-1264 -715  -98 -82
1062 -128  -350 -250
683 657  925 -489
62 -573  -87 266
-743 10  17 -1192
-295 -355  -49 -33
331 932  -1 241
704 -1118  -93 121
494 -668  352 -256
-649 1110  -242 321
4 -185  1010 625
-865 283  659 354
418 -106  -364 454
-902 448  -54 -330
226 91  184 241
-377 -759  835 27
-1417 -338  -523 144
-36 -113  436 -542
-162 765  -437 37
-24 -534  353 -240
-72 341  626 -918
774 210  44 153
-84 81  -45 406
242 447  -438 248
-659 -519  330 1118
379 486  -347 -25
-211 112  177 -820
338 30  -235 -1501
406 -424  -135 110
-195 395  -877 -125
720 211  -468 -328
400 -885  -142 -4
128 -714  58 -117
-114 1146  -1546 -21
355 693  30 829
-796 -297  -1141 -54
-245 92  -275 -123
123 301  -419 191
319 -404  800 -133
-407 -174  -464 1197
-265 941  604 -953
335 318  1109 254
-150 -60  80 -343
148 69  69 -316
153 -95  -624 -479
-416 -257  467 622
445 -865  -293 -26
71 -109  -578 228
190 683  483 234
-572 593  150 146
-948 -417  820 -553
-1153 -52  -538 339
-1098 620  -145 -218
401 294  -156 537
277 121  150 -553
-87 711  -64 438
-839 -68  -242 -671
1192 -264  -679 -561
736 -1129  -525 -157
-648 238  419 -313
444 -107  -755 671
-571 -728  767 -909
330 555  556 -522
617 29  43 192
132 399  1253 -288
703 77  102 -739
-1130 -60  -285 -238
439 234  -688 -14
-225 -637  3 -119
-415 241  -194 -318
968 454  184 162
-77 -1199  57 563
427 44  -444 391
-436 -851  55 152
132 68  -287 702
-366 -183  -183 -854
-266 -15  209 -180
587 412  -168 396
443 -46  170 -417
-747 -659  675 1302
-51 976  -422 450
53 -33  -646 121
501 -346  -283 1295
-460 478  373 196
569 463  -557 317
876 609  -390 -611
-719 582  1020 133
432 229  -430 -710
786 171  297 802
-300 106  143 477
-422 -323  1043 96
-72 -130  -577 184
-43 -651  56 1011
33 112  -95 -269
298 -350  212 571
-13 -37  -530 -94
-123 -6  315 411
-13 66  144 699
-532 377  -108 296
148 313  -222 632
-480 403  -255 -644
-163 230  -262 255
857 632  -589 -998
227 256  145 609
-632 -685  160 660
-416 -200  -495 -234
-114 406  -619 -84
-51 302  1099 -849
240 499  -247 322
811 -981  536 238
-577 62  181 -1072
-420 -33  503 -418
-89 471  -208 -445
-1179 99  365 263
379 497  125 -407
229 789  -851 -243
58 604  225 -123
290 -283  -289 222
603 451  102 -18
734 4  509 -440
1 81  -31 -802
-113 -183  -112 424
592 228  -951 -64
327 1170  -824 149
-528 235  -236 279
997 142  -248 457
-698 81  -792 449
-388 528  653 -319
377 478  -1200 -765
310 -118  -81 -581
34 -167  -172 784
1255 -32  466 1350
572 501  296 -261
-331 557  -135 -730
6 446  -580 -584
-216 151  676 -357
-29 594  850 -61
567 367  -708 557
181 908  179 0
275 72  -257 -978
-56 -339  -545 -573
-212 -480  -72 523
-412 -587  659 964
155 -159  246 37
-49 447  -428 260
-475 -514  -622 44
915 -24  936 -150
318 -460  430 672
-436 -420  -961 -22
-496 746  -471 -712
281 -467  141 -1063
405 -869  392 273
-20 -559  886 35
-212 360  -317 -646
-471 540  -623 80
-927 97  721 -226
607 861  -421 1464
-305 -323  -1043 -471
892 -777  -172 -450
-660 -357  -467 -343
147 18  623 -642
-412 167  -1133 216
-327 -313  -365 223
936 -1048  -514 914
-641 -1169  -366 592
-289 -134  165 -811
179 211  -567 -992
17 -72  720 1015
969 -462  -61 -62
986 297  185 -41
-338 375  -190 -467
1300 277  -190 -101
89 27  -194 152
261 -395  -124 -108
-496 711  448 -283
174 574  -245 -24
73 -441  709 309
496 -560  -658 189
-483 -180  702 -566
-222 421  -231 1226
642 -467  -1083 155
252 27  455 86
-613 745  -699 103
-684 -760  506 -304
886 376  237 728
192 -822  175 -291
-155 -972  -201 -56
366 219  -964 541
357 197  -138 -449
181 203  -233 725
-703 -168  18 641
-109 -84  -213 303
691 206  -421 327
287 526  24 -26
384 -585  -73 -839
576 -741  155 886
229 4  1136 -815
-333 -146  522 -959
-123 -949  67 125
-1505 -40  -1200 -534
240 -1453  -521 -70
320 -363  348 -56
-72 484  1085 -30
198 551  -433 -426
37 383  -994 461
-334 21  -97 534
-274 925  253 594
842 772  538 273
595 889  -129 -540
592 160  768 606
-341 -522  337 -442
-33 372  214 137
12 -445  -121 132
-162 -207  -43 -1254
671 1400  532 473
-117 248  401 255
