884 -457  -206 163
964 1043  79 815
-261 179  282 805
246 813  157 104
-439 452  -1106 -502
-473 675  -256 -985
-367 141  -277 510
-443 565  -314 -905
-6 303  535 -172
-271 873  203 -741
862 -891  -427 653
-278 -728  -694 -211
-1320 -46  -39 359
163 792  472 529
58 815  -156 147
14 72  -89 -59
1387 561  -394 664
46 -11  190 253
-141 -351  -979 -459
93 330  14 261
-570 608  421 501
524 -312  -154 -248
-781 -180  -213 11
412 -873  25 326
1251 -6  -309 -64
443 869  342 -449
-214 451  -425 -684
189 670  -151 -254
527 -1294  217 180
610 -233  -757 -638
229 -3  -89 -775
412 -696  846 397
-801 122  -529 557
-434 216  -385 -241
351 1900  330 -491
-763 -345  -378 -843
-78 284  -329 -719
-105 302  -594 25
-804 -576  -392 716
-306 -396  223 532
70 -246  604 -755
-374 597  -530 100
225 41  16 -268
798 -485  347 9
408 -214  726 -652
45 -317  513 -274
150 -161  170 -584
-530 -468  -654 792
-180 283  494 289
107 -62  988 -397
-388 832  -370 131
-258 79  129 264
1617 -146  354 269
-382 252  -224 -339
-334 -722  353 -619
440 239  393 814
431 288  18 -685
772 327  -532 -462
-1160 539  104 -489
180 -157  179 -9
-433 135  509 175
-189 458  -213 1065
-147 -231  624 1292
-905 282  -126 1056
374 -534  -767 -918
-298 -52  -220 -44
-465 -129  908 -78
-702 137  -539 -760
-223 -18  -526 246
-57 996  -280 -526
-949 321  -335 -101
-254 -303  -134 -1153
183 -588  -247 266
849 370  -591 -671
385 460  552 -303
299 -296  135 457
-262 -635  -376 327
723 17  172 -138
621 -411  -265 366
692 -126  -511 -503
142 392  778 -893
767 983  -234 -15
1023 515  191 -515
-529 -262  376 -430
-421 -92  299 -91
569 -339  -297 229
692 -195  -165 1020
-756 305  252 -585
696 183  394 -149
-309 1187  742 -519
-1501 8  -269 -733
358 596  -695 507
-524 -378  -112 -737
480 -300  214 -593
-879 510  -541 -592
-395 49  688 -426
28 -887  -73 -934
2 -106  211 496
777 207  -168 1169
-161 495  247 -185
709 -584  367 272
225 -559  -190 600
-381 -249  -62 -1166
428 -1615  -487 -691
59 538  81 33
229 483  -565 168
1045 -478  -1703 -1027
-625 -245  -141 849
429 -735  584 184
-426 -23  1110 473
54 -761  -190 -524
-339 210  -108 114
86 260  -427 -285
-205 784  567 -124
-194 -192  91 615
319 -326  481 -728
-203 -536  -50 984
448 518  344 134
465 975  -78 505
897 -38  -462 -29
-1206 580  -264 -881
-592 601  -152 471
-696 226  343 -660
-391 194  1005 640
289 535  -51 80
1038 344  879 591
-195 -7  875 151
-157 3  501 -878
172 -42  -343 512
-553 445  -109 -169
-306 279  203 731
-8 257  -740 64
254 52  82 196
772 -88  -125 -188
-797 205  361 324
228 172  390 129
-512 -26  -361 33
-945 -64  444 185
730 302  218 638
294 289  85 -494
38 79  -109 -143
433 -364  331 -616
-666 181  -100 -649
-19 -729  1265 170
-610 -438  364 76
643 -621  567 561
351 127  -90 860
-197 -93  559 -625
-619 437  504 19
441 208  -125 -612
137 346  154 391
129 -152  415 -711
119 318  474 -221
-242 -336  -411 -761
-473 -691  -604 -39
297 396  1024 -482
567 -61  -959 -158
415 188  -425 -130
1116 -114  -237 -684
131 777  366 -353
-62 724  390 -485
-378 -408  -86 -8
583 -313  57 -649
-163 -325  -561 -106
-158 -903  37 516
30 -804  51 -275
-360 -116  -329 51
-157 361  -269 -220
-344 148  470 -875
-960 116  -339 354
-409 -597  -220 -1516
614 -340  -321 -657
1374 -456  711 -312
151 -197  -25 165
316 -687  1336 -806
-163 193  -314 -328
1108 -213  -204 106
-495 158  -388 -713
-844 -119  -389 -836
-185 734  278 -262
-81 -492  -17 1036
-103 202  -869 -98
308 595  210 970
707 1212  -268 28
522 64  -934 -473
-915 657  -282 349
272 -461  389 37
-20 -630  623 -278
-164 -328  214 24
179 288  354 149
-764 59  22 249
954 853  -244 293
-229 -718  -636 -506
-310 -716  -432 -184
191 901  418 463
-474 791  -508 1470
-199 234  165 -376
217 -574  233 27
665 -607  326 -536
1356 -817  -271 223
64 636  -544 -133
243 -357  167 214
393 -475  -473 -378
1308 -278  42 628
-210 -652  -438 417
-227 -474  -895 -147
291 245  1037 -190
-213 -198  40 396
-104 -513  -1250 -170
640 194  492 -589
-208 -408  -74 3
-606 183  -775 -148
-106 166  139 -143
551 153  804 349
-835 -366  -282 -1077
318 634  -631 -143
186 732  -354 476
-121 143  347 272
-570 -31  1024 -610
-928 113  -132 422
-656 -272  753 476
1324 171  193 123
830 -949  -943 -367
-436 -185  273 870
-1090 469  892 1298
64 114  219 129
-347 -561  -377 -362
518 68  -499 -362
-380 -666  -320 88
1144 -234  484 186
-193 -362  40 -44
-208 452  845 -117
-87 172  557 224
148 -428  228 6
-46 -335  429 -760
401 479  388 -793
74 40  294 -73
335 -417  -545 660
-383 338  318 -654
-320 75  108 -307
538 34  -59 -220
135 727  590 -178
470 442  -285 335
-428 920  -103 -434
250 345  98 -50
283 952  -676 -71
-98 -1434  218 -502
1315 -219  335 75
417 -335  474 -349
320 -119  1193 777
-708 477  -773 471
-289 435  -718 -434
568 -333  -1041 542
-325 -445  -478 -397
-128 -32  670 89
-39 474  -368 -214
723 356  -108 -302
525 -818  -216 -354
251 -17  -1080 301
45 -20  -657 -610
-543 782  -230 596
-619 229  -79 -401
-448 -517  -498 498
117 512  -101 -528
-512 -595  71 -727
-32 143  308 154
-362 -323  -1019 -547
0 291  121 713
479 656  188 -138
-752 1204  706 179
278 465  -18 -500
105 -456  331 24
-131 -409  -637 385
-438 -1004  293 1015
-248 277  453 -387
251 28  294 -268
-410 738  -150 -469
1141 -69  442 79
80 60  320 -471
429 752  84 -156
51 212  -102 -179
-203 -700  -353 890
-886 -464  -623 591
-112 1130  -140 -271
-225 396  260 448
-531 -222  189 169
-392 189  805 -345
-350 -269  583 -322
-341 -75  -864 156
-664 -62  393 -154
-451 564  -170 430
-560 105  966 458
-1215 -149  -337 -556
-319 -158  -344 620
168 222  24 -266
-351 -476  -284 -73
-202 -1228  820 128
393 -212  -3 -97
-600 -314  -273 -463
275 481  -307 -511
258 -77  -605 -871
-494 651  -359 -16
241 -705  -802 -126
33 -381  768 -305
415 25  -569 -1030
176 -1657  489 -182
-118 -545  36 -558
-200 -765  927 387
168 597  -280 -164
29 118  -367 406
-166 -295  79 -165
1135 -55  -536 484
380 -948  140 330
359 -569  134 73
-23 621  -553 915
666 -85  114 748
881 794  382 -151
-301 -91  -200 -1296
-52 3  261 774
578 164  127 -504
1008 -509  -479 -185
-380 102  276 -46
358 -260  -189 -941
-210 51  302 357
-522 786  -824 930
-606 201  179 -634
-172 -627  -35 -510
676 632  253 -557
186 808  995 976
-582 -122  191 -165
-463 574  -87 -165
-870 -326  640 -829
723 368  1182 -65
-63 -427  -51 200
566 287  308 -154
-21 442  191 -318
723 -69  595 -252
-55 -261  -1055 -657
558 -113  -795 -1291
-200 882  627 56
-445 -283  -453 583
620 206  -422 -262
-66 -1150  -574 69
-416 -651  622 323
39 -706  -211 97
-1245 315  -285 -384
247 262  27 -75
-340 678  -249 732
-550 880  902 -139
571 635  130 -202
-750 162  592 -166
274 -623  155 -353
416 -105  317 -440
103 -294  -119 -132
-48 -552  -321 569
589 -267  32 -629
14 227  -431 448
636 -1029  9 -153
628 -688  -116 63
101 -974  -332 579
-106 -496  -404 -218
-472 49  -385 362
-371 1345  -197 -600
520 -49  -342 601
311 -546  -459 122
-220 -215  425 -196
-541 147  300 434
-616 -281  -296 -87
1395 -136  -141 -792
617 27  522 -478
-5 542  641 -1149
8 -325  89 -441
498 78  -647 -108
64 -384  430 -44
-1117 -157  -104 364
-638 629  1308 47
-415 -590  1323 -26
-169 -334  593 -668
476 414  543 -232
231 -383  60 435
200 831  -266 112
-542 927  -271 647
9 233  706 685
678 -478  275 547
570 -1340  280 118
-473 653  -177 377
-94 -151  -561 -318
113 281  -342 -272
-900 146  -935 326
-279 -172  -962 106
561 300  -1433 115
243 -118  -224 192
173 -646  918 126
323 854  -80 -127
-415 -480  1044 -55
-291 597  -575 189
621 514  852 72
-135 -193  -279 -246
622 194  519 -922
326 324  -15 340
-606 -549  -228 -504
275 -431  -116 -264
246 367  591 -571
207 -493  -210 -45
63 1114  -863 541
446 66  201 449
639 1158  645 309
-399 1051  44 -648
-170 -239  599 312
56 -493  1446 -324
46 -646  -429 -63
151 439  -1063 332
238 613  690 482
-132 203  -97 -521
287 237  -233 -44
-328 -268  -347 383
-409 223  -61 -825
-546 -223  -674 -615
988 325  302 -638
909 496  -299 463
131 -235  160 463
-235 86  339 386
210 564  -770 -125
-253 -1026  -377 314
-94 -33  120 154
-186 306  34 -175
1099 852  1051 672
472 582  455 -353
-670 376  -543 -652
-318 -96  -687 -491
-474 -57  -235 -20
-184 189  239 -632
113 1109  582 -260
345 -32  331 -667
-23 -738  290 1133
1225 -366  74 -574
726 555  139 -397
295 -209  641 860
304 93  25 -15
-583 1022  -307 -894
-107 -128  -486 626
1332 -419  407 -67
-179 -100  -988 -187
-565 -310  444 -629
84 -357  166 655
-18 -356  -439 -83
-755 308  -457 462
535 -8  502 -347
-76 421  -21 -860
693 -123  245 -40
-256 434  520 -834
425 725  -355 -227
-1245 89  252 685
468 -561  -148 83
-152 -432  -220 -172
871 -80  131 600
340 4  35 -686
-517 -738  -526 855
575 268  -688 462
212 -82  105 832
-670 568  620 169
483 513  507 614
-528 653  77 -107
195 -346  -484 -974
146 -195  -192 112
798 -530  -267 -186
943 243  -164 499
741 -223  -122 -204
213 134  -143 599
-966 -726  828 383
-165 -397  -657 -425
328 216  -75 57
-475 -198  -283 502
-391 -21  704 1024
949 391  195 -418
-296 -154  -499 782
108 208  -791 -856
-488 660  1049 375
-944 -526  45 1273
423 -160  -52 -15
-1284 -556  -5 -434
-903 65  -646 273
700 489  -40 265
329 -465  -161 208
-162 53  325 51
-101 -833  -231 -38
-493 -1994  -660 -235
37 -131  -882 -221
-150 192  763 -866
-30 -562  40 552
146 1133  -634 848
847 760  -557 -314
-523 -135  451 380
-820 185  -295 -203
-300 1328  563 -422
-657 383  -32 88
-822 192  -118 267
-1102 584  -462 -249
330 -1341  717 -541
-478 926  386 316
46 -792  -758 409
757 3  -159 238
-356 -1082  -238 -60
495 -78  134 1100
866 -522  -132 -868
-938 208  -663 210
197 -251  1080 -303
116 -674  -181 62
-185 -307  -791 439
-309 619  744 343
-641 -626  326 443
42 -855  769 -1258
448 -432  -82 119
-41 -410  -452 34
-187 -1082  265 -196
-582 -67  29 -1151
80 871  391 95
-509 -6  -642 -267
-774 -1301  593 1022
16 425  1053 167
331 12  524 -480
532 -338  1000 -427
-96 -145  513 -131
48 152  614 849
958 -115  -122 -111
511 291  -871 414
422 -752  415 49
-201 86  115 378
-317 -292  364 -747
-153 -6  -443 212
76 147  -996 170
-124 629  345 -80
621 -483  137 -785
114 152  0 271
245 604  196 -364
-28 -489  -159 -615
819 170  -187 -387
651 1084  -783 401
-486 -180  109 -203
-585 -193  -408 -131
-444 226  566 860
-348 766  724 -1025
-454 -430  1082 -204
186 -111  293 -303
-144 471  385 -593
737 -288  -214 -829
-177 299  -83 357
409 -523  73 59
119 -618  106 -109
-42 -546  -1107 103
454 -387  183 -863
152 938  -158 143
100 -426  258 -771
283 385  -196 301
199 519  -85 -155
407 -285  112 -470
-357 283  1474 565
-146 399  68 -188
235 -37  252 736
-777 -342  -128 47
37 306  763 -199
266 -12  -147 375
829 -113  1021 261
507 -57  780 -804
149 27  -659 266
61 88  967 -796
-3 412  501 360
-377 -511  -845 -52
996 -55  574 403
273 -222  -24 -420
-541 501  -1046 -68
-993 165  387 -176
-879 714  -1031 -28
-104 295  277 -80
368 -592  25 491
-355 964  -749 -1493
-910 872  223 -421
256 -254  -572 -72
1289 -230  -451 -747
-492 -88  -293 -735
-803 85  -502 32
22 155  1024 -114
194 -30  315 -53
-327 -1105  -1278 454
-76 21  -77 -358
-689 1781  -65 11
-418 -21  -502 -316
359 -194  -798 813
295 107  62 835
-347 -191  190 348
18 70  600 -756
41 64  1023 -130
31 -218  893 -522
-178 -891  -273 -453
170 -1634  -1197 -278
160 1349  61 -385
-115 -497  -252 -127
1104 354  -721 100
-43 -617  207 260
-283 -666  -890 -62
-809 -728  807 1106
688 234  623 170
301 -609  -202 -49
-975 -302  562 370
-376 -938  664 378
-257 -842  578 -23
907 -104  553 7
-587 -18  428 288
322 553  570 -462
-330 -193  473 88
-72 -796  -162 -183
250 429  -510 -233
46 44  90 118
973 -1107  -83 291
277 -455  531 680
-13 314  282 -488
534 145  139 477
-899 205  288 -116
-451 -71  1079 99
942 -179  -454 -463
761 -733  -58 -125
-606 63  359 -449
-267 1176  -733 -669
192 43  689 -86
65 563  -498 -418
116 146  -1348 -419
1083 -335  1011 150
235 62  -693 127
-105 -97  567 -8
357 -381  377 535
-673 451  258 -396
457 215  -566 -1026
262 426  -557 356
239 -318  585 -108
-144 -1373  -358 1374
-44 -124  -527 442
284 506  262 130
275 -64  812 -67
-353 -193  339 -659
-1045 361  -56 362
155 494  249 262
-280 86  -537 -86
-57 -496  165 -44
-131 819  -536 -428
683 -283  -279 355
-864 673  219 -161
161 87  80 -1218
391 547  -149 826
558 -209  -552 -668
-80 1052  124 -89
29 -363  -301 163
26 28  -840 -697
-965 -305  -355 -176
16 336  928 -336
-129 -1017  -386 -51
-27 954  421 -821
942 1192  -419 -513
-809 104  -284 389
-539 -253  730 878
-605 20  32 113
-540 268  159 46
305 -517  197 -478
-460 263  -527 81
-697 -366  -529 823
47 -1316  1160 -444
-269 -260  16 -51
-93 339  -259 1120
314 -872  119 72
348 327  -35 -469
196 -54  666 -32
345 452  -142 261
-728 -599  146 132
1048 -150  73 -42
67 348  59 -832
-21 131  -275 254
243 -893  -447 402
180 586  925 204
