-967 -544  420 310
-579 -132  -695 600
-301 552  -260 -381
124 -348  -681 576
-323 -639  -534 431
639 -348  671 1152
332 495  -131 867
107 -1199  -1188 253
-451 -190  620 245
-693 550  236 405
1081 -451  619 -433
-145 -895  -331 610
416 12  -26 -302
-928 -437  -191 418
669 -367  551 -1182
797 -213  -404 -241
-730 -85  -210 106
-200 -470  218 -62
672 6  -663 -914
47 -647  -317 395
-772 460  591 151
597 -221  222 -572
404 -479  -183 -168
672 487  -228 234
665 -25  630 -475
-82 -28  529 -381
-307 606  -889 -163
500 5  165 -1113
-850 -162  -313 -588
-478 115  781 -721
177 -1025  729 547
-85 224  596 -805
-1145 262  -29 197
594 412  -607 -566
300 314  -979 562
-194 517  -537 635
-333 997  202 -48
954 -904  140 -89
-643 208  -28 -254
310 -456  -461 -44
204 -274  548 -213
311 -678  -414 -614
567 -694  953 -469
-360 -593  -4 301
-319 -221  500 277
-344 239  770 -548
190 406  -512 -687
0 -36  -137 -617
-1037 49  422 -679
-486 15  -800 -907
490 -692  939 -298
-718 -190  -399 962
-166 132  775 -188
-427 659  376 -349
109 557  -1195 -459
-423 77  687 81
119 -346  -1366 -60
478 7  -116 -356
763 11  -280 617
547 174  1248 -365
-364 -257  26 308
-184 -150  -1493 511
315 -101  40 1221
-96 64  -396 690
260 96  -635 494
335 709  -1100 -515
-461 -624  258 159
1080 -149  -21 -22
-6 -15  427 -295
-855 -596  -937 401
-3 170  -331 -101
-341 32  -1152 685
197 -581  340 -176
-692 -20  302 668
215 189  180 304
495 423  -347 -608
-106 802  -296 1394
-33 -649  1156 -88
-188 557  497 973
508 -146  -602 109
5 -211  832 204
-872 -610  -24 541
140 -439  480 -428
974 833  313 439
377 -412  100 -155
646 -230  642 -18
-149 468  254 -215
271 -109  -541 -382
791 -499  -355 474
-101 534  -555 480
-578 310  -61 806
62 99  562 166
-270 -59  -633 -147
-430 44  -1201 -588
-599 -124  236 115
-104 -267  -935 460
-343 -433  330 372
-702 599  -522 107
-497 277  129 459
1 445  22 349
-67 -471  -185 -153
-468 164  562 685
79 -620  414 -186
131 693  -195 -637
184 -540  393 674
359 100  283 -528
675 551  81 -1263
54 301  -192 741
-370 518  -408 -379
-92 -573  408 -338
-198 655  -270 552
-99 -678  82 162
109 -836  -1 -392
861 812  -555 -587
-728 1349  -195 828
-77 82  294 -823
-110 -48  573 -122
-144 373  1260 -62
90 -259  93 1032
-4 167  145 -710
-420 425  -1158 264
277 -78  -547 117
-641 648  39 1100
798 -126  -530 1047
-976 586  558 -742
-48 939  -194 479
-134 544  -439 -1092
669 322  -83 -665
-199 341  727 601
-436 345  -217 -461
923 -342  234 -564
-174 1068  142 251
473 412  -538 330
349 299  257 300
-422 -379  203 197
-301 -609  78 69
-70 -178  -496 -69
-271 200  101 126
-259 132  -203 -243
-549 462  -152 -344
-390 25  341 -772
-738 813  1311 -1176
1049 -276  360 -426
1004 502  -183 401
-461 304  -150 -117
198 -541  417 217
-314 862  117 -492
165 -739  -271 417
894 409  -67 880
107 949  -248 -51
685 162  610 -204
-630 -208  93 -870
403 -298  -306 -536
-729 -78  -354 -1463
863 288  -39 26
46 -202  -437 -860
632 -708  549 433
-1043 -524  -316 204
736 -455  -114 18
-31 -716  -591 -455
879 -977  -653 -1328
-441 66  -179 57
507 775  613 -487
-557 485  -432 516
-30 147  -1007 289
-489 -233  -679 -250
322 -460  587 -96
-291 188  983 -135
426 182  -288 -339
-597 -1188  568 -376
-141 893  -284 269
227 13  284 504
852 1526  188 307
6 154  -360 -822
-31 569  -515 -559
-268 -437  -558 -899
-629 -198  1304 567
382 -157  -309 151
508 352  -163 -600
222 -105  -328 444
202 -469  -113 526
263 255  465 -236
1183 -194  -770 128
223 1  543 1217
163 193  283 879
40 364  58 -190
-73 535  239 114
187 -602  493 -840
568 308  626 -565
127 1270  -866 657
-37 -27  463 811
-144 814  -507 -363
-184 -71  172 -193
473 -937  293 -40
194 -847  174 193
224 -1238  1269 -4
-894 96  -75 -642
-729 -267  846 901
-444 366  -764 -378
-1373 130  117 -604
1064 604  103 115
-209 562  891 -923
434 71  -299 747
13 -530  -892 -138
428 586  152 14
-243 -668  -799 -120
280 -226  353 -19
707 380  598 663
-658 -295  328 409
-34 -871  -60 -720
409 -260  -681 -95
1330 -868  34 -120
184 434  409 -427
-781 676  -481 -508
-237 -972  584 -1118
-257 73  -45 283
-622 -614  -1036 273
397 -169  -62 374
-488 70  -141 398
-382 -774  -63 -103
-330 821  50 394
1803 -822  -213 281
-417 -363  -774 688
102 204  880 187
-335 533  -95 647
165 76  113 -369
1128 -1190  -85 -710
907 -693  -403 -204
-441 256  -657 815
324 -626  -283 797
125 -964  -313 883
-115 935  -453 343
-282 -125  1209 -314
-211 472  656 -417
505 113  -151 184
680 -1592  458 599
-374 -521  690 -279
164 720  296 92
-579 -485  -380 -12
12 -126  607 72
187 -131  375 331
-634 -341  57 -755
-644 63  570 -429
-85 538  -84 -39
-816 343  -43 553
313 -334  -470 255
-44 -25  -414 427
-577 -625  -223 198
620 -119  950 101
-169 -392  82 129
38 217  769 -498
109 -501  -316 886
783 -427  -22 -603
-363 109  -1054 537
598 -254  -56 343
-472 -702  234 -75
307 -1550  399 509
330 756  -301 -34
524 -302  -275 -707
-242 48  -186 -1043
174 -666  -154 -43
174 -20  443 452
-607 275  531 -801
-247 -446  651 765
-527 632  -211 345
246 234  -776 408
182 48  214 -360
466 -372  384 -541
267 -541  935 -85
403 274  -382 1556
671 727  454 322
30 1263  379 -348
-651 -49  147 -124
301 599  263 -119
635 51  -699 -460
-53 -28  -773 25
-276 121  -384 96
106 227  -366 -427
-186 260  185 203
786 591  846 90
286 -602  -292 -569
569 649  117 -39
-712 61  -674 -553
542 -626  -15 154
-357 -760  -281 150
-447 -305  674 539
-66 549  -714 -494
-106 -252  -63 -447
-164 113  192 833
-515 66  -498 286
-876 822  36 -422
-234 953  -343 197
-122 349  -200 -285
391 249  33 -106
-338 441  -284 532
-23 75  -374 -904
340 239  -52 194
-419 588  77 998
128 368  978 -102
258 806  -408 364
-1031 208  -477 -850
155 806  176 -221
618 -1106  448 -370
763 13  -191 -813
29 -154  311 -173
-367 404  -100 34
128 -909  321 -32
-282 -786  -164 -503
6 445  318 518
-133 -482  499 731
-614 132  235 223
405 -317  -465 1346
250 615  -796 -1063
1042 55  389 -469
-1027 404  -172 172
-642 729  -928 545
393 453  -106 743
-927 -298  -7 421
-259 505  -10 -192
239 444  177 -468
-930 308  -203 -265
-262 110  2 103
139 369  -167 508
1558 -471  -166 141
-138 -123  23 599
-224 204  -1218 403
-465 -482  -1020 602
2 -404  589 327
-516 124  477 -321
-251 -402  795 653
-280 -378  -274 -269
-659 -513  311 -155
-67 -894  -7 336
-1232 -436  -486 -282
1712 -277  -371 -682
160 -4  -854 517
536 -545  -1261 -1195
331 -645  697 -9
947 -95  527 186
113 263  135 -443
-9 7  -320 -737
173 -276  -118 363
-101 -373  -287 645
1002 -54  -482 -217
374 -220  -67 -958
-610 617  -12 239
-960 299  293 -839
-375 530  -262 207
656 796  -198 -29
-203 -269  -359 -242
-387 604  -214 99
131 -171  70 -804
134 -76  -1068 504
195 -34  350 577
153 532  -591 -181
-235 1  -95 -1049
-258 -56  238 193
-116 151  805 783
-6 -792  545 -151
397 602  21 588
-39 -321  897 1030
301 -1191  -19 -703
-132 166  251 -699
-476 126  177 650
348 39  717 -145
-213 -293  -917 786
190 359  -786 -455
914 1034  233 -597
184 -455  -378 727
53 -779  959 468
178 131  -7 420
-221 175  315 243
-98 -828  -165 408
264 1135  975 -535
-80 593  -212 141
233 719  800 1141
-655 154  400 56
-109 38  -112 101
39 118  718 -736
-30 215  468 20
-706 -1116  -412 -43
505 459  -352 200
1292 139  -677 884
219 674  62 -532
-176 620  -145 -602
817 169  459 -816
83 123  36 -352
211 -67  402 -344
274 -638  -501 -24
411 542  -90 395
-236 195  218 -38
88 18  -481 -565
441 591  -468 455
510 -341  332 -264
-147 11  -395 274
384 -925  154 -173
-19 -229  314 -245
-129 372  69 749
68 489  -275 -234
-169 -319  300 835
-412 -268  91 339
-383 -303  801 -176
-864 60  1314 -467
-180 -78  -894 341
-130 1103  246 -256
348 18  251 450
13 369  719 246
-291 -729  -646 416
164 -403  301 -47
140 5  843 -473
-44 656  192 198
-127 -57  -59 -271
-326 2  -183 -253
33 -982  -191 468
-196 -44  332 139
-252 240  412 508
-487 -516  -384 225
163 7  -23 115
-53 -20  596 -161
381 -480  -6 285
-24 215  -788 221
333 -50  -96 469
-28 -143  934 314
101 287  86 -90
-734 -14  7 -109
-763 -498  -1165 -460
-905 -123  -484 -414
1099 809  -977 -905
632 933  -827 -335
-205 580  -265 -44
-143 -186  802 -253
-780 222  -396 -253
-551 -676  344 760
-236 -42  1242 313
-860 336  83 -938
453 641  -281 59
428 353  106 -567
55 -170  169 86
137 742  342 224
-248 295  763 492
-533 192  347 118
515 992  36 -316
-124 -912  10 -420
-583 416  -545 848
260 -980  -150 443
-646 114  183 -901
828 554  -475 264
154 -452  162 -498
-529 -594  77 343
723 33  134 -786
118 -650  481 -283
139 76  -202 365
485 -77  -708 -493
958 -1103  -6 112
1125 657  560 -303
-29 138  313 -212
-138 -566  423 160
-1070 85  322 -69
617 -256  130 -945
-83 -146  310 86
40 -884  -661 592
-24 -307  -206 -1196
-649 -261  -144 744
48 -805  -370 -268
237 0  -108 93
-128 -338  245 110
44 310  -848 281
162 -64  195 264
136 127  273 -538
-1035 -304  -370 -314
318 278  83 160
465 86  722 -682
-294 589  51 -299
263 -754  -103 238
-55 82  107 440
329 -577  -761 -763
773 -73  270 549
-241 137  -597 73
338 97  441 802
531 -12  125 -311
1053 21  686 403
670 823  -779 186
-330 -61  3 -878
-341 -517  188 -8
243 507  -712 386
1061 194  -361 489
215 -68  216 624
-336 -72  -216 607
-807 -1095  -518 -523
379 -85  -827 401
-255 -94  191 615
-842 442  -2 126
743 -127  -517 173
-206 426  292 1144
279 -145  -71 -394
-755 127  370 -514
277 99  82 335
-138 205  -139 -91
-393 315  -1013 -366
-14 -123  400 -670
-808 -1476  -541 566
-252 451  62 25
49 -200  -269 225
-88 513  -461 -263
20 -411  772 -86
-753 -623  701 53
533 1246  172 783
503 653  -241 191
-276 436  -325 808
442 -384  577 26
-204 732  358 24
285 -755  -468 -54
560 471  171 108
483 -448  -851 28
-465 -299  57 110
567 965  362 -287
-1043 377  612 -575
102 -786  565 -399
-1087 -568  828 -495
-61 -634  -364 -288
1141 -7  -274 -791
-864 819  135 496
-722 -370  -193 -792
711 -88  508 102
-626 -229  -37 -1105
-176 -1245  255 939
534 -250  -460 -673
-258 -1418  -94 -775
-241 -534  44 104
-781 -130  -1302 916
159 1229  685 -14
-154 -621  -294 447
-699 -447  15 150
606 359  -428 -296
-362 -1082  -687 58
-497 -183  89 48
-811 932  345 -28
219 -97  -277 140
829 -643  228 -21
518 12  -750 186
658 452  124 -344
509 440  -276 1113
622 -463  -49 187
-687 51  37 -777
-292 906  -308 688
296 -488  -44 354
-669 391  -597 -584
1050 -186  -1247 -80
294 -1063  -468 837
196 -108  445 -1146
-323 560  677 514
-237 805  -185 -136
162 -163  387 786
-887 -249  -475 -128
820 67  557 -825
-542 322  -536 901
515 -835  828 -83
5 242  -421 -513
-116 -453  797 -3
573 71  367 -1116
405 147  297 9
309 354  931 34
-606 40  -332 76
568 375  175 802
-92 294  -579 50
-286 252  -215 493
-185 1011  -620 187
659 341  550 -783
127 -779  -304 583
-253 -351  32 -87
191 1235  612 831
-47 -271  161 -161
524 -521  471 -590
-218 107  -707 702
-259 -717  648 293
1089 -455  -549 537
221 893  -512 -193
-99 577  351 -226
34 -1006  -479 -252
77 376  351 635
394 -1156  487 378
-1827 -26  587 -236
-420 -471  568 93
466 208  -225 266
-58 -569  -149 263
77 739  -522 -494
645 -519  -447 -237
-775 -201  -1172 44
24 -263  -356 413
-12 -405  -380 133
-188 -615  287 205
-749 12  -41 -56
367 173  890 -51
379 -616  428 -368
-311 543  1066 63
657 -366  382 -165
166 -239  -240 168
290 465  -112 613
-451 -743  844 321
-157 -743  122 -545
-624 54  -557 135
-302 92  602 795
-235 -594  247 -222
-63 312  21 96
77 689  -642 31
-85 561  91 -698
221 942  496 -404
519 -523  84 -77
410 1194  607 -707
127 967  -371 1327
-333 345  -107 143
-826 844  829 -445
43 -535  -564 155
573 339  632 705
-39 -955  884 -1037
-312 -510  -43 249
1183 669  -1004 760
-475 -571  470 -1135
194 -37  372 340
205 -273  -16 1351
457 652  775 208
-378 177  250 -985
0 -287  -240 -127
-637 683  -348 -97
1087 218  -461 -422
-550 279  -46 -285
245 -125  -67 -537
1301 9  299 -36
-741 -202  -257 -565
-363 -865  -768 -876
-107 -236  98 443
563 40  471 843
255 12  -1088 13
-183 -198  -144 -95
422 427  844 -166
-371 -318  92 -621
-89 201  421 -177
-417 200  128 1317
517 -999  -1005 531
277 1094  -1445 -977
-20 357  -144 -88
593 -805  -601 264
71 -533  -657 293
269 642  544 -115
-687 472  550 -473
-11 -502  536 -633
-644 -196  -108 427
-208 139  112 489
-320 530  -485 410
-533 -787  -337 715
-480 505  160 388
123 570  -531 -67
-329 83  -1454 -954
-494 -484  -793 115
-343 242  507 16
798 476  545 1050
813 -299  158 54
-777 -516  504 510
-255 -474  -470 232
-657 -245  -622 279
297 -513  233 -1066
-2 -64  1053 -177
-634 -353  569 312
-205 -60  560 -561
-306 0  238 496
-1046 -508  -158 740
161 -364  500 1270
446 -503  183 -206
-292 187  -5 -14
-392 -24  -141 -8
20 -691  -538 -900
-142 479  237 95
-41 183  987 -366
42 55  -122 -64
-283 546  -299 574
-289 -531  49 -464
-121 -206  -466 -49
16 522  744 236
-191 -361  442 91
-440 851  368 -81
232 431  -360 -86
41 -305  -690 14
924 -1075  471 -499
-150 -858  80 -571
380 -640  437 978
