-1757 1697  339 -1025
-918 -2258  2488 -5699
-2060 -1650  -5760 2257
2736 435  -1140 -2860
5044 2613  -2226 -1905
4510 -1198  -7515 -368
-2365 2651  2397 1063
361 2275  -1438 -922
-4876 -2952  -3335 -1388
-2568 -224  -3082 -4041
3811 -1092  -2587 1797
1500 -3995  -2938 2238
2265 4259  4008 1107
-1484 -4640  -428 -255
2982 -3721  -351 -1171
95 -963  2573 -3077
-682 -900  4807 -921
-2774 3803  2087 -272
-1332 4721  -364 -3237
-3373 -5079  735 -2913
-2145 2120  827 -1889
4469 5974  4812 695
-2654 -3681  2643 -1965
2859 2029  4675 -746
-1476 1891  29 -1962
774 -2843  -5078 2549
-4097 -832  -3554 -1582
-1907 -2857  -3251 3041
3471 -288  28 2732
2111 374  -1468 6964
-868 1968  -1736 593
473 -1257  2408 -901
5494 -7259  -88 2063
-735 -3437  -222 -690
2542 -1643  4426 2572
-46 -478  3425 1212
1518 2370  1784 3591
2817 -2607  -3512 2965
-4959 1029  -505 1698
-742 364  145 3968
-2721 -923  6455 458
1543 913  168 2418
1250 -1316  335 -1844
2330 7134  2091 -1828
4920 -813  -4709 2755
3443 1455  1012 4082
623 -278  -450 2135
-146 5528  5142 -6575
651 -3330  543 -597
-2495 -117  -2445 -465
1447 -4837  776 3339
-2839 -739  -406 -409
-1279 -1994  1530 -588
-4574 46  2832 -2222
-533 -135  1891 -662
-255 -594  2868 -1412
-2831 -5018  -3772 4640
-1721 3611  -1052 894
-1876 -1801  558 3449
375 2317  -904 -4347
-5111 2932  -5098 1546
118 560  -2403 -683
-4546 3013  -2565 -3016
1215 964  1997 315
649 -912  368 -492
-476 -1222  2310 -2797
-4286 3288  728 -1346
-1357 -1453  -1125 -9528
90 -1429  4921 -2724
-1692 4522  216 163
2856 4598  -773 1511
-3502 -3953  -2427 5256
-602 462  -124 -5076
1164 1518  -1746 5780
-1045 6  2660 -2875
79 -2373  722 -1068
-203 -3027  344 -3585
3320 5910  3277 2799
-5537 1028  2565 1636
3688 1163  -1259 -2901
2431 2370  5312 -3854
-1723 1972  734 3252
2631 -1050  -2554 -3139
-3975 -2478  -3882 -9357
-1157 -2078  -5112 2140
-1671 -2056  -3508 -90
1303 3289  2602 -1002
714 1275  2275 -3674
-4991 2430  2772 -2262
-1183 -68  3043 2584
3714 3532  -3527 -212
-3641 -2192  -3884 -364
-986 -3068  -2455 -726
-1463 328  -4435 2285
2584 -3508  -957 1417
-1906 995  1009 812
4469 -1260  2983 1170
2031 -4103  861 -713
-5279 2219  -1007 1191
1570 -3888  -2318 2108
-584 -2555  -4919 198
-2632 -1394  -4705 -246
-836 -612  -3039 1178
621 2845  239 2684
3671 -4734  -2246 -2281
-5117 5159  -2177 -3764
1214 1532  -5612 -3899
-1588 2800  999 -2367
-182 -2476  -6969 -1543
42 2634  2411 -2528
1105 -2747  152 2807
-1711 1587  762 3322
-3397 -1162  624 2254
-4812 -3462  -3625 -1767
-4709 -892  2374 5621
-919 1898  -2059 -2022
-332 -2119  481 4783
2642 5092  3581 6648
-917 -6029  679 -1729
-526 -1146  1269 -3629
-568 -2074  5980 131
-4724 3606  -5327 751
2210 1897  -4742 795
-1185 -3086  -1018 -2397
-2521 2804  -2088 2555
-3594 -340  -3314 5116
4420 -1684  -2169 -2159
-1194 -434  -276 -1858
424 4609  1436 -1157
-570 -2229  -3661 1711
668 -583  1520 -1588
-3640 1708  -213 -3958
2840 1128  -5216 1357
753 -3218  460 858
2435 -938  1824 1029
331 149  1695 -6212
1861 -1452  446 -766
-2268 3767  -364 125
4044 -3100  7597 -2787
-466 -1490  3391 3281
1754 3161  6984 1249
-2307 -1664  -1449 5894
-3951 -1088  1245 -4623
-1753 -1143  -1826 -2268
301 1758  -1200 -1543
-1374 2837  -2332 -3304
1830 1278  753 1278
1718 -804  715 4738
1325 646  -4705 -3755
1036 267  -421 -511
-604 -2486  139 -6617
5780 -245  -257 -1282
2309 3439  5238 3208
-3286 2317  -2177 853
1463 1532  -4153 2339
1900 -2748  4952 -1460
-890 -1888  818 602
964 3783  -596 -852
1427 1305  -3612 -2026
-1098 1737  -2779 1499
5483 6840  227 -1733
2257 1193  -609 938
-577 1618  -4884 -3903
1800 1090  4162 874
-132 -6630  2535 -681
4431 -4237  -717 3231
3345 937  1930 1261
156 2999  -3496 -2743
-1917 3143  -265 -7120
2357 -55  623 -2155
2723 -2691  -1573 201
436 -394  -1666 -5290
2490 3895  -3415 1895
3115 -5505  -1369 -3642
4580 -989  -3501 7040
-1960 5813  263 1652
815 -1100  -162 3660
4248 2010  1284 -2673
-1540 -1507  6282 3201
-3469 -948  -6973 2897
106 -116  3224 2496
-1818 1146  -2439 3274
14 -2611  -2595 -1222
-196 -641  4279 -3553
2011 391  5199 -7422
-4700 -46  -2481 650
-1142 -3349  -3186 4025
921 -9844  1852 1738
2705 -1260  384 -2936
-2962 -406  -7190 -4908
540 4164  -4388 1919
-1152 -1951  -5245 4143
-1677 954  136 -2205
274 273  3926 -4965
-1749 -920  563 -3758
1401 1358  -2275 3179
4890 -1795  -524 -4997
-3288 475  -2411 -4838
188 949  439 2934
-641 3850  1692 1184
4792 -3892  641 -886
7758 1889  -1330 -735
2636 -83  2087 1482
2041 -834  -1737 -770
-1006 343  3633 -809
5756 2343  3790 -401
2065 -2142  -2709 -2853
2363 -2714  -438 -797
713 -2332  -2691 -921
259 -2276  4897 -639
-4028 356  -530 -640
-1419 -1922  673 628
191 866  -2259 803
7553 114  -4037 2280
-5921 2825  903 3206
5815 -804  2968 -2279
3323 4327  1031 5156
3905 186  -259 -1717
-602 -1586  -4736 330
-1847 8362  3023 979
3140 5942  -3353 -1154
-849 -516  -4427 -3041
1175 -2067  3873 3164
623 7000  -2621 1373
3914 -950  -3721 -3152
-3352 506  1564 -760
-6899 1224  -1133 4891
-1027 -408  -235 1046
-4335 -4586  1753 -1079
-1172 1904  -929 -2811
3292 -4920  2444 -6212
20 2893  -838 -3504
2554 -525  -5398 -1114
1378 2740  -1640 -5429
4279 5291  -371 2398
3707 3032  4478 -1001
3663 73  -1095 1034
1170 518  4304 -1384
2344 922  1627 5998
-5668 583  -920 -1212
-67 -1230  246 -2525
-654 1692  -1978 -4039
-1482 7640  706 3457
6575 -138  144 4038
-428 377  2625 8118
-1919 2149  1565 -1310
1372 -3729  1819 -4185
-1020 -1385  220 1187
-1858 3646  58 1858
-2666 4678  -2307 2403
-552 -2724  -814 -1142
-2845 -3570  -1143 5429
-2011 2013  -2740 -2045
-3261 3837  1051 2330
-2674 4525  -1772 -2299
3046 593  -488 -3254
5033 1660  4878 -4707
-3084 666  -2565 2594
430 -3136  -3254 -183
3546 -776  -864 1330
3730 1813  858 -491
1007 1911  -8669 -1079
536 -1930  4735 416
-3539 7030  -335 -256
3793 -589  1550 2161
3786 -4098  1470 -4073
2257 2559  -1061 375
-812 5060  1404 -421
-4788 5748  1453 6015
-1205 -4195  -1066 5250
-1084 -717  4682 3163
-3459 2  2073 -456
2101 -3044  -427 -967
-1436 -4940  -2348 -3495
2082 -3425  6198 1792
933 999  -3881 -2651
427 -1297  915 1407
952 38  -3940 -2154
1922 -296  174 -2459
369 2466  -2289 -1
110 758  -981 16
5088 -2296  -2570 -898
6618 -583  1477 2400
-4147 1955  -3910 -2732
4349 -1344  -4579 -422
492 1082  914 -2798
779 2060  -6237 1239
437 -2144  -24 -1440
4323 -1625  2490 -2702
895 3268  -1275 1418
677 -436  3381 2763
547 2226  103 296
-2800 -549  -4555 2742
-4481 -2924  -859 -2198
4908 2554  -483 2308
-1504 4362  -3266 3937
268 -439  1711 2680
-2541 -96  4906 1192
-1343 5299  -2555 2857
909 -3796  4992 929
712 -2619  -3093 -1715
955 2604  -468 -2512
294 7119  -284 5321
-412 3324  27 -1870
-1260 -344  1126 4412
-787 -770  -857 -453
814 -4852  1613 1838
2791 -1118  -62 1431
3254 2083  -2091 588
-3337 2976  -1751 -1717
-182 -373  2793 4113
2613 1997  -6474 -3420
-5856 -5325  1534 -1715
-907 2574  704 535
-776 3127  -487 2460
-1039 4644  2488 -1880
-2437 3137  -733 2319
-2633 5932  78 2908
-7261 5982  -154 -2842
-4661 1621  1593 996
-1628 -2915  1950 -3433
-1310 -1830  178 1794
2570 2000  -1470 175
2055 1778  541 -4438
-3805 746  -3593 -636
2796 -912  -1082 574
2824 4133  -3233 3393
-2090 1910  -325 3984
284 1897  -3557 2780
-282 -690  -1098 -3285
-2854 8180  2783 1756
1975 -1008  3766 -2112
-1412 938  2372 -1581
924 468  -2050 -3015
4220 -1525  -1234 1702
4404 1132  -1834 3194
-3355 2879  4237 -4444
3642 1274  384 -2362
-2180 -2610  -3978 999
130 -709  787 2876
366 -1825  -3162 -2738
-1877 -2793  -1171 -4780
-424 6956  934 -3179
-3980 5603  548 2875
2558 5496  -3273 203
-3386 1788  5827 1245
1146 3856  371 1480
-76 -3619  1599 -2431
1821 -3995  -1471 2038
-1823 -2417  -2165 -2805
-1953 1682  -2602 6564
-3654 -1767  1775 38
3643 -360  3932 -822
3965 2452  -1724 1779
269 -2286  1890 -565
-3341 175  440 -1674
3826 -7580  -4323 -2978
2458 1795  254 -1822
636 4125  -328 -4193
1436 -4870  1196 822
1160 -2781  952 220
1887 -296  1864 1584
-2268 2623  433 -4996
-3365 3831  392 -4127
6129 -3617  68 1927
454 1265  -399 -789
-2525 -3938  3051 4329
-1102 488  -1575 770
-1170 -2027  -1647 -1375
-2624 -708  -343 409
3806 1596  -10023 -4007
-6279 2338  -6415 31
961 -1675  4376 238
-1380 -2638  1704 -733
-5767 -3013  -603 2228
746 3371  -3001 2360
-4398 -3028  -2645 -2052
958 -1330  1330 3483
2079 -979  810 -6598
5129 7724  964 1408
-310 2723  -2436 -5240
458 1920  -1688 -2137
-850 -624  2214 -584
-504 3107  -4303 -1996
-7577 -879  -902 -1466
2910 -3443  -4027 3103
-2543 -1979  -238 3643
-2344 -1873  3658 -4896
-1259 2478  -936 -554
3103 -5710  2248 1105
4320 -2419  -3741 -4429
304 -4046  2164 -1074
-2365 3115  -3155 -3887
2756 109  391 1300
-7069 -2924  845 -843
-2778 1367  -1100 592
-1403 -156  -1510 -857
5863 5428  5496 6633
2257 2454  464 1968
1762 -2904  2322 -2307
455 1991  -95 -2153
-1179 3851  -152 -421
-3454 2000  1435 -6152
-1420 -2023  -259 202
3313 -374  1568 -551
5051 -801  2390 5568
2463 -468  1071 3103
-3117 -1918  -128 4130
-1197 -465  2542 314
-1443 -3217  3861 -686
-1331 1878  -274 -1989
2962 1145  1811 -2905
564 -967  -222 -2621
-3477 -873  -1423 -1928
-986 1386  1239 321
-761 4508  3054 6497
-1476 -4350  912 590
966 -984  -2096 1533
-816 4308  -1718 -2996
1306 3049  -4048 4
-5842 4427  -2131 1345
-1053 1815  -2400 753
1324 -2897  2274 -2785
-2772 -226  2691 3122
-2788 1164  1353 -89
-3504 -5224  -4517 153
-2674 4414  -6396 -314
3090 -731  3198 30
165 -3004  2049 -981
-3749 -363  2438 2188
-1462 2803  2763 1392
6708 -9080  -1186 -182
3404 -927  3549 -1844
-2689 3428  143 -1450
4932 -379  -1308 -5587
-7624 -3074  2337 3193
-47 -2118  1132 -1016
-150 -5651  -1865 844
-936 2321  3574 186
1273 4858  -2565 -1813
3795 -6113  -3011 5254
-3753 870  -5997 4919
3921 -2688  1299 767
-2484 -1630  2229 -3469
1557 975  1909 -3221
-4204 -1743  -5760 -2311
-509 -3003  -1437 -90
-681 5478  -586 -4650
-1665 -4044  -1471 -1029
-815 -1773  4191 719
1083 4350  314 -2869
3565 1726  1374 512
164 1503  623 -833
3055 2855  -1449 3483
3399 5635  -2247 -1895
1137 -2185  2664 3226
892 3667  -3826 2458
1715 2805  -4290 -161
725 -700  -439 -4615
2753 -2972  2109 -7248
272 -2422  -2197 -2012
-3411 -2563  -1948 -3646
-1051 -2157  3106 4676
-855 915  5805 403
1612 -1868  -333 -870
-1880 3097  -443 3998
-4047 -1131  -1221 -4064
345 -164  3799 6975
6480 -611  3142 -1429
-1043 -2  -1359 950
1110 -2758  -1694 -390
1600 -971  1856 2450
3 -350  -1890 2127
-188 1971  865 -1059
-2633 -911  -4943 -1334
4139 844  6725 -626
1858 4916  -4205 1707
4095 134  2284 2266
-1738 -381  -5603 4896
-2740 1251  -143 -1043
3119 344  -6418 -3778
-973 -1374  2191 4649
2790 -3466  948 -1759
862 -1301  4877 359
6823 2966  -1408 -1972
-694 -1661  1366 805
-3875 -4866  -4514 -2512
3841 -3562  1455 -1579
-1617 4390  1884 1112
-227 614  -56 2265
-3570 1487  -2627 -2929
2000 5067  1826 1869
504 1731  649 -671
2 -3483  -283 2339
-409 2753  -4380 2911
-1211 52  713 5364
-2102 -4612  -2640 7972
102 73  -2887 6257
-6555 4022  2473 -2189
-659 -1699  572 2515
2776 2342  4018 1857
4239 4750  -3563 2151
-399 3379  -562 1874
-1159 -2275  3577 4881
5103 -1488  -4626 4578
-1060 -1243  3491 2385
-1930 -2700  -859 2733
-67 265  3238 -1281
1841 -461  295 -3526
1359 -332  1923 -1297
4071 2096  -1943 465
4533 -3603  -544 1068
-3699 -1060  -267 -2680
2232 -2696  135 1650
-1891 1872  -6264 658
978 -1978  -3102 -5227
-400 -1713  4399 -8323
314 2160  940 126
5792 1287  398 -3487
-2836 -4601  -3105 -4958
896 -438  1461 3503
-3070 -506  -1683 3632
1453 2802  3744 -2624
5936 -1792  1044 2940
-3628 485  -3721 819
-2160 1982  780 -1858
830 3720  3254 872
2374 2151  -2081 6727
5564 -173  1080 -2418
-1175 -1824  634 -85
-4541 -3570  -1908 -1143
-3768 -2041  1542 -3599
1497 -1676  3455 3962
851 -798  -707 -2781
2465 -1552  5650 3091
-1337 364  3146 -3529
968 4772  -816 -2769
3329 828  7530 -6239
3231 -410  1020 -1300
4906 1265  3438 3729
695 -1917  1128 117
2043 -682  -631 -2984
-415 -1716  -117 -398
-3449 7952  3592 -1105
5596 3917  -1436 -104
2863 1359  -1316 -2595
-2786 -4273  -1475 -5365
1481 2861  110 -824
-1532 -834  735 -3489
3264 -4398  7124 986
-1649 1746  -2570 -6152
-489 1416  94 2567
6046 -2378  548 3800
-2565 -2399  707 6915
1307 2480  -3047 -3287
179 -407  2221 1333
3697 -111  -2970 470
-578 1774  -101 1460
2752 -5448  2371 4344
-2787 -5318  2665 -1073
269 -5477  -1608 -2145
-2799 -700  1198 153
2577 2168  5894 5339
-3233 -595  1858 1760
1264 22  177 86
2152 -3447  3271 4231
3257 3383  -1555 -2626
517 -1380  -2857 -442
-3422 -1435  3834 2823
4645 1414  -4303 5507
3628 -1823  248 4116
3149 -5189  509 2818
-2130 -229  2208 -3180
2410 1601  1253 -1320
3177 116  4359 -3441
2255 -1096  -1746 -2955
1512 -1785  6212 876
-1446 1205  3076 4713
1162 -2080  1181 -4070
2686 3596  -2832 -3282
-1056 -319  842 -1756
9277 -2530  2631 1566
-2749 -2246  -863 -2109
2692 1561  -1081 2274
943 -2663  4823 4707
-3360 -3091  917 3538
-1753 4588  1978 -241
1536 -2182  4707 1462
321 4281  -1582 -3737
-935 3824  -3616 -4882
-3600 5110  -1059 -6165
1070 3257  5455 3299
3916 -1080  -624 -2901
-3226 2371  2567 -4303
513 1441  -2552 -1677
118 4144  2868 -2427
1848 5226  -3409 -3373
-205 4916  2853 2678
1308 -2563  -2540 -163
-4582 4597  5414 -2916
-3356 100  4450 6092
-3004 -3605  -159 2804
127 930  1118 -3665
1474 -2392  1549 1092
618 -2465  875 4918
-2721 1446  -711 2516
-2288 463  -1919 817
138 -2181  -541 -7180
-506 5571  3561 -29
-2793 1865  -1644 -212
-516 1951  2314 623
1098 -2137  -880 2579
-2290 -786  -1278 -2835
-1580 -2072  -2859 641
1637 424  -2478 640
-1075 -8351  2011 1841
-5898 6046  64 585
561 -3035  2420 175
-4479 20  1922 -3120
-1318 -2749  3039 859
-5390 -1830  -3136 -4463
3408 -686  -1265 834
-1393 -2294  -1371 394
-2669 -563  611 858
826 1622  659 -1545
686 225  -1819 -2694
-1092 3957  -499 -2970
-5534 -391  -2142 -1729
-3181 -36  -2778 1753
2242 309  524 2182
-3093 2054  2559 2085
763 -528  -970 -3135
-1832 1707  -1581 199
-1036 4975  1500 432
-1369 -4044  6145 -570
-494 7469  -1514 -556
1539 4033  -5633 -4603
1020 2363  -2991 2854
4951 2206  -747 319
65 -3950  -3732 3992
2749 -3805  -114 -1908
4790 6006  -542 1841
1796 -372  -4108 1296
-4917 5468  -491 999
-999 -5161  4878 3733
-5907 4921  -2806 1542
3723 6788  1979 2183
-3745 -4172  -3371 1121
-1424 457  2130 -874
-2328 498  -170 1567
1124 -664  2524 500
2113 1942  5550 -3888
182 -5941  -2490 307
-1335 -2285  -3197 -2092
1876 -2289  -7529 21
945 -818  -579 366
1306 -395  3153 4516
-3552 -3889  1157 -2132
-4050 -3256  -4461 5388
-2976 -1581  2046 -1011
1429 -1230  44 -136
-473 546  -1543 -213
-401 920  -908 -1814
-1068 -538  -2944 -1575
2301 -493  935 -747
1218 -2765  370 -4907
-42 -162  1141 -1596
3910 -5157  3979 79
2151 2223  4991 1382
2059 -5200  865 -5740
-3799 1517  -384 -3160
-5454 728  708 59
-85 3200  1490 2427
-4844 -2076  -2192 2380
-868 -2887  -977 -445
5614 -3382  -3331 1573
-1734 253  5093 699
2625 -1893  4784 -2189
686 -2538  -327 -1789
1583 992  2712 2067
1435 -179  -1264 2656
-788 -350  2891 -1281
2184 -688  26 -790
-3450 -3168  3276 -1297
-1982 -627  -676 1536
-5297 -2245  2447 3406
454 2453  2248 148
445 -1150  -1819 2134
1089 -291  -3868 -1239
610 -1666  988 6941
6754 124  -1830 4295
697 206  -4234 -3618
-623 -3418  -3594 4124
-587 2197  -5649 -4409
-1814 2509  -94 -5847
1510 1839  -3637 5434
994 3540  -471 -790
-288 1462  -4346 44
353 497  -1735 -1877
2037 4434  2686 532
-1691 -2513  2832 3118
-5007 -2877  1811 -598
1403 -3590  -3272 -9666
1420 341  5332 5898
-2392 2579  -742 1891
1411 -389  5184 1651
216 -353  -757 -2318
597 276  1606 105
-4678 -1127  -45 1696
3705 -2183  4638 -3167
832 1406  2912 5793
-2168 384  -507 4538
1027 4635  3902 3000
1303 -5157  -154 831
-1817 -1563  -5597 -1693
-1021 -2556  611 -8531
-217 -2661  697 -1130
7197 3173  968 -553
-846 618  -530 274
224 -2436  -3451 -5122
-5269 2588  -1398 3027
117 37  -5326 1065
1572 -2267  -1417 468
-135 -3729  377 15
-1378 -457  -4137 -6961
5379 1419  -3917 41
2724 -1459  -1891 -3321
548 -3140  1706 684
-388 -3258  1447 4467
-3041 -3557  4128 2604
202 -727  3722 -1479
-4689 -375  2867 -1551
1661 891  0 -705
565 2113  -6916 -14
7015 -1275  -487 2252
-1560 184  3424 820
-5455 1808  2963 -9170
-147 -442  3134 -121
4311 -1701  1947 709
-2515 644  -825 5520
-1403 2067  -69 1989
3996 9831  1371 1441
1908 -2209  4049 -539
-1164 3776  3863 -7315
-3807 4812  2559 890
2677 1100  -2523 -1958
-1582 6829  -4780 1392
609 5318  -1580 1952
3346 -598  -1825 -2164
-562 -3005  1887 -1530
1048 2670  4052 2860
-1910 -7070  -1039 4779
1948 3563  2419 3118
-1172 1496  -6035 -807
-675 -1330  -3500 123
-1480 242  -3132 -2878
-1435 -3824  -1382 -4001
-243 1889  -2215 141
-2732 -4083  -2132 1741
3740 2583  1664 1577
-1761 -3255  219 -936
2622 -1344  -3868 -1364
71 1373  -1130 -6517
1386 -1934  -2508 1147
3902 876  354 4020
-2995 -4577  1202 -2263
572 -2120  1281 -816
-1282 -2699  1093 -2081
2186 2050  249 -14
-4495 356  60 -1783
78 -420  290 -32
4388 -407  1664 2005
-5710 -4522  -2102 -3469
-896 1575  2512 3557
3232 916  -2578 -1993
-1578 1195  -782 -2985
1367 2465  -4005 -4232
689 -4214  -956 214
-2928 1501  -3637 2195
3646 1297  -6729 -3039
-129 -2145  480 -769
-1218 4123  4004 2347
-1642 1359  2180 -402
2272 -1285  -270 2284
2908 655  -1539 -4890
4904 -2835  1493 -1100
-653 1609  111 -3315
700 -2945  2130 -1666
1898 -4425  4030 -5640
2179 -5998  -731 -262
781 3581  886 -1762
1015 -1138  950 -5252
-363 1795  2084 -8043
748 -6637  158 -1811
1507 3614  -3763 -2095
458 -4185  845 1608
-1395 -2671  1321 1604
-3907 -810  1809 -1130
1025 6091  1647 5655
5039 -1572  -2055 -2501
1712 -1523  -804 3310
2811 -751  1312 1074
3926 -3316  2485 -170
111 -918  2038 4722
-3458 -725  -878 -169
483 1473  1147 -6249
538 -356  2346 -126
-2765 781  2567 2928
-737 -4852  1415 3785
2467 1585  -763 -1856
2557 2025  1278 -2220
2645 -762  -4524 -1340
-1082 -4102  -174 -1633
3055 -1207  -6493 -794
-274 607  4166 971
-231 -9  467 -5724
-1712 1215  -1735 1298
3629 -1338  2795 1755
5911 -2025  2355 -2333
2584 -3428  5983 3584
1511 2200  1581 -5198
-751 1160  2627 3142
-1932 -8  2027 -3140
-313 -3374  3701 -3262
-1670 -1347  569 3826
-915 1694  2962 751
-817 562  3152 3464
-3800 2006  3117 -1726
-383 -542  -1400 5698
3305 -1376  3642 -2029
1723 2763  -882 2979
2365 4984  -1579 -1767
-2799 6469  -3227 672
150 3772  387 -5396
1624 1491  1069 -2731
1045 1344  75 -1363
465 -1212  440 -47
-6286 -1442  1369 -225
294 151  2628 32
-383 -6182  -2178 49
-393 -3307  2499 -6237
562 1280  -289 281
7262 838  1850 238
569 -5478  -576 3855
-3254 -4434  603 -349
598 6554  -2757 302
1280 7752  -946 -7555
-2623 -2472  795 -1894
-5566 -4351  1258 978
31 1561  6086 1267
1480 415  3016 3399
1955 396  4078 -2153
-3079 952  3184 -4278
6587 1167  -1195 -3024
286 596  -1878 -1595
1984 -3102  724 500
-4648 -3807  6147 -327
1389 -773  2681 -1193
8823 -1141  -2984 -6413
-1645 -1654  1098 -253
427 -2218  3872 -2812
1049 -479  22 655
1190 -7525  3959 -1405
-1886 -1988  681 1608
3543 225  2299 344
-1994 -3331  1033 1784
-3780 -5648  -2074 499
-5396 1929  -656 2565
-4295 -5841  -3589 -3950
341 4344  -558 229
-1978 2453  -3754 1192
1316 -3065  -3690 -7963
2693 2274  1736 -83
6258 1903  2491 -182
-48 -265  -1855 -515
-3014 -1599  1023 -4528
464 1144  1458 5107
-3105 -2716  -1160 3966
-761 -3000  -1150 -1420
-4198 3303  -58 -326
1290 -45  -3228 2953
-3179 -4855  -1099 -4660
-1712 -4397  -6 1677
-26 3540  -3500 -2100
1566 637  5570 -2927
-4262 -4404  -1787 1474
-5347 2645  64 -8629
2503 6108  -614 1028
-3080 268  44 -867
2553 -2749  744 -170
-2707 1656  2212 -161
-4504 -1176  3734 -1264
-182 395  1744 -1339
-896 -5076  1584 -929
-4101 -4153  6078 -2266
1747 852  -1055 2660
2620 3236  -881 2073
328 -820  2009 4961
2533 26  180 -494
274 782  -912 2320
1755 4117  -3262 -3658
-2363 1347  7311 2277
-1674 1431  1472 2528
-7040 -982  -940 1559
2331 -1445  535 4376
32 -82  17 -15
3183 -7008  -1304 2049
-448 -2794  1831 945
-652 -4950  2979 4136
2327 -2953  -1030 317
-5686 -3076  -745 -4313
-4454 -834  3122 3043
-3935 7850  -1134 -1103
-3577 1634  907 -916
2098 332  700 -162
-4033 -2437  4099 -2886
-991 3129  77 2638
-959 2804  654 -1043
-4336 1704  3523 4225
1961 -1082  -989 -1153
-1524 -855  -1552 -2042
-6377 -1514  2268 540
309 -1830  3012 2194
-987 -1865  6304 2762
5084 2492  278 3129
613 -464  457 -1487
-439 5370  -2056 8868
663 -4692  5739 752
-7233 -694  -270 -395
-4071 -1387  3745 3262
-2260 1805  2173 1404
2252 -523  -2264 589
1749 5176  3354 -962
1612 -3368  -967 5680
5228 1260  479 -3212
-826 -3617  -1101 -3523
702 -933  2698 -419
-925 -3815  1613 1897
16 -4273  -2850 -2395
-1276 -4371  2189 -4440
1779 -1119  -1213 3939
-5832 -354  -3630 -3584
2936 -5549  -3307 -1071
-4278 -3053  -3913 5544
2057 -984  -414 7068
5037 -98  -1771 4166
-48 -3542  -113 4788
954 5111  3913 -1793
-6402 346  -1174 -2872
-1765 5348  1887 -1430
3339 4743  2136 -5977
3889 2590  4153 133
-990 4017  862 -3769
-4505 -3152  -215 -3038
-2940 3435  -2646 1824
-2890 3683  76 -1150
2776 1160  -5742 1042
-3519 -726  -4662 -61
4489 -584  -449 3167
4415 4564  -1452 2819
-384 -5023  3263 950
-6462 -1117  -3264 -745
2300 -3700  -1934 4126
-806 -66  -2663 2439
5982 -909  5028 3951
3405 7558  -370 -610
1391 -1455  1957 743
-1256 -1311  -620 -337
2432 2263  3393 -1634
-7322 1605  -102 -1065
-4226 164  647 -1022
7008 -8108  378 2569
3246 5052  -4318 233
-2465 -3886  1997 -2215
-2110 2991  1533 -2187
-1662 493  -316 5142
3280 1498  -3857 -2937
-447 -2896  389 2613
-1164 2104  -2734 -1837
-4819 -3297  1882 -650
-3071 2213  2158 -2165
-3060 3003  -2266 -709
3712 475  -135 -1084
-2239 -4498  5550 -329
945 -3727  1542 1702
3745 194  7921 862
-2791 -920  209 4743
-643 -793  2381 -3429
3918 -822  -2316 1679
734 -3857  654 6914
6860 -3035  -417 -2548
-1807 -5312  -4399 -128
207 -2463  477 -307
-2227 4774  -3010 -1760
2589 -124  -900 -1124
-2910 -1312  -2185 642
3006 1566  2060 -6605
274 3599  1069 2919
-4487 -3018  -1038 1123
-2547 2307  1433 -1696
1595 -7905  1424 941
75 1982  3992 -363
-4996 -4421  -3021 8821
-4224 -782  -1955 13
-2177 -2054  1766 2132
1390 -199  3916 -1949
-503 -3685  -2991 -2469
1193 575  -2724 -38
-1492 5401  1604 -5804
4955 -1883  -1673 3680
1787 290  2113 -1148
4031 803  3922 -129
-5962 985  -2425 -3263
-795 3679  -376 -3151
-1010 -5943  613 -2133
-564 -6735  2003 442
163 3420  660 -625
3447 2765  -965 -3559
-1446 -2877  1257 -1815
-2361 -2105  2 2209
-2844 1865  1540 -346
-239 -1321  4402 2518
1533 -3189  -7065 -5465
206 1349  -908 -162
1468 3490  -1726 4275
1948 -1222  -2423 -456
1476 1033  1764 -5232
-2356 -2341  -1131 4323
-2247 3620  -2037 -2896
-1264 -2284  -1373 1149
785 -1677  1826 197
124 1872  3685 -4040
-664 -1882  -1536 1133
2060 3678  579 -1650
-988 6099  609 3165
230 -1317  365 -179
-1976 621  -3408 -941
-2732 -1820  -2111 -1869
3955 -4024  1314 583
1454 2602  2545 -1629
-1021 1697  2131 -1015
-5173 1870  119 -837
-185 1683  1810 4281
2458 -1546  536 3858
-2034 -619  -634 5847
6027 -2726  5245 3047
-2671 -1365  -2437 1703
-4038 3209  -1608 -738
4287 -2646  -5498 -2543
-843 3332  3311 2002
2528 -1622  1534 2684
-200 -3122  -851 -356
-1448 2632  2350 -3889
829 -1060  1116 1987
2375 1904  -1276 -1202
-884 -3573  300 -332
-757 -1023  -4610 -3160
-6595 -800  1063 7010
-792 -3133  -4364 -867
-1393 293  -38 -3369
301 1344  1545 -692
937 -136  1460 773
2542 -633  2154 -1638
3952 -3478  -2697 6170
2540 -510  689 -3720
-2719 -5188  628 -82
2526 3445  -75 -293
179 4259  -3810 -927
-4151 -2699  -697 1417
-1571 2428  2874 -2844
3684 2998  1107 6085
5842 5974  -4441 453
1518 -3011  -2008 -2389
-338 -6240  -1903 -633
553 896  2899 -734
624 -247  1505 -2075
-4903 842  -4203 2197
1671 -207  6424 -4509
-2316 97  -265 -102
-837 -1060  -1507 -2712
-264 2918  -170 1246
558 -354  2730 1133
5430 -3531  318 -1459
3200 -2347  2318 1916
