546 -11  884 -544
-1105 638  -818 347
-716 -443  -317 768
286 -652  -37 -272
527 -496  60 -621
-149 1316  2 -200
834 600  69 -94
-817 21  -329 537
343 -181  328 307
409 228  659 -344
-155 -50  -350 -40
534 10  589 -432
-793 -48  -204 109
-112 -94  396 208
-31 -586  214 20
-633 251  965 -126
-275 -12  335 843
-852 -329  -496 389
744 894  -883 645
327 -690  455 -550
-197 256  -32 410
-684 639  776 -10
-124 -356  410 -314
-765 90  239 -511
221 120  -808 -174
345 259  -380 130
-199 -60  575 702
-224 298  -203 -327
-100 -787  -596 -1071
-693 531  481 456
90 -72  445 14
-127 87  71 20
-194 815  614 116
37 803  -321 -643
779 75  -1004 792
195 -29  106 -127
596 -1511  -345 -725
42 623  -74 -885
285 542  384 162
-549 -278  -100 150
-366 -988  14 127
514 -519  -585 -47
-164 112  -1181 -749
5 -535  -774 -307
120 514  12 -290
392 633  164 294
-902 -512  -338 105
-110 795  433 491
-77 -139  60 495
111 -631  805 340
401 -187  -62 -639
127 -829  219 147
-625 139  509 36
-241 180  -114 -671
1328 723  204 -973
-105 -915  558 -405
166 59  550 547
-191 156  466 -373
-605 591  -193 -231
579 673  -21 311
-802 -55  970 -593
-137 230  -470 -454
477 314  66 764
-297 74  430 431
145 -298  129 -83
-809 -896  182 1022
315 367  -201 766
340 -39  820 -3
-35 367  138 -312
281 -679  138 166
142 288  253 327
-313 134  -377 -268
475 182  195 495
-245 646  204 -71
-510 -736  -16 -156
1182 637  -263 743
207 -87  264 -714
247 14  26 -42
-652 -60  1165 613
226 -649  291 42
954 348  -524 207
16 624  400 918
339 -485  -57 -615
797 577  -32 -300
-220 324  -628 29
-1141 -211  -631 -630
-364 352  26 -398
416 -108  711 816
-86 1350  -191 -297
-367 535  -37 -331
-527 -814  -29 -71
-467 -755  -41 -442
831 -829  -781 367
169 705  805 -13
-319 558  -328 952
-511 -436  -112 -52
-138 -204  -786 332
902 694  -681 -575
669 -435  885 -574
352 -1113  230 923
-252 -308  -831 304
211 -349  1203 12
-898 -968  -842 -349
195 436  -167 -33
311 -800  -103 -410
238 184  460 -416
194 47  -814 -189
-310 -192  575 -408
-272 542  7 -427
37 -183  238 -207
-52 -516  379 -45
1679 -100  136 260
909 405  -992 312
961 -1036  65 -454
-462 157  124 579
647 336  313 -332
-555 370  -505 331
373 87  -340 504
519 173  458 -646
-95 -317  -541 573
-90 -90  -500 513
-585 91  156 16
308 354  773 146
522 95  457 221
301 -182  -554 70
-716 -130  508 472
-1415 300  -202 -373
-509 -137  -26 532
-107 -69  140 310
505 36  369 650
497 139  40 -193
243 15  -535 931
-1062 -48  -71 -192
-371 -4  117 -595
-499 -947  358 -293
-660 -114  -404 1335
352 -857  273 -254
-131 -928  89 -482
-516 -260  -816 242
-254 -415  232 878
1024 -368  861 168
-110 -87  -85 204
-398 408  -214 -868
-755 343  -8 458
-56 -414  639 147
736 -449  -271 296
243 -101  -294 565
-290 465  903 -360
416 624  855 679
-645 -687  -343 -182
221 519  755 -155
-773 -108  450 276
-590 1848  -319 606
-980 151  4 126
211 -210  255 -693
515 -938  -1 721
142 252  -755 711
66 -95  12 507
778 -533  -527 970
221 -202  161 146
-1256 483  -113 -609
-980 948  504 21
409 348  -29 -518
-123 157  456 38
-437 216  22 -686
553 -58  -626 396
837 266  161 -915
-870 113  -565 -61
-184 13  -268 594
-100 133  144 -237
-84 388  -320 -63
489 -270  13 276
589 -296  -412 -593
337 484  -970 312
-580 170  -41 91
101 203  -429 -626
309 -587  -416 -701
103 -708  213 702
-19 23  524 -935
-477 434  233 -290
-554 208  1494 -239
-24 529  -37 334
-733 367  -392 -149
97 -831  -29 -121
4 509  -1103 834
-500 1358  -270 -773
-40 93  62 250
-195 434  -103 641
162 535  -295 258
554 -199  342 -232
-349 114  582 264
348 -77  74 -841
-40 -447  824 -42
511 -918  -663 325
432 746  524 359
-545 1004  297 -336
-716 -683  -659 -208
67 405  857 552
-172 1117  99 193
260 -462  -360 524
352 734  -251 432
-277 567  -462 213
250 -469  988 530
-426 -573  150 -484
381 -351  185 -1033
67 -734  -5 -934
-871 -397  -128 -497
-186 -465  70 429
181 380  -698 115
593 -944  -376 -64
-180 326  605 202
-571 730  -516 -907
-68 -244  -531 -265
401 683  -1063 -209
-713 -49  -398 28
-448 -197  -138 513
-112 269  -369 -660
-234 -91  500 -921
-18 305  66 -818
353 495  -311 443
-101 -123  -194 548
130 -554  39 393
-666 -1331  -308 151
106 180  7 415
647 -378  1216 141
614 -546  541 415
22 -136  1026 179
238 842  -555 0
-698 46  522 40
302 -169  988 -40
135 -23  437 -1404
-566 508  103 -786
192 -915  -124 497
-590 -767  101 53
-271 220  -536 1085
-266 175  174 -168
314 -722  723 -52
472 329  -19 147
204 -738  291 -315
-725 174  -274 334
-321 -793  432 265
287 -53  206 -443
223 545  1084 -1428
415 38  2 974
-224 590  -937 186
1138 -382  -654 -83
526 -91  579 -503
687 -767  -394 -582
-65 169  -842 -168
311 587  166 319
-404 489  15 -199
234 27  -64 -447
-659 551  -348 22
-457 564  185 -572
615 661  278 -972
628 -360  213 -261
-20 -1362  -142 702
-817 -136  -236 -346
307 -258  467 533
-462 -152  -313 1011
-485 -38  -1162 220
405 -702  148 -760
-407 -179  -317 -489
197 -42  381 558
-83 -93  754 132
-854 897  816 390
-161 18  -265 415
282 -101  464 388
846 -428  476 354
187 -511  -785 -33
-460 68  50 1345
-116 -650  1384 17
-128 -193  -99 -207
433 -323  299 1365
-65 908  -357 -657
212 516  193 -25
-139 295  -428 -914
1235 149  -64 -373
-679 353  -329 -348
-178 810  -137 -257
346 -345  -200 87
-204 -1000  -255 -344
336 -352  -214 145
-39 -357  321 593
-807 -236  -919 552
-50 -710  -485 277
666 -608  -702 -510
-44 599  315 -438
-660 992  -1206 291
156 387  -287 -143
-249 570  -287 -668
726 -161  -7 92
368 266  734 -13
708 114  426 94
209 496  414 -590
-152 -457  -426 705
-1195 -64  -294 178
-332 144  -558 1135
-457 162  -435 571
215 -211  435 -478
-433 -901  -460 265
-164 588  1064 1006
-641 -1015  -391 -259
-448 -661  1065 39
-666 200  777 -144
1228 -141  -301 484
-329 17  -462 -877
-171 476  362 642
225 310  -259 -623
-10 412  -290 34
187 2  -136 -337
142 313  322 193
331 -341  1020 266
12 464  -573 -369
384 -1115  -717 815
-661 -965  -529 557
-493 -248  1082 1046
-849 713  -401 1039
-629 578  214 -438
-26 -187  71 835
-440 -486  -361 -174
-654 -427  -77 -201
-272 340  -429 -123
-243 959  554 35
106 -629  139 -190
-742 -460  -108 235
398 604  -228 -145
-50 215  -498 -472
266 -463  -921 283
-130 -567  217 22
-17 -258  -77 467
180 223  -66 -10
-419 554  178 19
-625 -326  588 412
-735 -7  187 300
582 902  -507 -425
133 -629  -644 1001
951 -863  -236 417
-657 300  87 226
-267 -106  118 -201
16 296  233 321
-544 381  -162 -728
101 -643  331 -410
-251 697  -37 -70
409 189  -577 -1229
-250 -128  -313 307
-287 50  482 -253
421 655  862 195
322 512  340 319
318 653  621 -973
-1204 -393  -859 686
616 -360  -475 311
88 555  -333 -341
190 403  211 -428
-506 445  904 -156
228 -333  237 504
174 -83  -371 -109
-246 535  -997 178
503 724  1286 -357
-286 181  442 -121
1164 -236  -390 1162
-242 406  843 147
-836 57  284 -435
312 -761  -118 -124
188 573  672 551
71 -286  408 -575
-21 -383  131 496
-569 830  -423 -207
1043 80  469 510
-881 790  -487 -61
17 85  281 -88
646 590  310 997
368 67  848 681
-42 -901  -934 -149
-153 428  498 88
823 -1063  1 -796
304 -351  519 570
417 -587  -505 107
-182 538  -54 127
127 102  -322 -400
-651 -261  -770 -638
-510 -45  -395 106
620 -205  339 -303
-228 -115  152 127
-592 8  10 -8
-657 -699  -681 -314
91 -79  131 -385
-117 481  55 405
-417 -578  -429 901
193 -319  -266 524
-70 -205  -778 -745
9 409  -175 649
-558 -9  -97 -1007
-356 -8  -170 35
-35 540  -462 500
-406 -12  -533 -56
355 5  411 -617
-371 -792  347 180
718 -106  51 135
-614 -172  -261 -382
-160 -2  784 -195
20 -540  68 729
-184 2  -145 14
-551 -207  -112 -130
-806 203  -690 -497
-393 348  66 -470
242 926  286 884
238 148  -351 320
-265 -933  -610 -142
-549 252  342 792
-701 491  434 -707
303 -1173  -980 -139
-136 -465  143 -1515
604 6  -307 108
804 -9  186 -169
-881 21  298 313
873 659  209 -173
387 136  -508 -885
87 -1373  208 -556
-1027 41  396 284
575 823  637 491
268 -217  -723 278
428 157  -548 752
963 616  182 1091
298 -293  145 591
1278 -85  364 104
-1240 -507  104 -253
-107 -398  -113 231
36 -459  -558 800
-237 -117  387 -224
-306 -257  -87 214
244 -160  -153 -367
-122 -622  135 29
97 -692  510 -66
123 -20  -979 250
898 -86  912 -728
-1264 367  476 -318
-10 -768  148 -285
93 -106  -168 -452
-329 151  -394 -361
-65 -107  108 -377
-840 -130  -203 -13
23 -243  -37 -19
263 -626  -708 40
-1114 -242  352 40
206 -94  559 1010
-1270 -749  693 1370
1177 1358  737 989
-10 -82  289 -440
292 111  784 925
189 -260  194 -460
-4 1  40 -203
-63 26  -815 33
606 1144  -46 240
-512 -461  1399 47
647 280  -312 889
910 -166  -82 -547
22 -292  -1363 -89
-198 -894  -357 810
325 270  363 732
-140 -574  240 -817
-184 455  -536 -1448
-202 818  95 -416
303 371  -458 861
-111 -646  573 -252
-321 -38  -900 92
-358 -88  -89 -42
93 -319  -663 -523
385 469  724 -308
-598 -862  -353 -472
163 -313  -257 616
10 -431  186 -357
-342 81  623 -415
18 -56  -805 252
399 -565  -270 384
22 -187  -330 -49
580 -108  -29 -18
642 -54  -254 253
8 843  940 -222
-144 32  -40 464
359 62  -35 -508
10 429  -1227 582
213 71  -41 -302
-407 495  258 725
-208 639  -263 487
-357 -267  629 -33
-121 -742  -162 203
-914 221  -365 -46
54 -1346  50 415
-330 414  -629 -143
-160 334  -450 96
-850 514  734 705
84 39  -549 -88
356 420  -447 -251
690 340  93 234
-433 -137  -742 753
136 -733  -143 59
682 -237  455 394
-743 -209  -922 93
366 -468  -294 -156
-363 -72  150 50
805 -1264  1146 732
460 -484  -349 184
-829 -411  428 417
615 589  404 574
264 -1097  704 -94
-140 -566  17 233
148 -296  626 413
109 436  596 -420
173 136  -153 -460
795 61  -362 -1018
-734 59  70 186
97 -658  -71 -150
150 -1040  -300 795
360 44  40 -90
1004 -157  -185 483
-451 -88  -533 116
406 -463  -234 203
522 371  -155 -361
-32 552  61 747
-93 614  686 214
556 -108  -608 -319
-59 -67  -202 -356
1183 -148  -742 105
-201 -705  -249 605
115 -119  140 -664
228 191  1226 133
134 432  344 -382
-198 -740  -282 -197
-5 714  354 -365
-167 295  -547 249
-153 -585  101 -552
403 183  279 -228
1096 463  963 418
-70 584  406 284
65 714  183 -298
295 535  -366 775
315 354  -81 -1103
74 -603  -91 130
90 -278  -694 -427
-343 129  773 576
-618 62  879 -48
596 -304  659 117
555 -203  -281 251
-122 220  394 -1093
-30 -838  510 433
-201 -14  329 -334
-156 -239  -977 -998
-189 -404  -334 -199
49 -805  -16 227
88 -29  -288 46
-608 1297  720 -72
490 52  469 363
-605 -379  591 433
-30 158  698 329
828 155  280 -1308
-38 -217  -516 986
-340 449  -25 467
370 442  -1030 -532
-1087 1338  297 -246
167 454  -211 479
100 407  -33 -505
-193 -1  -550 638
419 79  82 -94
746 -874  -674 35
1540 -1033  -76 650
171 738  -460 181
697 389  -143 -548
-108 282  17 -866
-283 131  252 1002
-578 5  -249 694
-115 -447  -280 931
272 -256  66 -127
-447 -53  -771 -110
-717 -225  1032 -563
19 1071  251 -641
-876 -139  -549 -355
373 346  113 382
-132 -479  -346 -332
480 -35  -97 302
414 99  561 567
-945 -276  -565 -209
632 -327  23 -85
494 227  -107 -774
709 84  -290 369
152 643  -965 804
-162 -200  1034 -281
-215 -251  -448 -81
-170 609  -158 -1009
-68 -234  -835 -470
642 -534  599 -214
555 -670  -568 -439
-18 -392  284 -271
-363 -37  4 803
-245 -12  -856 -1103
765 648  -344 -81
369 8  -934 424
-193 -746  -132 -529
103 236  -78 -147
322 -1189  459 -393
456 152  -40 19
-50 -777  114 -269
441 421  -1055 739
-183 -340  -82 18
271 10  804 -695
-995 279  -277 -24
772 -309  -167 502
-117 -1386  119 -745
-437 763  -320 56
480 274  -1058 553
-175 -1211  -543 -426
-710 -386  -744 21
-298 407  134 267
-105 298  -761 481
334 834  306 406
1018 212  -326 -320
54 -175  -233 303
-659 294  -371 -922
-414 -18  483 246
-78 122  -1026 -636
44 -980  431 746
-738 -885  -662 819
717 699  66 -108
619 -201  609 -58
56 125  526 -356
84 -499  1283 -892
-563 -12  -876 -544
-60 32  253 171
-129 -297  446 295
107 533  83 -276
-297 -245  603 193
-889 57  -364 372
-429 1243  259 1
507 -48  328 199
-777 -630  283 -252
-21 540  288 -609
-179 -32  345 354
-1340 -406  -590 -47
-584 -182  -322 688
301 870  441 853
233 677  468 -447
-861 -1031  -532 -203
273 -176  310 176
-379 100  229 105
-642 -1210  -429 467
-142 -479  -765 1766
-159 465  313 172
552 555  109 -397
294 -343  -805 -7
-832 -660  775 -179
125 831  -13 840
-613 -482  326 237
-220 -97  303 -339
71 -1090  -397 -266
-839 -787  -775 -462
-314 -413  -128 73
-82 -372  -226 -712
-765 -332  87 920
554 66  -592 -950
-261 670  -40 314
133 -133  255 204
-15 646  419 761
108 -988  579 204
-928 -558  -489 168
706 -746  633 292
40 580  284 543
-88 37  -204 -213
-124 -783  113 -330
-413 -231  1173 -242
106 721  -285 -1777
-148 -1021  764 224
11 262  -70 243
216 616  192 323
71 218  450 1668
650 -292  475 -60
-349 -743  445 -74
423 657  292 -203
7 235  -716 575
-704 -278  253 -820
69 -427  -31 129
-682 -468  -73 290
-805 -567  -793 503
-480 436  134 -131
-529 1401  591 -238
-933 -607  334 -372
164 -168  498 -78
242 510  754 -324
-458 150  -282 162
-282 42  1022 735
-561 -104  -1590 -391
21 74  572 -1324
-1098 520  -323 125
-863 -505  80 -202
343 -572  -852 -540
-308 -292  -78 235
80 737  312 290
878 -350  -737 -698
-691 64  -520 -665
438 824  -106 -650
19 -252  -138 -30
-27 258  1056 685
-338 -905  -390 -533
-827 -737  783 261
361 198  -1100 -121
-41 -163  284 34
-381 -769  199 177
685 -203  215 128
850 610  -274 -299
608 201  -750 181
-500 -266  15 87
-416 -138  -7 848
742 -391  387 -180
-336 62  -792 -159
-102 838  -732 -1529
445 22  -76 -287
-932 826  -509 -34
-336 119  899 1138
-465 60  221 1222
386 139  25 227
274 456  106 829
-480 649  651 -352
-55 736  74 15
-270 -326  -308 -314
916 280  -1087 9
53 312  -18 -124
117 -440  348 581
117 570  -178 745
1103 627  -467 -586
122 -903  -23 -216
82 311  -31 596
544 -335  325 -1041
-129 -217  -520 -667
710 382  713 64
31 102  363 -221
561 -536  373 -1022
618 496  -704 -196
160 -254  405 -315
855 -404  -26 -138
-553 370  118 332
-835 335  164 -670
698 337  -106 430
-13 -147  84 -393
244 -229  647 -351
-393 179  474 120
-198 347  -747 -66
-16 -214  -403 -771
1249 -377  -135 -525
378 -352  -164 -228
-94 457  100 80
-63 438  49 -209
-74 479  -40 -35
592 363  270 170
-497 -377  285 -233
25 -181  358 572
598 484  -278 -205
-507 -498  -580 -119
773 856  24 -257
-10 240  -678 8
-887 301  -637 -353
-217 529  -127 328
-1194 64  738 -963
-276 449  -328 185
8 1091  205 -512
-226 733  145 310
-219 666  -723 -69
27 -532  394 -11
548 244  -1060 531
295 -1  263 310
-536 128  191 -216
31 -609  54 -219
-740 385  -510 -82
586 -455  -389 23
-198 -632  297 -1
6 195  178 435
-245 -977  -328 -396
-671 131  -270 550
-680 -184  -203 1209
-588 70  377 130
-1323 -69  -597 7
-982 -82  -668 -264
429 7  -336 -8
419 -123  304 -119
-280 -963  323 -754
-959 -318  253 240
110 -7  -588 -219
-8 277  191 595
506 -402  955 587
296 -1074  -693 157
-687 525  -836 44
380 -478  -254 -475
39 136  -298 -441
425 835  -391 -323
-407 -797  -92 -1091
293 227  132 418
-512 -716  576 -321
76 -156  321 -185
15 -438  212 298
-156 -208  -682 -396
394 66  -123 14
283 -201  463 -167
34 -91  -105 -69
-200 -955  182 -95
-245 512  -309 -260
-480 -458  363 21
171 -575  -443 129
265 190  -765 989
-498 -176  179 -292
955 570  -733 260
470 -255  30 -287
-911 -1220  230 -1307
912 357  108 -371
-426 54  112 797
328 607  229 302
-182 -56  -635 -1005
-409 -934  -1010 -377
117 -377  -681 169
-1124 -278  1148 827
650 -400  295 -134
351 -246  361 -423
-242 -699  -371 -450
375 626  -111 -87
-408 -47  -60 -705
152 -65  491 -478
-1612 -658  -632 -661
-50 171  -389 1307
433 848  509 -455
-567 115  760 120
-346 -282  -561 750
-1164 -785  -693 980
291 353  765 -666
-303 404  952 14
433 -817  -576 -388
351 -507  353 738
-344 -139  -1333 323
126 104  -138 -190
230 333  -1168 -231
-556 258  184 167
-302 -886  11 666
202 -475  -206 10
545 -160  -415 -90
-405 -980  1053 -818
-39 408  151 942
368 -104  170 73
559 -842  -501 461
-525 691  191 -113
401 -299  232 -644
-35 178  -335 230
342 -437  213 -332
-471 -499  -149 329
83 -17  -861 -294
1113 296  764 -459
942 666  -503 173
322 1340  -71 460
375 -1254  59 23
237 -189  527 329
-311 -368  501 -161
-537 73  315 877
105 -667  564 -888
358 -84  -468 503
165 151  -145 -177
601 226  -267 623
-672 178  141 -702
-267 -443  44 -277
485 -667  150 80
499 -1087  704 419
-265 -789  -151 559
-107 972  -376 127
-302 -260  399 -535
-55 -75  26 -398
454 268  336 814
-899 388  -195 419
296 -238  -479 -67
-33 -89  -642 -160
72 539  -321 -1165
928 -864  -474 856
-295 -140  -168 -847
-779 -664  -510 -433
188 1223  -359 104
-165 -127  45 -788
3 170  600 -682
-131 358  8 210
323 264  709 84
-83 -577  -740 -303
186 220  -147 -785
229 -361  411 408
126 -3  194 1368
-213 433  -186 846
-181 230  -138 -543
-5 297  -349 160
-189 -834  220 -209
550 -711  -87 -410
609 464  -1327 -167
-213 -488  404 180
-746 317  -488 222
357 771  274 -512
507 411  60 182
-482 138  75 593
876 32  857 725
-116 -145  643 910
-298 -103  -693 -656
-164 1132  485 504
-272 -970  1040 24
-299 569  -161 -514
16 309  -361 -253
-67 357  270 544
-416 -40  -980 234
622 641  -98 225
171 12  -598 65
239 329  -507 -85
-694 -85  -288 -248
578 -414  -225 -563
500 -911  512 485
361 -1023  24 -621
-907 -179  97 -273
-82 -35  1388 390
-771 821  299 -369
296 1117  -160 229
425 -986  -457 -217
390 -229  311 -75
466 -234  -684 -514
79 -445  563 551
-730 122  163 891
-540 23  292 1025
661 307  -544 41
579 -113  -163 158
-666 -284  252 -45
-108 65  623 231
39 283  -90 -187
550 56  -643 501
415 -110  -327 219
-161 409  691 141
359 611  312 -233
-468 -278  205 -887
621 164  536 127
134 187  722 -389
-441 236  126 -1170
668 -456  109 548
957 367  203 765
680 392  377 -310
-653 -489  54 -981
-317 -393  57 -298
512 440  208 -894
353 -302  539 -561
-283 -527  905 502
-673 525  -529 -271
-144 271  -52 -271
295 349  -508 349
-23 -244  311 367
-381 501  3 -802
459 -150  114 -231
81 -523  -96 -205
-384 -182  731 -10
-286 798  716 -410
-398 302  -413 20
354 -138  503 -297
-387 -424  -643 -75
-1218 79  117 -651
-37 833  133 -58
239 1217  -349 169
-89 240  -261 817
-347 -718  254 -349
418 529  540 -184
-157 1092  -536 -231
166 -985  -1075 4
287 -202  -147 -110
385 827  -70 298
-33 -207  388 -816
497 -1109  470 358
238 219  -526 9
-391 -20  -428 603
607 42  -402 -264
-315 -437  649 949
396 -661  -175 -422
-253 31  657 -744
-411 518  -188 132
648 -416  -394 -290
-356 -386  -639 -1238
749 -1065  -106 854
70 -390  -20 -454
121 -727  -44 308
353 212  -441 162
-1075 -506  530 303
403 -362  158 -262
-896 463  -397 -870
249 64  555 -1509
-1211 733  -267 982
-383 -200  -375 -880
-1135 -442  351 -159
-219 -262  -471 -257
-238 -429  -404 -765
964 -451  -379 -924
880 -319  868 338
-168 80  513 -100
-393 -19  -567 -576
310 612  540 474
-516 -340  -787 624
-239 -33  -305 788
-459 -599  -321 431
4 87  47 -190
-198 559  -652 -225
-216 395  1251 504
-249 -205  260 134
516 -53  -338 -1316
147 285  524 419
-547 425  -34 -529
620 586  -311 -324
495 -691  327 15
-695 456  168 -448
797 544  -1024 -511
1094 -118  840 796
-469 726  -393 -642
-42 690  -504 889
360 -556  -259 -208
500 -73  -349 1116
20 274  -423 -218
-17 -129  67 -169
245 870  -632 -336
-294 -419  -319 -202
-84 846  621 -694
138 449  670 390
-224 1067  -34 -189
-293 -144  726 -25
76 -36  205 -383
-137 -153  203 -807
-1589 411  396 -856
286 -697  285 404
-166 -148  612 -1344
-909 483  704 44
-38 102  214 -1179
997 -560  -292 -1048
69 -406  253 289
-380 -56  -802 59
699 122  -125 -109
-542 -257  375 162
-46 878  -301 54
462 345  -409 1101
-166 -888  -888 -243
387 1053  -1023 -391
800 -441  -93 -269
-484 420  -972 178
-637 -630  -256 -29
-491 -328  -104 190
287 -670  884 -152
489 218  280 -537
674 100  -12 -369
166 -342  4 -34
-599 1201  379 -877
687 33  105 230
-92 0  665 -87
-723 -563  -324 -91
-942 366  -418 -606
410 -119  451 -282
-467 643  113 448
-831 -48  150 481
1180 -120  252 234
157 436  282 -349
59 501  -110 -449
-55 263  -65 294
-139 390  -101 -569
-544 382  -99 -1016
50 -844  -606 -480
54 -64  -577 -246
125 424  -692 305
299 448  -278 -86
446 145  -290 409
996 -414  847 75
598 260  -382 -8
-225 701  -271 928
-116 766  622 -331
-305 646  -329 -104
821 -209  -224 414
187 332  430 865
-613 644  175 700
89 -328  345 -583
-901 -635  578 107
-117 -252  -863 -401
-45 -323  -206 -445
-494 311  -410 -17
-1527 510  97 -787
-1030 -755  330 -687
968 466  648 -56
50 287  251 -375
-328 4  -339 -383
197 380  -445 199
195 -221  219 328
706 -1244  316 -75
75 -976  360 565
850 307  -514 -573
71 -169  -413 -839
-240 582  404 680
645 451  631 -367
671 -588  -395 -352
688 -1085  -1177 -478
927 969  249 -509
240 490  -65 280
-146 49  -454 -358
-83 202  151 1039
-124 431  146 -62
161 -52  -414 183
69 474  193 179
-185 -370  74 -115
214 -248  659 173
77 -25  261 72
-152 361  -109 267
-128 174  -61 1254
506 1240  -235 241
119 936  89 -123
453 -408  440 -638
-771 -555  1241 662
179 -23  103 -344
-740 -980  25 -938
-180 -434  599 357
-258 -135  -543 -624
516 -399  -400 730
471 -1054  564 736
214 -355  465 -954
-550 -512  -919 -375
228 -458  -508 101
-15 -507  504 -15
429 298  -711 348
-317 881  421 -324
205 -114  -201 -13
183 -1250  285 544
854 637  -55 90
338 -525  -113 -32
687 217  95 -1149
-5 128  346 -637
-50 1003  18 296
329 -392  -154 353
486 219  -497 -158
122 -409  -145 96
424 467  388 160
-214 -14  -709 -75
-693 -170  725 -89
465 57  195 585
153 379  -260 -248
166 652  -347 869
-205 377  -604 511
-163 170  -128 433
-259 -333  -303 242
-49 49  -905 -778
-746 50  248 108
372 219  536 -109
-542 362  281 276
416 -328  -284 15
180 -29  463 496
-241 -514  -444 -810
435 111  8 371
-344 1  762 -286
208 -140  439 -235
-623 419  176 -330
-31 -43  1064 -1789
62 106  -1335 775
-694 108  361 -76
-219 -387  -498 697
672 -255  918 610
-22 400  -517 -828
-268 -27  -33 -10
-9 -609  -857 218
51 -497  -564 -400
502 66  -437 59
-814 642  -353 595
69 -63  694 658
236 511  258 -677
-807 -355  -531 -139
-874 932  306 -553
-225 -434  320 1263
-621 -524  180 639
78 -651  750 -444
-88 470  280 31
17 1222  104 660
239 -245  -568 2235
220 103  394 -122
-909 -367  81 -484
1097 -1367  468 1116
-70 590  766 695
1 -1214  -679 -51
-205 10  -483 675
276 -65  652 54
-440 -1145  251 139
-800 -201  -539 183
-480 -393  -67 -712
244 -206  347 -474
335 107  549 -530
-214 -326  -152 -65
571 -780  -589 323
-133 -186  212 844
221 -633  -392 -862
-722 438  -217 510
144 41  -388 -391
-167 931  1320 479
-467 704  -393 -660
584 63  21 790
674 559  -1077 -412
-574 -236  328 205
-568 -505  -558 564
-442 383  462 1449
380 -458  87 -447
204 -1101  808 -316
-102 -498  11 346
-90 -1052  -202 17
238 -671  1073 -358
-181 -182  469 -852
-78 344  934 359
1464 -333  -362 -239
-164 696  -479 -296
-378 2  -549 489
-4 321  259 -221
-269 739  -412 -460
-793 -262  942 5
-577 323  359 223
624 564  -41 -67
-316 -376  603 126
258 -467  458 474
-540 -30  136 76
300 897  -555 200
-68 263  -356 -303
568 -453  93 813
151 352  -38 -201
-169 -89  -776 -366
231 -381  -113 -289
-79 260  35 1382
-682 294  1028 -12
101 -214  -884 -450
-318 350  -232 -348
1206 129  -203 -329
-267 -450  -45 -807
-446 -448  -838 930
262 224  -26 -94
392 187  -744 206
656 622  30 2
-48 -49  354 107
-448 680  -55 670
-681 158  481 -44
82 -689  910 -383
-495 270  284 -458
-184 357  104 -384
-390 309  823 -400
-125 300  -479 431
210 -826  -153 19
80 -688  1038 -783
497 292  -71 273
-1124 -144  -558 188
-461 -28  -592 328
-392 399  342 255
145 434  358 49
19 369  -2 157
697 -456  -98 -883
-1247 -1127  -335 -45
266 431  -599 156
70 962  187 -209
-121 -236  -6 445
-128 160  -144 67
261 736  -600 13
154 315  -243 170
-534 430  17 -116
-486 1166  -339 -161
336 -752  406 -380
250 83  -891 -695
-421 -117  491 294
238 17  567 -527
722 140  898 -44
-293 807  -312 -899
-62 743  381 1255
-144 55  662 -546
977 -1440  607 187
-234 -319  -476 -870
-515 622  89 225
-606 812  -173 285
1104 -525  -627 -82
-49 -164  116 213
-336 -86  -208 69
653 -255  54 -52
150 826  -269 655
-313 -112  634 -133
416 -200  386 939
279 -1651  -414 -550
416 566  -521 -1183
460 329  -115 -803
1016 -44  -453 -193
528 -631  1570 271
730 -784  -185 223
-601 -70  976 -339
727 140  -334 189
-603 -86  535 134
-331 -178  611 -171
492 -494  -48 771
302 114  309 -612
167 -100  72 -703
522 -632  857 -385
105 158  -330 -1434
-112 -189  -934 187
-801 552  -912 239
-261 -89  -691 483
80 636  536 -102
794 -316  180 875
488 50  531 1106
-428 -754  612 311
10 -930  521 260
-886 215  315 -131
232 -36  70 -552
-870 -1450  442 1101
330 -117  -382 -33
121 -386  -875 -311
853 -90  316 60
657 -424  1709 361
58 300  1558 164
1046 -378  657 578
-24 -422  41 276
143 -348  -42 244
541 -316  -371 -482
-262 -178  -410 583
733 170  -505 138
221 731  581 469
978 51  -164 -414
-245 -150  -363 -125
311 -522  217 -813
247 -647  928 -322
-634 -723  659 159
194 -568  203 1184
-434 209  -614 688
290 37  -278 -110
-37 -234  -199 260
-399 -725  -91 49
-514 730  -707 -236
-233 -182  611 -105
-498 31  219 557
20 -574  -778 611
8 468  53 1376
1531 228  -808 -851
393 -263  -612 323
1118 277  -329 784
295 602  -194 -634
147 308  -920 -538
278 -101  -172 -293
252 -145  -29 611
390 526  434 -564
-456 -775  1113 607
450 -543  -448 4
-71 -867  -1112 586
286 370  -454 88
-313 -196  219 970
-121 392  870 236
-481 -90  -747 -482
870 -1167  722 -81
-432 445  581 204
444 -559  595 55
-834 -102  559 142
718 -581  -101 534
178 316  -1025 -201
62 -307  -175 554
-890 -83  -811 269
-319 -636  603 -586
234 509  382 267
-582 -499  -903 -355
286 -733  -355 197
433 -888  1078 133
245 -733  286 217
47 58  -194 160
720 -30  757 -247
831 -538  432 943
577 173  491 574
171 -490  414 88
-99 755  -472 235
156 -110  -905 203
-677 -162  599 -878
908 58  -15 688
345 34  -299 -183
188 636  170 -145
-52 411  -440 250
-696 -587  680 -541
