379 -375  -233 -500
-27 -516  -9 997
53 -35  -1144 -753
-115 789  -601 146
-819 268  -781 29
613 301  121 -788
46 -32  1093 -722
343 -144  87 102
304 -11  825 -569
51 -990  -668 -1468
-207 -331  -119 277
-776 -388  -141 -615
1529 64  712 383
-476 -441  -226 -74
-75 -679  -92 -492
-111 -504  373 433
361 291  -519 460
-117 -193  118 24
530 218  -808 416
-216 -529  380 475
-889 -220  -723 171
1275 -1038  -26 492
170 -336  153 -366
15 299  230 -883
-647 452  -126 649
674 1035  298 277
200 274  -304 27
748 219  10 -31
68 -13  -182 -342
61 -606  -339 19
-843 -786  -116 -78
-712 1  -166 673
56 297  -755 -206
485 -355  -420 163
890 -218  -151 441
-574 884  835 -274
-158 82  -189 -564
-546 334  206 75
382 151  521 949
-69 -305  391 -241
-614 -350  152 -427
119 406  106 544
602 -434  766 -10
632 -129  177 410
251 -140  -159 -549
-711 -587  -387 227
559 -978  -170 380
-515 318  338 337
471 254  -1177 49
562 387  -187 240
34 -366  57 -371
500 889  202 -215
84 -352  -190 -415
14 146  -666 468
181 663  1012 -375
-610 485  25 63
-421 -252  381 -422
64 562  274 -241
550 260  -546 322
-310 305  -332 460
-213 500  569 1019
38 -547  -69 166
550 -750  -984 133
268 -227  213 -133
-522 -8  -157 527
421 -61  -213 119
-555 -327  -803 -257
696 103  -469 -782
-245 271  -500 -287
-235 398  525 -316
882 -37  561 -854
452 102  1761 469
125 -655  -124 -1055
-378 -62  967 -548
504 -533  -350 -1419
-781 118  -260 187
-728 -805  -654 363
533 -203  -719 -841
255 -584  -683 413
-83 154  -174 487
-447 -670  67 17
-893 -846  294 1251
-73 -347  1071 -21
61 266  352 -727
172 1399  169 366
-282 -46  61 -302
-1076 96  566 -231
932 510  -253 -509
683 102  218 -502
-140 492  125 157
282 -244  -715 -99
483 -963  -890 109
321 -52  -265 -667
788 -259  161 45
610 -1282  1050 1217
150 -875  -721 -718
946 -52  691 -495
522 454  224 887
-674 -431  443 -128
-126 -666  -131 34
10 824  -515 -667
-1008 -423  -288 655
-185 -1078  22 273
-202 89  172 570
528 36  -233 -4
-717 987  -154 392
621 -506  -87 -1051
630 93  -798 -726
-28 -409  254 360
-631 -36  -99 300
-239 -528  720 1357
5 245  -430 71
-613 -752  236 343
-243 947  760 355
-202 -210  -375 263
-333 272  726 643
539 27  506 550
151 205  370 476
463 511  327 209
297 433  192 -347
608 -577  -1105 -277
462 237  405 -365
799 -429  685 15
-35 -679  305 -395
622 -719  -349 -144
911 250  404 265
266 320  -512 -1043
-136 335  63 9
400 344  106 -416
25 -291  -594 -467
898 -483  48 -502
-104 -44  539 -499
-56 -49  -190 -513
804 632  -189 812
0 -387  293 536
-446 -483  21 -701
82 -390  44 169
619 -494  190 151
501 147  -655 256
181 -754  -32 671
546 622  800 -959
548 782  -788 -648
371 -190  455 -221
672 -58  -269 -254
-671 -449  360 56
-705 447  325 928
276 69  -233 724
-574 263  335 -86
-513 832  567 178
469 567  208 -106
-421 1026  -104 570
-57 -82  -4 250
-156 1042  491 156
548 -57  387 701
1393 -1331  -904 -177
2 -36  -580 478
-605 692  -635 -682
442 217  -802 433
-233 -530  -402 126
-45 619  -139 45
55 374  -425 -329
-358 -219  -42 -504
611 -1472  432 276
113 171  -406 345
175 272  4 -684
434 149  134 289
561 -58  737 -34
261 554  -311 1020
-185 -727  272 700
1181 -164  185 -309
-514 -470  511 947
527 331  382 -362
-563 242  70 -1054
270 536  -846 -294
-419 229  -197 -91
291 658  -606 -127
-101 420  24 -585
138 -90  -279 16
-542 966  -178 203
99 863  180 -410
-460 49  191 139
-245 455  -563 -110
-413 -249  170 730
-28 -1024  -426 -5
-170 -101  -452 -99
275 861  -257 678
-535 246  37 -941
-1055 -449  -904 -788
-1005 -206  740 680
-834 -650  -60 54
-1017 -726  -663 24
-639 38  368 -29
-551 282  482 -1472
266 -20  -131 -560
-340 -596  -48 935
-1020 1212  815 412
-380 -301  -457 65
-248 -411  -349 82
477 922  -198 432
-495 275  -577 422
472 230  359 234
613 483  -985 422
985 622  -28 276
351 -937  213 -687
344 130  204 341
777 -762  688 -527
350 581  -125 632
-1071 -386  404 273
-269 256  -535 496
180 8  -733 -217
-194 177  406 -709
-552 -129  30 -42
140 -222  972 647
-676 90  520 -659
-281 -627  -404 326
112 -684  -710 -1269
-307 508  495 -247
260 325  386 -287
485 18  -472 -23
181 -326  -1104 -215
204 382  -104 -257
-417 -339  -881 -450
93 429  -341 195
445 -96  -736 1350
403 210  171 211
-1241 -693  661 31
-173 634  -144 69
232 110  -392 421
510 -794  399 66
38 131  281 36
-158 -27  25 406
-424 41  -395 240
-94 154  164 694
-244 296  -398 -814
-660 382  -348 -245
-173 -986  696 1192
-542 -375  455 -294
123 -182  -350 -155
183 423  563 -452
553 486  -88 663
-439 -370  166 137
131 1148  -588 369
-25 -25  -446 -729
512 864  -108 -562
608 -181  -93 105
-155 -378  -139 -1083
228 -127  243 -468
-752 314  3 124
940 525  76 113
-15 1089  424 -139
306 -864  -1046 87
422 58  287 -117
268 -710  345 -365
34 -184  -304 295
-671 210  -605 -249
-985 -638  637 -719
-193 481  483 -34
-55 319  -728 -222
272 195  139 207
357 167  -52 -484
134 -623  390 636
-490 -453  652 882
392 -355  1371 -214
67 532  -445 -502
310 -194  -302 -726
721 -158  -400 451
-145 143  -453 314
-707 576  -737 -715
-491 -261  434 1100
558 328  -220 243
-174 172  329 310
108 333  -608 -75
344 619  -419 212
411 384  239 694
20 -477  37 -242
314 -381  -595 732
-292 -749  250 269
107 -1002  193 89
323 -285  -546 825
124 154  -279 185
-144 141  -181 -240
47 -172  793 -303
-38 -729  232 653
816 34  340 -241
315 -879  -179 -218
-459 -461  -334 -420
1151 -333  190 468
408 379  -317 498
-684 -1001  -1012 -283
-953 117  -975 388
231 507  -394 180
-263 -195  381 -3
686 101  257 104
-939 -260  -307 121
63 244  12 -157
-354 231  444 155
-28 247  -545 -88
-155 -963  362 263
604 141  -323 43
463 473  -407 447
-707 113  -500 -654
-351 627  -114 -362
-398 329  -471 -434
-640 236  -195 -259
30 965  -735 329
328 925  609 -691
371 -19  71 -652
-62 -950  -565 666
-294 73  270 17
397 -85  140 568
674 -200  -49 41
-440 16  44 -250
517 -32  -1686 767
330 533  -258 -1259
516 -237  129 -29
-796 2  260 704
772 -439  757 -484
52 -127  -1051 -700
-338 -189  -121 -476
-140 52  769 554
127 348  213 -340
-38 133  -524 466
-299 257  736 342
50 -30  -499 -756
-107 -456  -384 834
-501 564  -383 598
797 317  30 155
351 -411  594 224
-495 24  -559 -1198
758 890  765 748
-157 -12  437 818
-890 -320  -356 -553
-947 -339  54 -21
-237 880  -127 507
614 -237  -485 -414
-13 574  711 -68
-291 -241  -329 313
659 388  532 24
494 615  264 351
906 677  -352 -481
326 744  225 -479
-1390 -360  -718 7
-366 579  1134 -250
135 -52  474 -629
-367 422  -62 -456
-888 133  -575 -543
744 -1024  88 -425
52 522  1087 -337
-606 -116  -481 -229
-435 -49  -524 1054
138 613  -719 59
-643 -180  -676 502
-1148 -920  -275 4
-153 -541  750 -370
-150 -67  -294 231
-300 -744  -696 347
-443 -465  -787 -276
-281 652  -567 -969
-115 -219  1187 -234
873 647  -965 -816
-290 1  70 259
185 19  -243 -223
-433 243  419 -509
920 126  -395 -408
-480 135  428 -444
166 -253  -94 33
-257 411  532 -144
-287 -634  758 246
17 197  212 399
1615 168  -171 -12
123 248  -1084 -938
1206 362  106 274
232 71  -180 -224
180 -258  241 11
576 386  551 332
105 -394  -186 -23
-436 422  32 -111
-458 33  -469 -417
-500 -1  -1110 -859
-175 -225  -809 -70
176 2391  -847 -234
-554 -273  -1349 -258
-600 435  -189 -731
74 -134  -1388 10
-61 -236  -468 290
-989 798  -561 -1101
470 110  -1069 797
-237 308  -884 1395
-1 -644  723 110
-1021 295  -507 468
-154 720  818 945
-193 -490  -674 -46
567 41  474 -137
283 55  313 82
-701 -934  -579 -429
475 -390  -606 312
81 -522  -221 569
-453 -801  82 152
-83 -404  309 -167
405 -6  -886 805
-417 -3  77 -65
483 -500  774 -367
-252 144  -81 -101
249 455  419 -881
332 -717  956 -421
603 -189  -332 -104
-2 -100  276 -659
-370 -728  -208 -91
-165 112  594 730
-203 -231  345 89
436 -538  96 -615
-337 331  -827 -548
-333 -843  77 889
155 175  -769 297
-300 329  778 -264
-382 -616  485 836
-256 282  -340 95
-168 41  -298 265
-298 568  -477 105
609 239  -207 170
664 -265  64 42
60 -463  1006 675
-163 -867  -382 192
1343 156  666 -408
-241 617  452 -249
-1403 -572  -1053 -200
169 473  -974 237
-563 58  745 239
979 -643  -772 -192
-513 184  -88 1043
-573 -26  308 133
-863 332  335 143
80 657  -1193 -146
1029 118  484 -160
-1236 -154  -876 236
745 455  415 1015
-573 -604  795 -555
-10 471  -198 -79
-360 23  1 -487
-240 314  221 316
-40 -316  -289 6
-541 -1128  -338 342
-849 808  397 163
15 114  719 -632
1080 345  955 -226
-260 241  253 502
262 127  67 -620
308 -882  61 -474
1149 -911  -38 366
-589 -790  311 1006
-864 -837  -513 -467
301 -66  -121 646
59 100  -1030 -1119
176 -815  647 1371
-562 -258  -50 -62
74 -394  -38 765
-599 -522  12 -315
-621 -594  -795 -605
1874 835  -1147 737
83 149  267 172
927 374  -435 -616
-651 -417  -78 703
-322 528  -188 44
-98 -645  -1435 -394
-396 967  537 -374
-249 585  -444 438
-54 587  50 396
-787 -928  441 19
-616 537  -128 669
-273 169  307 327
-318 -110  -217 -468
-396 544  -987 -569
-333 -314  -725 166
-232 340  -639 295
586 617  -271 -428
199 344  1019 -9
-364 667  591 -598
-440 1389  -618 -94
834 -1062  -216 212
-442 -39  -104 829
-949 -164  -42 -590
702 30  -468 -1021
1039 464  -132 -515
642 507  145 -416
887 336  332 1045
-58 96  342 369
241 -1075  189 -251
-335 9  -512 -804
440 -439  -207 -10
592 74  207 -382
48 659  561 -617
-595 105  -162 -433
-335 -894  -150 129
-316 31  828 131
-192 1999  -664 -364
-201 -1076  680 279
680 409  257 1055
-145 9  140 104
-685 -665  313 -1337
-428 -422  632 -254
315 557  -711 -315
181 -384  917 80
-629 -277  578 254
435 125  341 39
-402 137  -193 -50
-24 533  -63 -160
115 452  995 -814
-10 -408  -181 -44
234 -544  26 107
438 -942  -1080 102
442 -122  131 392
132 724  89 115
-233 788  -99 -649
636 321  662 -160
-166 -778  -151 -374
-122 368  561 -277
462 294  378 -253
52 70  -187 -756
-485 -101  -241 916
949 -274  405 499
-359 -512  214 -650
-568 -302  -418 -852
113 -200  -266 664
136 -30  1213 -420
-116 -609  -572 -596
-290 -593  -627 -769
590 903  46 -186
1129 61  67 64
767 554  -983 5
-593 36  -254 281
-370 192  -364 -676
178 -107  148 -262
323 123  199 -213
-472 532  -1060 -524
-825 -32  127 412
495 106  892 79
576 -562  -134 343
-6 -132  -184 657
91 -269  -64 1254
-385 -170  578 217
-878 52  257 455
-301 -821  190 66
-90 -959  365 -349
-75 12  49 530
227 182  1284 732
-344 -274  -69 -551
-393 -373  -583 -620
2 891  112 -1303
-55 12  662 195
171 -65  236 192
-356 488  561 -263
-57 -886  -681 988
-144 702  708 994
349 369  -354 708
224 -735  -462 764
-770 -962  701 37
22 51  -377 708
741 -382  38 -610
450 190  -1446 342
-112 258  18 -239
598 675  173 157
-895 -398  -898 120
868 547  660 -127
264 -575  808 -510
281 134  -92 -273
519 478  -244 -165
64 -50  154 488
-796 -377  -146 -14
-152 503  71 -394
-89 223  317 -504
-485 -510  666 327
634 -135  -226 452
607 -881  365 -121
527 413  191 83
-716 1005  638 353
312 413  -588 55
-318 127  -269 425
-29 647  351 -955
-668 625  -689 -161
165 1033  291 193
-737 798  -101 631
292 -299  1543 -195
-617 -732  681 227
-230 57  -768 87
709 -305  156 -1538
167 -215  101 354
348 -32  -73 240
-977 177  -203 48
-273 -3  114 634
-1037 -564  2 542
-552 445  958 94
-333 -129  383 904
38 -92  -755 365
723 -711  -188 -454
-874 -5  -76 8
992 -323  -1101 189
-753 435  -390 -17
-269 429  -342 512
-454 -364  26 -170
-509 -621  -866 -524
234 31  -101 813
-143 -454  373 -63
-214 497  732 -871
-530 203  -1308 953
569 342  275 907
-200 261  77 -157
-176 -713  190 -186
-164 113  -923 245
730 313  886 276
543 -20  830 -1320
399 328  557 -564
-197 -289  -57 -745
134 917  267 -642
-351 782  -928 -552
-21 -631  -5 368
-343 -77  -745 -478
-1000 -105  240 189
-431 -759  183 -641
554 401  -1179 489
287 142  1242 373
-347 1118  -319 170
344 -172  386 117
-369 259  28 537
-272 352  -293 331
432 25  301 639
100 55  970 159
145 -386  -311 -428
443 -542  151 -274
313 -97  649 -219
-481 -886  311 -410
49 -611  -287 572
-430 -58  48 -6
-492 1318  -947 190
-268 496  99 -279
-238 -90  -531 -541
-488 -111  -173 442
151 8  48 -17
119 428  -336 -142
412 -130  -667 79
-609 387  -530 363
-798 160  -212 165
353 -212  -347 193
559 -893  -714 -224
-444 -572  -281 -830
208 -374  539 21
-68 419  -363 -117
994 -636  54 19
-939 769  -775 -957
-773 -767  109 -98
232 -441  750 -816
170 -472  345 -782
36 956  -299 -809
755 -150  -129 1151
51 -333  112 199
-180 -224  27 -53
182 546  218 -149
257 -406  740 -4
1022 -311  -267 767
428 -541  -355 -663
180 -389  393 3
-375 341  396 199
-195 460  115 560
-78 -336  -633 -218
148 368  -225 -58
-618 182  297 -290
795 -449  -565 201
-337 1020  -430 69
-38 447  1039 -62
165 -488  194 -746
319 -1243  438 -248
-427 104  -231 343
-443 -526  377 -388
-504 -514  -191 393
-280 812  -191 -419
-150 -161  737 70
-519 512  -79 -642
-143 -34  -99 580
234 272  -310 -382
-296 371  50 -55
650 -779  -98 -182
241 -1148  326 668
105 -136  -621 435
-572 -533  71 -444
72 -337  -89 92
-167 376  613 156
-549 -8  -107 801
264 -1075  168 225
-176 532  -469 912
768 198  -427 -59
299 1004  1087 239
1251 37  -99 -883
-31 -568  110 -548
297 416  -478 499
25 893  349 -856
-328 542  -6 175
-149 -423  913 -745
269 347  334 -852
-161 206  -662 1150
-888 -233  -171 -593
56 665  -363 524
-390 566  -780 -728
467 177  209 407
117 -240  35 -683
-30 269  141 -53
-523 -137  70 -435
34 -356  -549 -307
401 947  470 876
-988 -633  -554 347
249 -93  -519 685
246 -132  -603 -240
65 -669  -266 122
-129 -1022  -376 -393
69 -189  -7 292
595 335  205 191
400 -126  657 -311
174 839  364 206
-705 224  -916 -188
-252 -1314  -80 -32
-46 -506  359 523
-132 -281  -458 152
337 -654  9 -646
913 132  -278 970
-314 -388  261 -165
172 -40  -144 698
434 -1533  528 -602
-146 16  -370 -216
-91 458  882 81
-71 414  649 -1075
189 -441  -243 -681
221 -284  -876 608
843 40  492 408
405 -550  -160 258
-546 404  -291 -353
709 -269  552 -1007
493 411  1314 -22
-214 67  -630 334
574 103  53 -434
-314 229  221 95
586 -67  282 -33
-818 464  817 510
-506 -12  927 -716
-294 745  216 -595
-85 531  -249 -751
-1082 429  -552 -524
-275 -444  661 -599
512 387  473 -194
-271 52  811 -473
800 -660  897 952
-585 32  -87 -242
-945 711  552 82
-559 716  59 741
213 757  749 -553
98 -75  349 1097
-268 -631  -5 1395
-268 435  315 126
-1487 -230  -273 74
165 -255  -720 -301
230 -73  268 635
490 146  -75 -95
-171 -45  43 142
-411 133  -474 -150
25 426  247 238
-955 -260  846 464
766 -1349  1061 455
-261 442  664 610
146 452  -133 -972
364 490  1346 -108
490 -388  -472 -247
455 500  -396 -217
276 419  45 -446
223 -677  -265 387
106 811  464 -246
-1038 -410  152 -63
172 100  -868 -964
-54 -394  777 440
-10 508  -503 -342
336 276  -223 427
-567 -113  898 -430
278 -106  -11 -100
-817 -177  -158 -192
187 -200  -761 344
-53 21  543 616
-558 40  -88 1082
-349 56  12 -302
337 290  -676 466
-15 -322  614 -11
384 -329  1042 244
60 -326  -279 35
-73 -1188  771 386
394 323  -402 -379
161 568  -416 211
179 -412  35 501
275 473  -386 49
-43 -42  304 978
38 -692  588 481
-532 -228  323 539
103 631  1163 -1366
415 553  1102 -446
185 142  831 -779
492 396  -131 229
-223 237  87 -247
248 -957  438 199
564 -405  -243 -227
159 731  251 -205
-341 110  690 590
114 448  -558 -368
-869 -238  -618 109
-1056 -426  -297 -477
934 369  1101 87
804 -49  253 -164
104 -361  -226 121
-636 381  -26 564
-554 -117  673 -145
173 -72  294 -127
481 653  -329 -70
-240 -363  -101 -132
1106 131  303 -1097
-229 881  -31 135
-322 315  -1000 -103
876 720  -231 -338
419 205  284 -162
363 375  -424 -163
-720 86  -652 -550
352 513  -390 -491
706 -670  -209 562
264 157  -65 1268
-130 -26  684 10
274 -405  -39 395
10 -855  127 478
-661 189  -667 358
-651 -323  653 243
368 32  -53 -142
1076 470  -572 937
387 568  152 -1680
545 1494  133 -914
25 461  -91 -1111
-296 683  -384 1047
-153 -784  321 12
69 43  -335 252
-541 -829  -810 694
415 -1728  144 -391
23 -203  -122 544
335 -305  55 -223
-564 -56  666 116
-1249 -540  388 -123
-11 198  103 213
178 90  -318 65
815 -298  -185 -241
-193 -133  -450 109
-433 37  -214 -280
118 113  -459 -147
-669 272  -245 -30
-60 438  -84 -577
440 812  466 194
148 229  9 405
-535 -1245  297 -466
-66 -379  238 108
246 -79  183 270
554 532  35 -504
154 194  107 23
891 125  -831 583
-1011 -1033  240 -588
468 -117  76 827
-410 87  395 329
-1087 -69  -411 737
632 523  -484 -162
433 291  -403 -730
722 -588  97 258
-552 -61  355 -94
-1646 -630  -377 110
304 174  516 40
134 -235  292 212
-436 155  784 -670
92 -311  148 -703
438 -230  267 734
161 -266  537 -185
-860 67  -369 -251
579 -1099  -174 225
-28 -210  425 125
796 -179  648 31
670 -419  -990 -419
-153 -224  -235 -467
24 31  86 -315
-525 -138  272 -398
-241 -155  331 114
395 551  131 -989
-168 -1009  -788 188
155 -421  381 -175
93 819  40 -170
287 147  -179 -455
274 896  -144 -399
-513 -17  -908 -24
-973 631  242 -82
-486 341  116 27
530 -407  -1156 -214
1443 743  -434 -394
-36 -896  134 859
40 3  149 -17
-159 7  -328 833
499 -196  -623 501
-373 114  -888 -520
-314 -549  373 18
-185 -1072  -334 416
-181 -681  157 558
12 588  138 -185
-172 -853  126 144
13 -38  -310 -178
213 -631  -609 -292
-755 -564  -66 -194
248 51  923 508
143 -87  -234 -667
-486 -892  965 -247
294 229  -265 261
697 -246  383 -22
-51 -172  886 614
-553 -166  -329 -355
-20 294  -384 340
-961 -521  88 192
143 408  -378 -1081
-46 349  393 -159
-997 946  -41 -798
-399 -474  566 620
-671 422  129 -46
-69 343  178 -451
150 -190  -581 -619
904 -275  80 -975
151 -261  1022 373
-469 -94  184 714
27 -394  235 419
648 1427  422 -702
-392 808  546 -298
-66 735  -872 1207
369 -605  -10 -395
-171 36  -366 654
699 -329  -161 -205
-386 -1077  -167 -121
-95 711  -52 9
313 -307  146 125
174 180  319 -341
92 -1252  716 -710
315 -515  61 -585
12 27  -720 531
-786 77  -61 41
-360 445  1060 12
708 -709  -304 -87
409 166  -904 748
834 -467  -526 -18
453 -83  -1190 -297
-925 756  18 204
307 -159  -524 161
32 -250  -290 479
957 90  -1110 -153
740 -685  -141 1017
665 -94  -934 -903
133 -518  509 701
-379 -27  310 -80
-572 185  211 -382
-592 -57  464 181
-98 499  116 373
449 -301  -340 -762
382 -51  -394 150
753 387  -299 -545
-821 -243  -925 503
360 -356  1190 38
620 -127  166 -38
-90 889  9 838
382 126  -1096 642
-567 579  259 -316
456 -121  -150 47
226 922  -32 454
621 -425  533 -564
-354 -36  -422 -79
604 610  -1036 -383
-192 888  -986 407
-499 671  276 726
-432 999  1646 -33
246 508  -128 -908
-702 -143  -205 -89
395 30  1215 -80
222 -588  514 1070
-139 15  458 943
-694 -261  -283 -402
-682 -602  -819 62
462 1030  351 262
266 202  -568 7
-18 65  831 115
-1221 435  32 -24
254 771  309 123
-192 -343  -69 113
522 70  -709 251
86 -543  205 22
261 828  -530 217
-246 854  76 -539
74 -50  -156 -497
1060 -217  -706 92
59 633  46 -374
-92 215  611 85
-216 437  -782 -295
-831 436  -657 -362
200 -654  -258 361
372 -570  104 -90
-487 -736  134 -453
-391 -71  417 379
547 -430  565 -125
-520 -416  91 878
789 1639  127 70
-1019 -605  -117 167
867 -529  468 -51
-703 469  145 489
-590 -254  482 -542
269 -559  -152 866
-340 -225  -584 388
-901 -609  -731 258
-279 139  -88 -219
770 -748  -467 943
523 286  -236 -806
-234 401  -411 -134
-521 217  368 -34
225 -534  -68 -756
-355 -266  328 62
-668 200  204 193
-122 382  266 365
-173 704  -73 -643
778 838  642 705
1201 117  580 181
-412 -44  183 30
457 1672  270 451
222 168  -438 -674
-71 -416  89 -749
-464 -651  -246 -298
-580 -31  -306 1125
193 111  -660 305
-526 215  -177 -1199
293 812  219 -862
800 16  844 -182
446 55  25 -847
292 -729  533 524
-489 676  -565 879
199 -145  -140 1138
-58 97  -922 -330
-490 828  4 -159
32 -233  63 -675
49 -703  -182 -393
206 -109  40 166
197 -388  -809 290
-255 88  696 923
-13 -135  -41 188
-640 -372  367 -652
368 429  333 599
-74 -35  343 -38
486 -33  1076 -173
432 -790  -953 83
695 -322  -569 1017
-195 -249  737 446
-94 -1183  -232 481
884 -54  601 -1045
-944 323  184 -284
25 963  237 -1310
-37 438  1012 -120
85 -297  -59 -374
-29 417  435 -500
-1767 -566  489 769
-1004 -904  40 251
-858 -511  1409 -352
-389 425  132 -823
1389 -17  -144 208
472 -705  -221 122
-386 878  710 15
-307 -72  -190 -140
333 32  -662 389
-556 -670  261 -330
671 691  -1307 -106
128 311  2 451
-131 -621  -67 -10
-152 -560  -179 -110
561 548  423 219
-249 -84  496 118
-146 -194  1134 298
1258 486  102 -91
707 -46  -359 -415
147 -1105  -252 1373
-656 118  171 -231
13 793  -495 293
-138 604  739 87
-910 76  571 -494
-655 -247  488 -48
713 928  394 -901
-7 -524  824 -324
-385 -635  1078 -792
897 -204  520 -342
-306 -511  736 393
2 621  102 134
-506 112  504 -309
-249 -488  900 -509
594 239  338 267
160 -217  -92 462
243 -683  642 -765
-949 279  277 882
-204 213  444 139
-69 -110  -690 321
-407 272  392 -1286
-256 -446  -634 143
961 -392  18 424
-641 -118  -302 271
156 239  -1083 66
-429 -935  -35 -108
348 -249  190 330
438 -149  518 914
86 -504  47 222
284 404  -932 -4
-74 93  -441 -694
-833 314  650 529
572 184  876 413
563 42  -48 169
-605 59  -641 648
244 663  403 -33
-944 -63  -91 449
83 -374  1 -20
-130 78  447 -306
500 -54  1052 22
565 721  460 185
212 -203  78 907
-670 137  695 -88
505 508  -220 1409
64 369  -706 -295
-474 -19  -258 -198
-502 -65  -1049 243
84 -252  -69 44
208 -234  -60 458
1005 111  156 -74
-377 -528  496 -264
-200 -415  1206 395
-136 483  -364 -5
180 -1198  -633 -681
361 -373  -77 128
-734 -477  105 -345
-403 451  127 -248
80 -1  -18 -289
-39 182  -504 162
238 399  -457 -208
400 716  304 -204
-65 192  102 61
-401 175  -854 224
309 -713  -93 489
-156 -418  -956 -299
-445 526  126 34
651 354  702 460
-350 -428  -297 441
-392 -349  504 -974
-321 -462  50 170
-537 -239  -452 -1013
-1094 163  -4 -450
302 559  277 402
519 -170  87 287
-103 718  -436 53
140 -221  915 -429
496 -902  -285 -812
834 386  544 257
142 -169  511 461
-302 -99  -250 -254
-168 587  -564 -377
198 349  -90 252
-699 431  -714 174
665 -931  -805 -196
-211 857  -102 -45
118 -413  -86 -894
66 -590  523 117
162 -69  26 -262
-98 -851  565 34
-653 -427  741 553
367 -303  264 -12
612 311  468 -314
360 387  115 216
-53 -979  -271 -825
-207 927  -232 -253
-104 -978  -562 213
-553 111  -630 -630
-396 -510  533 -1052
-478 320  199 269
-97 128  579 -1156
667 -10  -471 -549
-115 -272  -442 -134
192 -71  117 549
539 -433  282 -523
-123 686  543 -256
96 -996  -340 933
557 195  466 740
-1096 -256  -636 460
-489 488  -690 -73
-758 -143  -473 44
471 -48  -481 -319
467 -368  -198 211
-159 -223  572 -230
-432 46  -532 193
394 227  -685 -457
-332 -116  1116 -490
55 -127  210 1132
544 149  331 -207
226 -478  -596 84
596 244  645 704
-169 109  468 54
246 -502  333 264
428 368  -349 288
-258 -392  -426 185
-332 -132  -67 -198
54 -8  -441 209
1109 202  332 -100
536 -28  -263 63
206 93  544 -308
80 -108  -497 -361
-413 -430  -144 161
-63 -7  -308 -2
-548 -382  304 -110
652 429  -199 -388
-922 -156  371 87
209 419  344 247
-658 -50  -583 111
915 -994  432 -251
1334 201  -9 -305
-14 1987  466 -186
-300 43  815 -11
267 696  -203 -792
-347 15  -662 467
345 138  -503 -597
-47 200  693 69
-153 678  285 1008
-133 -398  355 -8
407 328  -84 -531
20 -539  -161 -279
244 373  721 -646
268 -50  666 -343
514 -140  -309 -350
810 -33  -596 -592
-729 692  -645 -168
54 -24  -240 33
-309 -501  -221 372
-433 332  -692 -149
-674 349  17 769
-453 -486  -740 -504
-457 -50  362 306
415 46  -322 -132
-44 -188  505 789
837 -857  179 -38
-218 -139  486 -388
176 -588  18 -1411
-465 -293  -60 -245
667 432  -143 386
-65 -61  -479 844
793 -374  -473 -320
-33 605  291 338
786 810  63 -42
-530 121  -396 -261
258 1067  -1015 -97
593 503  -196 928
-149 435  -249 387
-843 316  271 69
-809 -501  295 -65
-14 -113  -362 156
197 348  420 -280
-1204 78  324 427
554 -405  -24 -151
-910 -251  190 89
-49 1660  -482 -71
215 80  -411 -150
-25 146  54 -1043
-486 285  264 651
59 219  -330 911
543 857  1073 189
1076 797  -447 825
466 -529  -48 4
-932 1418  -233 -205
-617 -409  848 851
-172 402  243 -607
-88 -693  -79 -43
300 -855  -153 992
-73 -136  415 619
422 574  -314 233
1060 -333  20 -107
-246 -181  11 129
669 370  -1360 -435
-159 -901  -540 339
-291 -543  565 39
2 -206  -386 -521
-378 747  -593 732
-540 35  -1184 36
228 -90  -187 -310
-243 -545  205 -599
-106 -330  460 332
-59 142  294 133
25 251  192 -252
53 -35  -881 -887
-58 569  -613 404
489 -305  435 -41
-406 387  -515 20
-355 -689  -320 -161
-322 -1075  100 245
-844 492  301 -470
-548 -300  -158 605
560 548  1220 -13
215 -642  -1145 41
232 -438  299 -471
-375 -232  -22 -55
-492 436  -359 -446
-1219 -299  134 258
-694 -186  360 274
568 -1407  170 -406
720 425  54 -52
1057 -44  522 -117
139 194  -300 -564
433 -894  505 459
-46 -864  -160 567
283 -361  184 -1072
-239 -623  302 48
163 359  -687 66
-439 -213  -149 -129
264 1236  57 -85
518 -1009  -98 113
696 425  -518 147
232 -710  917 -1344
-603 -247  282 181
-19 -179  -409 -960
370 -721  107 -849
11 179  -173 314
424 82  231 -1
537 -455  -179 -282
514 201  757 -183
-149 -534  187 231
305 -23  -17 -229
1175 293  -632 9
-655 -273  -455 -1204
-329 -756  -194 330
495 497  -304 528
-157 -1009  -165 -406
45 -672  169 224
38 -45  72 269
592 -222  256 112
-245 786  -15 20
390 -384  -252 -295
95 -979  265 274
120 -6  14 -545
234 -630  336 185
233 337  -125 -262
648 44  713 364
192 560  -56 -118
513 285  -957 -530
329 -854  642 673
-123 -333  -281 81
131 29  169 -186
-914 -623  22 -644
-41 845  52 -208
-91 493  421 886
-118 -545  438 -902
-1 529  401 230
-441 564  -86 192
-39 611  -85 -291
740 379  -268 -762
-859 943  168 45
759 347  13 442
440 866  -85 -223
-289 127  185 379
-321 -421  -289 52
-534 -744  263 -124
-251 -846  -393 1051
-190 -466  253 -53
-355 893  506 -160
-206 -123  654 394
363 -142  341 -190
1050 -253  -33 -52
-447 87  283 436
563 556  -509 194
-580 608  -218 699
-41 477  697 575
-265 384  534 628
-535 -138  -444 -479
